"","TaxonoriginalDN","Taxonsimplified_DN","name","Acceptedname_ALA","name2.x","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","original","name2.y","name3"
"150","Eucalyptus canobolensis","Eucalyptus canobolensis","eucalyptus canobolensis","Eucalyptus canobolensis","eucalyptus canobolensis","","Species ","D.Nicolle",1222,"Mt Canobolas, NSW",33,20,37,148,58,47,91,19,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"Eucalyptus_canobolensis_497","eucalyptus_canobolensis","eucalyptus_canobolensis"
"151","Eucalyptus capillosa","Eucalyptus capillosa","eucalyptus capillosa","Eucalyptus capillosa","eucalyptus capillosa","","Species ","D.Nicolle",2192,"Lake Barlee, WA",29,11,49,120,14,10,186,2,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"Eucalyptus_capillosa_469","eucalyptus_capillosa","eucalyptus_capillosa"
"152","Eucalyptus capillosa (E. nigrifunda)","Eucalyptus capillosa","eucalyptus capillosa","Eucalyptus nigrifunda","eucalyptus nigrifunda","","Species ","D.Nicolle",2722,"Point Bott, WA",28,50,7,123,29,59,184,21,"Dead","","","","","","","","","","","",2000,"Eucalyptus_capillosa_469","eucalyptus_capillosa","eucalyptus_capillosa"
"153","Eucalyptus capillosa (subsp. polyclada)","Eucalyptus capillosa","eucalyptus capillosa","Eucalyptus capillosa subsp. polyclada","eucalyptus capillosa subsp. polyclada","","Species ","D.Nicolle",241,"Kulin, WA",32,38,35,118,11,45,19,5,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_capillosa_469","eucalyptus_capillosa","eucalyptus_capillosa"
"154","Eucalyptus capitellata","Eucalyptus capitellata","eucalyptus capitellata","Eucalyptus capitellata","eucalyptus capitellata","","Species ","D.Nicolle",5262,"Cessnock, NSW",32,51,40,151,20,46,305,17,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2010,"Eucalyptus_capitellata_260","eucalyptus_capitellata","eucalyptus_capitellata"
"155","Eucalyptus captiosa ","Eucalyptus captiosa","eucalyptus captiosa","Eucalyptus captiosa","eucalyptus captiosa","","Species ","D.Nicolle",203,"Needilup, WA",33,57,17,118,42,50,17,25,"Alive","Severe","Severe","?","None evident","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_captiosa_CANB_799340","eucalyptus_captiosa","eucalyptus_captiosa"
"156","Eucalyptus carnea","Eucalyptus carnea","eucalyptus carnea","Eucalyptus carnea","eucalyptus carnea","","Species ","D.Nicolle",1236,"Gloucester, NSW",31,59,39,151,56,54,208,1,"Alive","Moderate","Moderate","?","None evident","","","","","Not applicable","Flowered","Flowered",2002,"Eucalyptus_carnea_718","eucalyptus_carnea","eucalyptus_carnea"
"157","Eucalyptus carnei","Eucalyptus carnei","eucalyptus carnei","Eucalyptus carnei","eucalyptus carnei","","Species ","D.Nicolle",4302,"Wiluna, WA",26,1,20,121,21,16,201,29,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2002,"Eucalyptus_carnei_757","eucalyptus_carnei","eucalyptus_carnei"
"158","Eucalyptus cephalocarpa","Eucalyptus cephalocarpa","eucalyptus cephalocarpa","Eucalyptus cephalocarpa","eucalyptus cephalocarpa","","Species ","D.Nicolle",1730,"Tynong, Vic",38,4,16,145,39,18,146,3,"Alive","Moderate","Moderate","?","None evident","","","","","Severe","Flowered","Flowered",1997,"Eucalyptus_cephalocarpa_178","eucalyptus_cephalocarpa","eucalyptus_cephalocarpa"
"159","Eucalyptus ceracea","Eucalyptus ceracea","eucalyptus ceracea","Eucalyptus ceracea","eucalyptus ceracea","","Species ","D.Nicolle",1926,"Seppelt Range, WA",14,18,52,127,24,30,172,9,"Dead","","","","","","","","","","","",1999,"Eucalyptus_ceracea_CANB_551306","eucalyptus_ceracea","eucalyptus_ceracea"
"160","Eucalyptus cerasiformis","Eucalyptus cerasiformis","eucalyptus cerasiformis","Eucalyptus cerasiformis","eucalyptus cerasiformis","","Species ","D.Nicolle",329,"Lake Johnston, WA",32,11,37,120,31,56,24,5,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_cerasiformis_CANB_586828","eucalyptus_cerasiformis","eucalyptus_cerasiformis"
"161","Eucalyptus ceratocorys","Eucalyptus ceratocorys","eucalyptus ceratocorys","Eucalyptus ceratocorys","eucalyptus ceratocorys","","Species ","D.Nicolle",2232,"Koorda, WA",30,48,45,117,24,4,175,7,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1999,"Eucalyptus_ceratocorys_519","eucalyptus_ceratocorys","eucalyptus_ceratocorys"
"162","Eucalyptus cernua","Eucalyptus cernua","eucalyptus cernua","Eucalyptus cernua","eucalyptus cernua","","Species ","D.Nicolle",182,"Ravensthorpe, WA",33,41,46,120,21,58,43,24,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"Eucalyptus_cernua_436","eucalyptus_cernua","eucalyptus_cernua"
"163","Eucalyptus chartaboma","Eucalyptus chartaboma","eucalyptus chartaboma","Eucalyptus chartaboma","eucalyptus chartaboma","","Species ","D.Nicolle",2509,"Lappa Junction, Qld",17,32,26,144,57,21,191,33,"Dead","","","","","","","","","","","",2000,"Eucalyptus_chartaboma_CANB_703248","eucalyptus_chartaboma","eucalyptus_chartaboma"
"164","Eucalyptus chlorophylla","Eucalyptus chlorophylla","eucalyptus chlorophylla","Eucalyptus chlorophylla","eucalyptus chlorophylla","","Species ","D.Nicolle",1315,"Laura, Qld",15,21,35,144,26,33,93,14,"Alive","None evident","None evident","?","","","","","","None evident","","",1996,"Eucalyptus_chlorophylla_CANB_785565","eucalyptus_chlorophylla","eucalyptus_chlorophylla"
"165","Eucalyptus cinerea subsp. triplex (subsp. victoriensis)","Eucalyptus cinerea subsp. triplex","eucalyptus cinerea subsp. triplex","Eucalyptus cinerea subsp. triplex","eucalyptus cinerea subsp. triplex","","Subspecies","D.Nicolle",569,"Beechworth, Vic",36,18,26,146,40,4,56,13,"Alive","Moderate","Moderate","?","None evident","","","","","Moderate","Flowered","Flowered",1994,"Eucalyptus_cinerea_subsp_triplex_8703938","eucalyptus_cinerea_subsp._triplex","eucalyptus_cinerea_subsp_triplex"
"166","Eucalyptus clivicola","Eucalyptus clivicola","eucalyptus clivicola","Eucalyptus clivicola","eucalyptus clivicola","","Species ","D.Nicolle",193,"Ravensthorpe, WA",33,42,3,120,11,16,16,10,"Alive","Moderate","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_clivicola_66","eucalyptus_clivicola","eucalyptus_clivicola"
"167","Eucalyptus cloeziana","Eucalyptus cloeziana","eucalyptus cloeziana","Eucalyptus cloeziana","eucalyptus cloeziana","","Species ","D.Nicolle",696,"Isla Gorge, Qld",25,11,5,149,59,21,56,22,"Alive","None evident","Slight","?","None evident","","","","","None evident","","",1994,"Eucalyptus_cloeziana_241","eucalyptus_cloeziana","eucalyptus_cloeziana"
"168","Eucalyptus cneorifolia","Eucalyptus cneorifolia","eucalyptus cneorifolia","Eucalyptus cneorifolia","eucalyptus cneorifolia","","Species ","D.Nicolle",75,"Waitpinga, SA",35,34,NA,138,32,NA,44,4,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",1994,"Eucalyptus_cneorifolia_195","eucalyptus_cneorifolia","eucalyptus_cneorifolia"
"169","Eucalyptus concinna","Eucalyptus concinna","eucalyptus concinna","Eucalyptus concinna","eucalyptus concinna","","Species ","D.Nicolle",1391,"Tarcoola, SA",30,50,32,134,34,19,86,33,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"Eucalyptus_concinna_457","eucalyptus_concinna","eucalyptus_concinna"
"170","Eucalyptus conferruminata subsp. recherche ","Eucalyptus conferruminata subsp. recherche","eucalyptus conferruminata subsp. recherche","Eucalyptus conferruminata subsp. recherche","eucalyptus conferruminata subsp. recherche","","Subspecies","D.Nicolle",4611,"Woody Island, WA",33,58,1,122,0,37,267,2,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2004,"Eucalyptus_conferruminata_subsp_recherche_114","eucalyptus_conferruminata_subsp._recherche","eucalyptus_conferruminata_subsp_recherche"
"171","Eucalyptus confluens","Eucalyptus confluens","eucalyptus confluens","Eucalyptus confluens","eucalyptus confluens","","Species ","D.Nicolle",1908,"King Leopold Range, WA",17,8,31,125,4,37,82,11,"Dead","","","","","","","","","","","",1998,"Eucalyptus_confluens_CANB_785543","eucalyptus_confluens","eucalyptus_confluens"
"172","Eucalyptus conglobata subsp. conglobata","Eucalyptus conglobata subsp. conglobata","eucalyptus conglobata subsp. conglobata","Eucalyptus conglobata subsp. conglobata","eucalyptus conglobata subsp. conglobata","","Subspecies","D.Nicolle",1106,"Salmon Gums, WA",33,8,49,122,6,29,65,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"Eucalyptus_conglobata_subsp_conglobata_5","eucalyptus_conglobata_subsp._conglobata","eucalyptus_conglobata_subsp_conglobata"
"173","Eucalyptus conglomerata","Eucalyptus conglomerata","eucalyptus conglomerata","Eucalyptus conglomerata","eucalyptus conglomerata","","Species ","D.Nicolle",719,"Beerwah, Qld",26,50,56,152,57,18,15,40,"Dead","","","","","","","","","","","",1994,"Eucalyptus_conglomerata","eucalyptus_conglomerata","eucalyptus_conglomerata"
"174","Eucalyptus conica","Eucalyptus conica","eucalyptus conica","Eucalyptus conica","eucalyptus conica","","Species ","D.Nicolle",747,"Bylong, NSW",32,24,14,150,13,20,47,5,"Alive","Slight","Slight","?","Scattered","Secondary & tertiary branches","3 - 6 months","None evident","","Slight","Flowered","Flowered",1994,"Eucalyptus_conica_AHT_E9","eucalyptus_conica","eucalyptus_conica"
"175","Eucalyptus consideniana","Eucalyptus consideniana","eucalyptus consideniana","Eucalyptus consideniana","eucalyptus consideniana","","Species ","D.Nicolle",611,"Nowra, NSW",35,5,40,150,22,9,51,22,"Alive","Moderate","Moderate","?","None evident","","","","","Severe","Budded","Budded",1994,"Eucalyptus_consideniana_219","eucalyptus_consideniana","eucalyptus_consideniana"
"176","Eucalyptus conspicua","Eucalyptus conspicua","eucalyptus conspicua","Eucalyptus conspicua","eucalyptus conspicua","","Species ","D.Nicolle",1747,"Narrabarba, NSW",37,16,26,149,47,53,262,3,"Alive","Moderate","Severe","?","Moderate","Trunk only","3 - 6 months","None evident","","Not applicable","Flowered","Flowered",2004,"Eucalyptus_conspicua_113","eucalyptus_conspicua","eucalyptus_conspicua"
"177","Eucalyptus conveniens","Eucalyptus conveniens","eucalyptus conveniens","Eucalyptus conveniens","eucalyptus conveniens","","Species ","D.Nicolle",1162,"Dongara, WA",29,28,3,115,19,0,68,18,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"Eucalyptus_conveniens_48","eucalyptus_conveniens","eucalyptus_conveniens"
"178","Eucalyptus coolabah","Eucalyptus coolabah","eucalyptus coolabah","Eucalyptus coolabah","eucalyptus coolabah","","Species ","D.Nicolle",1355,"Palmer River, NT",24,44,10,133,10,58,86,16,"Alive","None evident","None evident","?","","","","","","None evident","","",1996,"Eucalyptus_coolabah_MC_10582","eucalyptus_coolabah","eucalyptus_coolabah"
"179","Eucalyptus cooperiana","Eucalyptus cooperiana","eucalyptus cooperiana","Eucalyptus cooperiana","eucalyptus cooperiana","","Species ","D.Nicolle",168,"Condingup, WA",33,44,8,122,17,28,23,17,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_cooperiana_293","eucalyptus_cooperiana","eucalyptus_cooperiana"
"180","Eucalyptus cornuta ","Eucalyptus cornuta","eucalyptus cornuta","Eucalyptus cornuta","eucalyptus cornuta","","Species ","D.Nicolle",4608,"Observatory Island, WA",33,55,23,121,47,45,268,4,"Dead","","","","","","","","","","","",2004,"Eucalyptus_cornuta_65","eucalyptus_cornuta","eucalyptus_cornuta"
"181","Eucalyptus coronata","Eucalyptus coronata","eucalyptus coronata","Eucalyptus coronata","eucalyptus coronata","","Species ","D.Nicolle",2247,"East Mt Barren, WA",33,55,33,120,1,36,173,11,"Alive","Slight","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",1999,"Eucalyptus_coronata_658","eucalyptus_coronata","eucalyptus_coronata"
"182","Eucalyptus corrugata","Eucalyptus corrugata","eucalyptus corrugata","Eucalyptus corrugata","eucalyptus corrugata","","Species ","D.Nicolle",305,"Westonia, WA",31,17,21,118,40,20,14,16,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_corrugata_7","eucalyptus_corrugata","eucalyptus_corrugata"
"183","Eucalyptus corticosa","Eucalyptus corticosa","eucalyptus corticosa","Eucalyptus corticosa","eucalyptus corticosa","","Species ","D.Nicolle",6276,"Olinda, NSW",32,51,26,150,14,25,285,11,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2013,"Eucalyptus_corticosa_ANBG_54339","eucalyptus_corticosa","eucalyptus_corticosa"
"184","Eucalyptus corticosa (E. conferta)","Eucalyptus corticosa","eucalyptus corticosa","Eucalyptus conferta","eucalyptus conferta","","Species ","D.Nicolle",6781,"Vaughan, Vic",37,12,55,144,14,33,163,9,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2015,"Eucalyptus_corticosa_ANBG_54339","eucalyptus_corticosa","eucalyptus_corticosa"
"185","Eucalyptus corticosa (E. ignorabilis)","Eucalyptus corticosa","eucalyptus corticosa","Eucalyptus ignorabilis","eucalyptus ignorabilis","","Species ","D.Nicolle",1746,"Narrabarba, NSW",37,16,27,149,47,53,146,35,"Alive","Slight","None evident","?","None evident","","","","","None evident","Flowered","Flowered",1997,"Eucalyptus_corticosa_ANBG_54339","eucalyptus_corticosa","eucalyptus_corticosa"
"186","Eucalyptus cosmophylla","Eucalyptus cosmophylla","eucalyptus cosmophylla","Eucalyptus cosmophylla","eucalyptus cosmophylla","","Species ","D.Nicolle",7236,"Clarendon, SA",35,5,42,138,38,59,344,28,"Alive","Moderate","Moderate","?","Moderate","Basal only","3 - 6 months","None evident","","Not applicable","","",2017,"Eucalyptus_cosmophylla_ANBG_8409259","eucalyptus_cosmophylla","eucalyptus_cosmophylla"
"187","Eucalyptus crenulata","Eucalyptus crenulata","eucalyptus crenulata","Eucalyptus crenulata","eucalyptus crenulata","","Species ","D.Nicolle",1775,"Buxton, Vic",37,27,1,145,41,37,141,9,"Dead","","","","","","","","","Died in 2006","","",1997,"Eucalyptus_crenulata_307","eucalyptus_crenulata","eucalyptus_crenulata"
"188","Eucalyptus creta","Eucalyptus creta","eucalyptus creta","Eucalyptus creta","eucalyptus creta","","Species ","D.Nicolle",1102,"Mt Ridley, WA",33,4,23,122,16,15,65,23,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"Eucalyptus_creta_29","eucalyptus_creta","eucalyptus_creta"
"189","Eucalyptus cretata","Eucalyptus cretata","eucalyptus cretata","Eucalyptus cretata","eucalyptus cretata","","Species ","D.Nicolle",1689,"Darke Peak, SA",33,27,11,136,13,28,133,25,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"Eucalyptus_cretata_271","eucalyptus_cretata","eucalyptus_cretata"
"190","Eucalyptus croajingolensis","Eucalyptus croajingolensis","eucalyptus croajingolensis","Eucalyptus croajingolensis","eucalyptus croajingolensis","","Species ","D.Nicolle",1744,"Cann River, Vic",37,33,56,149,4,40,142,16,"Alive","Severe","Dead","?","None evident","","","","","Severe","","",1997,"Eucalyptus_croajingolensis_156","eucalyptus_croajingolensis","eucalyptus_croajingolensis"
"191","Eucalyptus crucis subsp. crucis","Eucalyptus crucis subsp. crucis","eucalyptus crucis subsp. crucis","Eucalyptus crucis subsp. crucis","eucalyptus crucis subsp. crucis","","Subspecies","D.Nicolle",305,"Sandford Rock, WA",31,14,22,118,45,97,43,28,"Dead","","","","","","","","","","","",1994,"Eucalyptus_crucis_subsp_crucis_45","eucalyptus_crucis_subsp._crucis","eucalyptus_crucis_subsp_crucis"
"192","Eucalyptus cunninghamii","Eucalyptus cunninghamii","eucalyptus cunninghamii","Eucalyptus cunninghamii","eucalyptus cunninghamii","","Species ","D.Nicolle",2915,"Kings Tableland, NSW",33,46,14,150,22,35,196,25,"Dead","","","","","","","","","","","",2000,"Eucalyptus_cunninghamii_9806132","eucalyptus_cunninghamii","eucalyptus_cunninghamii"
"193","Eucalyptus cuprea","Eucalyptus cuprea","eucalyptus cuprea","Eucalyptus cuprea","eucalyptus cuprea","","Species ","D.Nicolle",3536,"Murchison River, WA",27,44,54,114,40,30,235,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"Eucalyptus_cuprea_437","eucalyptus_cuprea","eucalyptus_cuprea"
"194","Eucalyptus cupularis","Eucalyptus cupularis","eucalyptus cupularis","Eucalyptus cupularis","eucalyptus cupularis","","Species ","D.Nicolle",1938,"Halls Creek, WA",18,15,24,127,42,41,136,36,"Alive","None evident","None evident","?","","","","","","None evident","","",1997,"Eucalyptus_cupularis_CANB_785563","eucalyptus_cupularis","eucalyptus_cupularis"
"195","Eucalyptus curtisii","Eucalyptus curtisii","eucalyptus curtisii","Eucalyptus curtisii","eucalyptus curtisii","","Species ","D.Nicolle",2108,"Beerwah, Qld",26,51,52,152,59,6,159,9,"Alive","Slight","Slight","?","None evident","","","","","None evident","","",1998,"Eucalyptus_curtisii_632","eucalyptus_curtisii","eucalyptus_curtisii"
"196","Eucalyptus cyanophylla","Eucalyptus cyanophylla","eucalyptus cyanophylla","Eucalyptus cyanophylla","eucalyptus cyanophylla","","Species ","D.Nicolle",983,"Berri, SA",34,20,0,140,39,25,64,36,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"Eucalyptus_cyanophylla_338","eucalyptus_cyanophylla","eucalyptus_cyanophylla"
"197","Eucalyptus cyclostoma","Eucalyptus cyclostoma","eucalyptus cyclostoma","Eucalyptus cyclostoma","eucalyptus cyclostoma","","Species ","D.Nicolle",125,"Newman Rock, WA",32,9,34,123,14,24,12,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_cyclostoma_9903101","eucalyptus_cyclostoma","eucalyptus_cyclostoma"
"198","Eucalyptus cylindriflora","Eucalyptus cylindriflora","eucalyptus cylindriflora","Eucalyptus cylindriflora","eucalyptus cylindriflora","","Species ","D.Nicolle",144,"Salmon Gums, WA",32,52,19,121,35,29,17,12,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_cylindriflora_CANB_794327","eucalyptus_cylindriflora","eucalyptus_cylindriflora"
"199","Eucalyptus cylindrocarpa","Eucalyptus cylindrocarpa","eucalyptus cylindrocarpa","Eucalyptus cylindrocarpa","eucalyptus cylindrocarpa","","Species ","D.Nicolle",121,"Balladonia, WA",32,13,20,123,21,54,23,34,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_cylindrocarpa_AHT_E8","eucalyptus_cylindrocarpa","eucalyptus_cylindrocarpa"
"200","Eucalyptus cypellocarpa (E. oresbia)","Eucalyptus cypellocarpa","eucalyptus cypellocarpa","Eucalyptus cypellocarpa","eucalyptus cypellocarpa","","Species ","D.Nicolle",2949,"Nundle, NSW",31,28,0,151,11,3,191,3,"Alive","Moderate","Severe","?","None evident","","","","","None evident","","",2000,"Eucalyptus_cypellocarpa_665","eucalyptus_cypellocarpa","eucalyptus_cypellocarpa"
"201","Eucalyptus cypellocarpa (E. quinniorum)","Eucalyptus cypellocarpa","eucalyptus cypellocarpa","Eucalyptus quinniorum","eucalyptus quinniorum","","Species ","D.Nicolle",2946,"Kingstown, NSW",30,30,39,151,1,27,190,7,"Alive","Moderate","Moderate","?","Scattered","Primary & secondary branches","3 - 6 months","None evident","","None evident","","",2000,"Eucalyptus_cypellocarpa_665","eucalyptus_cypellocarpa","eucalyptus_cypellocarpa"
"202","Eucalyptus dalrympleana subsp. dalrympleana","Eucalyptus dalrympleana subsp. dalrympleana","eucalyptus dalrympleana subsp. dalrympleana","Eucalyptus dalrympleana subsp. dalrympleana","eucalyptus dalrympleana subsp. dalrympleana","","Subspecies","D.Nicolle",1363,"Mt Lofty Ranges, SA",35,1,16,138,47,6,91,28,"Dead","","","","","","","","","Died in 2006","","",1996,"Eucalyptus_dalrympleana_subsp_dalrympleana_ANBG_7804378","eucalyptus_dalrympleana_subsp._dalrympleana","eucalyptus_dalrympleana_subsp_dalrympleana"
"203","Eucalyptus dawsonii","Eucalyptus dawsonii","eucalyptus dawsonii","Eucalyptus dawsonii","eucalyptus dawsonii","","Species ","D.Nicolle",743,"Ginghi, NSW",32,36,31,150,4,29,47,19,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"Eucalyptus_dawsonii_762","eucalyptus_dawsonii","eucalyptus_dawsonii"
"204","Eucalyptus dealbata","Eucalyptus dealbata","eucalyptus dealbata","Eucalyptus dealbata","eucalyptus dealbata","","Species ","D.Nicolle",6171,"Texas, Qld",28,49,53,151,14,52,242,9,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2013,"Eucalyptus_dealbata_212","eucalyptus_dealbata","eucalyptus_dealbata"
"205","Eucalyptus deanei","Eucalyptus deanei","eucalyptus deanei","Eucalyptus deanei","eucalyptus deanei","","Species ","D.Nicolle",633,"Perrys Crossing, NSW",33,12,0,150,59,43,13,41,"Alive","Slight","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1994,"Eucalyptus_deanei_623","eucalyptus_deanei","eucalyptus_deanei"
"206","Eucalyptus decolor","Eucalyptus decolor","eucalyptus decolor","Eucalyptus decolor","eucalyptus decolor","","Species ","D.Nicolle",2545,"Boynedale, Qld",24,11,51,151,16,32,166,17,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1999,"Eucalyptus_decolor_486","eucalyptus_decolor","eucalyptus_decolor"
"207","Eucalyptus decorticans","Eucalyptus decorticans","eucalyptus decorticans","Eucalyptus decorticans","eucalyptus decorticans","","Species ","D.Nicolle",1260,"Eidsvold, Qld",25,22,51,151,9,2,90,33,"Alive","Slight","Slight","?","Moderate","Secondary & tertiary branches","3 - 6 months","None evident","","Slight","Flowered","Flowered",1996,"Eucalyptus_decorticans_73445","eucalyptus_decorticans","eucalyptus_decorticans"
"208","Eucalyptus decurva","Eucalyptus decurva","eucalyptus decurva","Eucalyptus decurva","eucalyptus decurva","","Species ","D.Nicolle",219,"Wellstead, WA",34,31,6,118,37,12,18,8,"Dead","","","","","","","","","Died in 2006","","",1993,"Eucalyptus_decurva_MC_10965","eucalyptus_decurva","eucalyptus_decurva"
"209","Eucalyptus deflexa","Eucalyptus deflexa","eucalyptus deflexa","Eucalyptus deflexa","eucalyptus deflexa","","Species ","D.Nicolle",1110,"Lake King, WA",32,55,13,120,21,57,70,17,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"Eucalyptus_deflexa_364","eucalyptus_deflexa","eucalyptus_deflexa"
"210","Eucalyptus deglupta","Eucalyptus deglupta","eucalyptus deglupta","Eucalyptus deglupta","eucalyptus deglupta","","Species ","CSIRO",19790,"SS of New Britain, Bulolo",NA,NA,NA,NA,NA,NA,80,17,"Dead","","","","","","","","","","","",1999,"Eucalyptus_deglupta_BG_859","eucalyptus_deglupta","eucalyptus_deglupta"
"211","Eucalyptus delegatensis subsp. delegatensis","Eucalyptus delegatensis subsp. delegatensis","eucalyptus delegatensis subsp. delegatensis","Eucalyptus delegatensis subsp. delegatensis","eucalyptus delegatensis subsp. delegatensis","","Subspecies","D.Nicolle",573,"Mt Buffalo, Vic",36,42,55,146,47,31,162,1,"Dead","","","","","","","","","","","",1998,"Eucalyptus_delegatensis_subsp_delegatensis_CANB_499445","eucalyptus_delegatensis_subsp._delegatensis","eucalyptus_delegatensis_subsp_delegatensis"
"212","Eucalyptus delicata","Eucalyptus delicata","eucalyptus delicata","Eucalyptus delicata","eucalyptus delicata","","Species ","D.Nicolle",149,"Lort River, WA",33,3,21,121,10,27,19,29,"Alive","None evident","None evident","?","","","","","","None evident","","",1993,"Eucalyptus_delicata_514","eucalyptus_delicata","eucalyptus_delicata"
"213","Eucalyptus denticulata","Eucalyptus denticulata","eucalyptus denticulata","Eucalyptus denticulata","eucalyptus denticulata","","Species ","D.Nicolle",1743,"Errinundra Plateau, Vic",37,20,24,148,50,50,146,28,"Alive","Dead","","","","","","","3 - 6 months","Slight","","",1997,"Eucalyptus_denticulata_378","eucalyptus_denticulata","eucalyptus_denticulata"
"214","Eucalyptus desmondensis","Eucalyptus desmondensis","eucalyptus desmondensis","Eucalyptus desmondensis","eucalyptus desmondensis","","Species ","D.Nicolle",192,"Desmond, WA",33,37,6,120,8,11,18,2,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_desmondensis_515","eucalyptus_desmondensis","eucalyptus_desmondensis"
"215","Eucalyptus deuaensis","Eucalyptus deuaensis","eucalyptus deuaensis","Eucalyptus deuaensis","eucalyptus deuaensis","","Species ","D.Nicolle",1769,"Deua Nat. Park, NSW",35,50,NA,149,48,NA,141,25,"Alive","Moderate","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1997,"Eucalyptus_deuaensis_151","eucalyptus_deuaensis","eucalyptus_deuaensis"
"216","Eucalyptus dielsii","Eucalyptus dielsii","eucalyptus dielsii","Eucalyptus dielsii","eucalyptus dielsii","","Species ","D.Nicolle",1120,"Ravensthorpe, WA",33,26,46,119,57,18,69,15,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"Eucalyptus_dielsii_74","eucalyptus_dielsii","eucalyptus_dielsii"
"217","Eucalyptus diminuta","Eucalyptus diminuta","eucalyptus diminuta","Eucalyptus diminuta","eucalyptus diminuta","","Species ","D.Nicolle",1168,"Binnu, WA",28,0,38,114,40,24,62,13,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"Eucalyptus_diminuta_438","eucalyptus_diminuta","eucalyptus_diminuta"
"218","Eucalyptus diptera","Eucalyptus diptera","eucalyptus diptera","Eucalyptus diptera","eucalyptus diptera","","Species ","D.Nicolle",146,"Salmon Gums, WA",32,57,51,121,38,3,21,19,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_diptera_535","eucalyptus_diptera","eucalyptus_diptera"
"219","Eucalyptus dissimulata","Eucalyptus dissimulata","eucalyptus dissimulata","Eucalyptus dissimulata","eucalyptus dissimulata","","Species ","D.Nicolle",1629,"Lake Cairlocup, WA",33,45,28,118,46,39,136,31,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"Eucalyptus_dissimulata_89","eucalyptus_dissimulata","eucalyptus_dissimulata"
"220","Eucalyptus distans","Eucalyptus distans","eucalyptus distans","Eucalyptus distans","eucalyptus distans","","Species ","D.Nicolle",2452,"Willeroo, NT",14,52,54,131,54,22,171,2,"Alive","None evident","None evident","?","","","","","","None evident","","",1999,"Eucalyptus_distans_CANB_409167","eucalyptus_distans","eucalyptus_distans"
