"","x"
"1278","2920"
"1279","4226"
"1280","4203"
"1281","2440"
"1282","1329"
"1283","2526"
"1284","2520"
"1285","1916"
"1286","1289"
"1287","1322"
"1288","686"
"1289","1761"
"1290","645"
"1291","2506"
"1292","712"
"1293","2556"
"1294","4172"
"1295","980"
"1296","2119"
"1297","6474"
"1298","674"
"1299","5263"
"1300","1338"
"1301","2458"
"1302","5812"
"1303","1920"
"1304","1908"
"1305","6640"
"1306","4220"
"1307","1936"
"1308","1291"
"1309","6422"
"1310","1313"
"1311","1919"
"1312","5810"
"1313","5804"
"1314","2468"
"1315","2486"
"1316","6646"
"1317","1930"
"1318","5137"
"1319","2533"
"1320","646"
"1321","6414"
"1322","5117"
"1323","2508"
"1324","1292"
"1325","5205"
"1326","5203"
"1327","4183"
"1328","1330"
"1329","1285"
"1330","690"
"1331","5121"
"1332","1298"
"1333","2898"
"1334","1676"
"1335","681"
"1336","4179"
"1337","1207"
"1338","1202"
"1339","1364"
"1340","6916"
"1341","2895"
"1342","1220"
"1343","6866"
"1344","1590"
"1345","679"
"1346","2954"
"1347","736"
"1348","2580"
"1349","936"
"1350","822"
"1351","1683"
"1352","2569"
"1353","1053"
"1354","3182"
"1355","2583"
"1356","453"
"1357","1219"
"1358","777"
"1359","2902"
"1360","1733"
"1361","1958"
"1362","2581"
"1363","2897"
"1364","2566"
"1365","1798"
"1366","351"
"1367","4310"
"1368","473"
"1369","2585"
"1370","3788"
"1371","460"
"1372","6105"
"1373","6784"
"1374","1727"
"1375","717"
"1376","2086"
"1377","697"
"1378","639"
"1379","2903"
"1380","2918"
"1381","643"
"1382","634"
"1383","945"
"1384","946"
"1385","5933"
"1386","57"
"1387","482"
"1388","6097"
"1389","7378"
"1390","1734"
"1391","5915"
"1392","5285"
"1393","3183"
"1394","2065"
"1395","783"
"1396","5932"
"1397","1689"
"1398","487"
"1399","1506"
"1400","5924"
"1401","4423"
"1402","3439"
"1403","929"
"1404","824"
"1405","5229"
"1406","2558"
"1407","981"
"1408","93"
"1409","983"
"1410","3642"
"1411","128"
"1412","3880"
"1413","3619"
"1414","116"
"1415","2801"
"1416","2245"
"1417","553"
"1418","5966"
"1419","1072"
"1420","4669"
"1421","3178"
"1422","5477"
"1423","3644"
"1424","947"
"1425","191"
"1426","7295"
"1427","333"
"1428","3711"
"1429","3608"
"1430","3604"
"1431","3660"
"1432","2286"
"1433","135"
"1434","3480"
"1435","3657"
"1436","3653"
"1437","551"
"1438","3898"
"1439","3634"
"1440","122"
"1441","4626"
"1442","249"
"1443","5592"
"1444","1548"
"1445","5180"
"1446","1550"
"1447","1188"
"1448","525"
"1449","1520"
"1450","1405"
"1451","137"
"1452","3656"
"1453","158"
"1454","6017"
"1455","3588"
"1456","1106"
"1457","944"
"1458","938"
"1459","933"
"1460","559"
"1461","3830"
"1462","3667"
"1463","3474"
"1464","3625"
"1465","3620"
"1466","2795"
"1467","5453"
"1468","302"
"1469","5585"
"1470","5596"
"1471","321"
"1472","316"
"1473","1603"
"1474","326"
"1475","3669"
"1476","3468"
"1477","3449"
"1478","3424"
"1479","242"
"1480","1173"
"1481","2235"
"1482","266"
"1483","325"
"1484","323"
"1485","3483"
"1486","305"
"1487","2767"
"1488","1897"
"1489","6943"
"1490","2232"
"1491","1076"
"1492","3527"
"1493","269"
"1494","1116"
"1495","286"
"1496","132"
"1497","2896"
"1498","732"
"1499","949"
"1500","4794"
"1501","4786"
"1502","4558"
"1503","3829"
"1504","3177"
"1505","1112"
"1506","6693"
"1507","2281"
"1508","6926"
"1509","1566"
"1510","6021"
"1511","1861"
"1512","3645"
"1513","444"
"1514","79"
"1515","1119"
"1516","1099"
"1517","155"
"1518","3676"
"1519","322"
"1520","5507"
"1521","3713"
"1522","1105"
"1523","3616"
"1524","3592"
"1525","153"
"1526","5908"
"1527","3179"
"1528","806"
"1529","4551"
"1530","1826"
"1531","3633"
"1532","549"
"1533","6377"
"1534","160"
"1535","6025"
"1536","5509"
"1537","203"
"1538","181"
"1539","4571"
"1540","3731"
"1541","4572"
"1542","4796"
"1543","4602"
"1544","4550"
