all,genus,species,subspecies,provence,,,,,provence____,Taxa,name
Corymbia_peltata_493,Corymbia,peltata,,493,,,,,493____,Corymbia peltata ,corymbia peltata
Corymbia_petalophylla_Mt_Annan_892019,Corymbia,petalophylla,,Mt,Ann,892019,,,Mt_Ann_892019__,Corymbia petalophylla ,corymbia petalophylla
Corymbia_plena_CANB_660150,Corymbia,plena,,CANB,660150,,,,CANB_660150___,Corymbia plena ,corymbia plena
Corymbia_polycarpa_CANB_785478,Corymbia,polycarpa,,CANB,785478,,,,CANB_785478___,Corymbia polycarpa ,corymbia polycarpa
Corymbia_polysciada_CANB_785479,Corymbia,polysciada,,CANB,785479,,,,CANB_785479___,Corymbia polysciada ,corymbia polysciada
Corymbia_porphyritica,Corymbia,porphyritica,,,,,,,____,Corymbia porphyritica ,corymbia porphyritica
Corymbia_porrecta_CANB_628340,Corymbia,porrecta,,CANB,628340,,,,CANB_628340___,Corymbia porrecta ,corymbia porrecta
Corymbia_ptychocarpa_subsp_ptychocarpa_MC_10536,Corymbia,ptychocarpa,ptychocarpa,,,MC,10536,,__MC_10536_,Corymbia ptychocarpa subsp. ptychocarpa,corymbia ptychocarpa subsp. ptychocarpa
Corymbia_rhodops_CANB_598277,Corymbia,rhodops,,CANB,598277,,,,CANB_598277___,Corymbia rhodops ,corymbia rhodops
Corymbia_scabrida_Mt_Annan_891868,Corymbia,scabrida,,Mt,Ann,891868,,,Mt_Ann_891868__,Corymbia scabrida ,corymbia scabrida
Corymbia_stockeri_subsp_stockeri_CANB_739042,Corymbia,stockeri,stockeri,,,CANB,739042,,__CANB_739042_,Corymbia stockeri subsp. stockeri,corymbia stockeri subsp. stockeri
Corymbia_terminalis_MC_10579,Corymbia,terminalis,,MC,10579,,,,MC_10579___,Corymbia terminalis ,corymbia terminalis
Corymbia_tessellaris_324,Corymbia,tessellaris,,324,,,,,324____,Corymbia tessellaris ,corymbia tessellaris
Corymbia_torelliana_Mt_Annan_981102,Corymbia,torelliana,,Mt,Ann,981102,,,Mt_Ann_981102__,Corymbia torelliana ,corymbia torelliana
Corymbia_torta_CANB_644409,Corymbia,torta,,CANB,644409,,,,CANB_644409___,Corymbia torta ,corymbia torta
Corymbia_trachyphloia_ANBG_60750,Corymbia,trachyphloia,,ANBG,60750,,,,ANBG_60750___,Corymbia trachyphloia ,corymbia trachyphloia
Corymbia_variegata,Corymbia,variegata,,,,,,,____,Corymbia variegata ,corymbia variegata
Corymbia_watsoniana_subsp_watsoniana_ANBG_68771,Corymbia,watsoniana,watsoniana,,,ANBG,68771,,__ANBG_68771_,Corymbia watsoniana subsp. watsoniana,corymbia watsoniana subsp. watsoniana
Corymbia_xanthope,Corymbia,xanthope,,,,,,,____,Corymbia xanthope ,corymbia xanthope
Corymbia_zygophylla_MC_10581,Corymbia,zygophylla,,MC,10581,,,,MC_10581___,Corymbia zygophylla ,corymbia zygophylla
Decaspermum_humile,Decaspermum,humile,,,,,,,____,Decaspermum humile ,decaspermum humile
Eucalyptopsis_alauda_CANB_704249,Eucalyptopsis,alauda,,CANB,704249,,,,CANB_704249___,Eucalyptopsis alauda ,eucalyptopsis alauda
Eucalyptopsis_papuana,Eucalyptopsis,papuana,,,,,,,____,Eucalyptopsis papuana ,eucalyptopsis papuana
Eucalyptus_abdita_CANB_687864,Eucalyptus,abdita,,CANB,687864,,,,CANB_687864___,Eucalyptus abdita ,eucalyptus abdita
Eucalyptus_absita_354,Eucalyptus,absita,,354,,,,,354____,Eucalyptus absita ,eucalyptus absita
Eucalyptus_acaciiformis_214,Eucalyptus,acaciiformis,,214,,,,,214____,Eucalyptus acaciiformis ,eucalyptus acaciiformis
Eucalyptus_accedens_346,Eucalyptus,accedens,,346,,,,,346____,Eucalyptus accedens ,eucalyptus accedens
Eucalyptus_acies_CANB_610687,Eucalyptus,acies,,CANB,610687,,,,CANB_610687___,Eucalyptus acies ,eucalyptus acies
Eucalyptus_acmenoides_624,Eucalyptus,acmenoides,,624,,,,,624____,Eucalyptus acmenoides ,eucalyptus acmenoides
Eucalyptus_acroleuca_CANB_593424,Eucalyptus,acroleuca,,CANB,593424,,,,CANB_593424___,Eucalyptus acroleuca ,eucalyptus acroleuca
Eucalyptus_aequioperta_23,Eucalyptus,aequioperta,,23,,,,,23____,Eucalyptus aequioperta ,eucalyptus aequioperta
Eucalyptus_agglomerata_673,Eucalyptus,agglomerata,,673,,,,,673____,Eucalyptus agglomerata ,eucalyptus agglomerata
Eucalyptus_aggregata_580,Eucalyptus,aggregata,,580,,,,,580____,Eucalyptus aggregata ,eucalyptus aggregata
Eucalyptus_alaticaulis_371,Eucalyptus,alaticaulis,,371,,,,,371____,Eucalyptus alaticaulis ,eucalyptus alaticaulis
Eucalyptus_alba,Eucalyptus,alba,,,,,,,____,Eucalyptus alba ,eucalyptus alba
Eucalyptus_albens_661,Eucalyptus,albens,,661,,,,,661____,Eucalyptus albens ,eucalyptus albens
Eucalyptus_albida_46,Eucalyptus,albida,,46,,,,,46____,Eucalyptus albida ,eucalyptus albida
Eucalyptus_albopurpurea_3,Eucalyptus,albopurpurea,,3,,,,,3____,Eucalyptus albopurpurea ,eucalyptus albopurpurea
Eucalyptus_alipes_53,Eucalyptus,alipes,,53,,,,,53____,Eucalyptus alipes ,eucalyptus alipes
Eucalyptus_alligatrix_subsp_alligatrix_167,Eucalyptus,alligatrix,alligatrix,,,167,,,__167__,Eucalyptus alligatrix subsp. alligatrix,eucalyptus alligatrix subsp. alligatrix
Eucalyptus_amplifolia_subsp_amplifolia_225,Eucalyptus,amplifolia,amplifolia,,,225,,,__225__,Eucalyptus amplifolia subsp. amplifolia,eucalyptus amplifolia subsp. amplifolia
Eucalyptus_amygdalina_CANB_481986,Eucalyptus,amygdalina,,CANB,481986,,,,CANB_481986___,Eucalyptus amygdalina ,eucalyptus amygdalina
Eucalyptus_ancophila_Mt_Annan_841467,Eucalyptus,ancophila,,Mt,Ann,841467,,,Mt_Ann_841467__,Eucalyptus ancophila ,eucalyptus ancophila
Eucalyptus_andrewsii_subsp_andrewsii_8410679,Eucalyptus,andrewsii,andrewsii,,,8410679,,,__8410679__,Eucalyptus andrewsii subsp. andrewsii,eucalyptus andrewsii subsp. andrewsii
Eucalyptus_angophoroides_158,Eucalyptus,angophoroides,,158,,,,,158____,Eucalyptus angophoroides ,eucalyptus angophoroides
Eucalyptus_angulosa_383,Eucalyptus,angulosa,,383,,,,,383____,Eucalyptus angulosa ,eucalyptus angulosa
Eucalyptus_angustissima_CANB_794337,Eucalyptus,angustissima,,CANB,794337,,,,CANB_794337___,Eucalyptus angustissima ,eucalyptus angustissima
Eucalyptus_annulata_CANB_794263,Eucalyptus,annulata,,CANB,794263,,,,CANB_794263___,Eucalyptus annulata ,eucalyptus annulata
Eucalyptus_apiculata_613,Eucalyptus,apiculata,,613,,,,,613____,Eucalyptus apiculata ,eucalyptus apiculata
Eucalyptus_apodophylla_subsp_provecta_CANB_7855329,Eucalyptus,apodophylla,provecta,,,CANB,7855329,,__CANB_7855329_,Eucalyptus apodophylla subsp. provecta,eucalyptus apodophylla subsp. provecta
Eucalyptus_apothalassica_721925,Eucalyptus,apothalassica,,721925,,,,,721925____,Eucalyptus apothalassica ,eucalyptus apothalassica
Eucalyptus_approximans_subsp_codonocarpa_69702,Eucalyptus,approximans,codonocarpa,,,69702,,,__69702__,Eucalyptus approximans subsp. codonocarpa,eucalyptus approximans subsp. codonocarpa
Eucalyptus_aquilina_CANB_459757,Eucalyptus,aquilina,,CANB,459757,,,,CANB_459757___,Eucalyptus aquilina ,eucalyptus aquilina
Eucalyptus_arachnae_518,Eucalyptus,arachnae,,518,,,,,518____,Eucalyptus arachnae ,eucalyptus arachnae
Eucalyptus_arborella_361,Eucalyptus,arborella,,361,,,,,361____,Eucalyptus arborella ,eucalyptus arborella
Eucalyptus_arenacea_MC_10652,Eucalyptus,arenacea,,MC,10652,,,,MC_10652___,Eucalyptus arenacea ,eucalyptus arenacea
Eucalyptus_argillacea_CANB_785537,Eucalyptus,argillacea,,CANB,785537,,,,CANB_785537___,Eucalyptus argillacea ,eucalyptus argillacea
Eucalyptus_argophloia_773,Eucalyptus,argophloia,,773,,,,,773____,Eucalyptus argophloia ,eucalyptus argophloia
Eucalyptus_argutifolia_AHT_E17,Eucalyptus,argutifolia,,AHT,E17,,,,AHT_E17___,Eucalyptus argutifolia ,eucalyptus argutifolia
Eucalyptus_argyphea_59,Eucalyptus,argyphea,,59,,,,,59____,Eucalyptus argyphea ,eucalyptus argyphea
Eucalyptus_aromaphloia_subsp_aromaphloia_CANB_564611,Eucalyptus,aromaphloia,aromaphloia,,,CANB,564611,,__CANB_564611_,Eucalyptus aromaphloia subsp. aromaphloia,eucalyptus aromaphloia subsp. aromaphloia
Eucalyptus_articulata_186,Eucalyptus,articulata,,186,,,,,186____,Eucalyptus articulata ,eucalyptus articulata
Eucalyptus_aspersa_297,Eucalyptus,aspersa,,297,,,,,297____,Eucalyptus aspersa ,eucalyptus aspersa
Eucalyptus_aspratilis_AHT_E18,Eucalyptus,aspratilis,,AHT,E18,,,,AHT_E18___,Eucalyptus aspratilis ,eucalyptus aspratilis
Eucalyptus_assimilans_269,Eucalyptus,assimilans,,269,,,,,269____,Eucalyptus assimilans ,eucalyptus assimilans
Eucalyptus_astringens_subsp_astringens_68,Eucalyptus,astringens,astringens,,,68,,,__68__,Eucalyptus astringens subsp. astringens,eucalyptus astringens subsp. astringens
Eucalyptus_atrata_8603434,Eucalyptus,atrata,,8603434,,,,,8603434____,Eucalyptus atrata ,eucalyptus atrata
Eucalyptus_badjensis_166,Eucalyptus,badjensis,,166,,,,,166____,Eucalyptus badjensis ,eucalyptus badjensis
Eucalyptus_baeuerlenii_7810671,Eucalyptus,baeuerlenii,,7810671,,,,,7810671____,Eucalyptus baeuerlenii ,eucalyptus baeuerlenii
Eucalyptus_baileyana_Mt_Annan_892003,Eucalyptus,baileyana,,Mt,Ann,892003,,,Mt_Ann_892003__,Eucalyptus baileyana ,eucalyptus baileyana
Eucalyptus_bakeri_567,Eucalyptus,bakeri,,567,,,,,567____,Eucalyptus bakeri ,eucalyptus bakeri
Eucalyptus_balanites_CANB_687715,Eucalyptus,balanites,,CANB,687715,,,,CANB_687715___,Eucalyptus balanites ,eucalyptus balanites
Eucalyptus_balanopelex_AHT_E22,Eucalyptus,balanopelex,,AHT,E22,,,,AHT_E22___,Eucalyptus balanopelex ,eucalyptus balanopelex
Eucalyptus_balladoniensis_subsp_balladoniensis_CANB_586833,Eucalyptus,balladoniensis,balladoniensis,,,CANB,586833,,__CANB_586833_,Eucalyptus balladoniensis subsp. balladoniensis,eucalyptus balladoniensis subsp. balladoniensis
Eucalyptus_barberi_600,Eucalyptus,barberi,,600,,,,,600____,Eucalyptus barberi ,eucalyptus barberi
Eucalyptus_baueriana_160,Eucalyptus,baueriana,,160,,,,,160____,Eucalyptus baueriana ,eucalyptus baueriana
Eucalyptus_baxteri_8701806,Eucalyptus,baxteri,,8701806,,,,,8701806____,Eucalyptus baxteri ,eucalyptus baxteri
Eucalyptus_beaniana_CANB_842071,Eucalyptus,beaniana,,CANB,842071,,,,CANB_842071___,Eucalyptus beaniana ,eucalyptus beaniana
Eucalyptus_beardiana_CANB_632554,Eucalyptus,beardiana,,CANB,632554,,,,CANB_632554___,Eucalyptus beardiana ,eucalyptus beardiana
Eucalyptus_behriana_646,Eucalyptus,behriana,,646,,,,,646____,Eucalyptus behriana ,eucalyptus behriana
Eucalyptus_bensonii_Mt_Annan_830911,Eucalyptus,bensonii,,Mt,Ann,830911,,,Mt_Ann_830911__,Eucalyptus bensonii ,eucalyptus bensonii
Eucalyptus_benthamii_423,Eucalyptus,benthamii,,423,,,,,423____,Eucalyptus benthamii ,eucalyptus benthamii
Eucalyptus_beyeriana_163,Eucalyptus,beyeriana,,163,,,,,163____,Eucalyptus beyeriana ,eucalyptus beyeriana
Eucalyptus_blakelyi_211,Eucalyptus,blakelyi,,211,,,,,211____,Eucalyptus blakelyi ,eucalyptus blakelyi
Eucalyptus_blaxellii_MC_11172,Eucalyptus,blaxellii,,MC,11172,,,,MC_11172___,Eucalyptus blaxellii ,eucalyptus blaxellii
Eucalyptus_blaxlandii_8001329,Eucalyptus,blaxlandii,,8001329,,,,,8001329____,Eucalyptus blaxlandii ,eucalyptus blaxlandii
Eucalyptus_boliviana_518876,Eucalyptus,boliviana,,518876,,,,,518876____,Eucalyptus boliviana ,eucalyptus boliviana
Eucalyptus_bosistoana_671,Eucalyptus,bosistoana,,671,,,,,671____,Eucalyptus bosistoana ,eucalyptus bosistoana
