UniqueID,Yearplanted.x,Taxonsimplified_DN,Provenance.x,latitude,longitude,AICorrected,MAT,ISOT,AP,PDryM,MaxTWarmM,PrecDeficit,height_max_m,LeafLenghtavg_mm,LeafWidth_avg_mm,LeafAreaEst_cm2,Thornhill_bionomial_tip_match2,percentage_affected,per_aff_spavg,per_aff_spavg_shift,AICorrected_spavg,MAT_spavg,MAP_spavg,PDryM_spavg,MaxTWarmM_spavg,PrecDeficit_spavg,height_max_m_spavg,LeafLenghtavg_mm_spavg,LeafWidth_avg_mm_spavg,LeafAreaEst_cm2_spavg
4805,2006,Eucalyptus conferruminata subsp. conferruminata,"Bald Head, WA",-35.10972222,118.0169444,0.0808,18.45000076,36.21063995,184,3,35.20000076,-183.7725,5,69.5,22.5,10.94625,eucalyptus_conferruminata,1,1,2,0.0808,18.45000076,184,3,35.20000076,-183.7725,5,69.5,22.5,10.94625
482,1994,Eucalyptus porosa,"Mt Wudinna, SA",-32.98583333,135.5469444,0.1605,16.8875,53.93433,334,12,32,-333.792,12,85,15.5,9.2225,eucalyptus_porosa,0,0,1,0.1605,16.8875,334,12,32,-333.792,12,85,15.5,9.2225
4883,2006,Eucalyptus saxatilis,"Mt Wheeler, Vic",-37.075,148.375,0.4877,13.0625,46.51580811,682,46,25.89999962,-681.8602,5,127.5,13.5,12.04875,eucalyptus_saxatilis,0.25,0.25,1.25,0.4877,13.0625,682,46,25.89999962,-681.8602,5,127.5,13.5,12.04875
5046,2010,Eucalyptus eremophila,"Hatter Hill, WA",-32.82583333,119.9833333,0.1715,15.875,55.65344,326,12,29.3,-325.81,5,80,15,8.4,eucalyptus_eremophila,0,0,1,0.1412,16.5,288,12.5,28.85,-287.7924,5,80,15,8.4
5053,2010,Eucalyptus omissa,"Mt Madden, WA",-33.20277778,119.8322222,0.1827,16.08333,53.29218,344,17,29.7,-343.8119,4,53.5,9.5,3.55775,eucalyptus_depauperata,0,0,1,0.1827,16.08333,344,17,29.7,-343.8119,4,53.5,9.5,3.55775
5057,2010,Eucalyptus sinuosa,"Hamersley River, WA",-33.78777778,119.7716667,0.249,16.12083,56.594605,441,18,27.6,-440.8229,4,62.5,5.5,2.40625,eucalyptus_mcquoidii,1,1,2,0.25085,16.025,435.5,17.5,27.5,-435.3264,4,62.5,5.5,2.40625
5075,2010,Eucalyptus todtiana,"Jurien Bay, WA",-30.19833333,115.1480556,0.2523,19.57917,52.59784,565,7,33.7,-564.7762,5,102.5,18.5,13.27375,eucalyptus_todtiana,1,1,2,0.2523,19.57917,565,7,33.7,-564.7762,5,102.5,18.5,13.27375
5112,2010,Corymbia ellipsoidea,"Mt Garnet, Qld",-17.63777778,145.0575,0.4268,21.74167,56.33013,845,7,31.4,-844.8021,15,132.5,15,13.9125,corymbia_ellipsoidea,0,0,1,0.4268,21.74167,845,7,31.4,-844.8021,15,132.5,15,13.9125
5121,2010,Eucalyptus paedoglauca,"Mt Stuart 2, Qld",-19.34333333,146.7811111,0.6067,21.94583,50.04789,1172,19,29.6,-1171.8069,17,110,24.5,18.865,eucalyptus_paedoglauca,0,0,1,0.6067,21.94583,1172,19,29.6,-1171.8069,17,110,24.5,18.865
5136,2010,Eucalyptus farinosa,"Lolworth Range, Qld",-20.30972222,145.3919444,0.2905,22.3875,50.31646,654,11,33.3,-653.775,9,90,36,22.68,eucalyptus_farinosa,0.25,0.25,1.25,0.2905,22.3875,654,11,33.3,-653.775,9,90,36,22.68
5144,2010,Eucalyptus lockyeri subsp. exuta,"White Mountains, Qld",-20.67388889,145.2408333,0.259,22.49583435,53.03626292,604,9,33.40000153,-603.7669,12,135,14,13.23,eucalyptus_lockyeri,0,0,1,0.6294,21.34166718,1197,11,31.10000077,-1196.79395,10.5,127.5,20.75,18.165
5156,2010,Eucalyptus camaldulensis subsp. camaldulensis,"Currency Creek, SA",-35.45444444,138.76,0.2738,16.15,50.961745,481,17,27.6,-480.8244,40,190,19.5,25.935,eucalyptus_camaldulensis,0.5,0.375,1.375,0.279,16.054165,480.5,14,26.95,-480.3278,40,190,19.5,25.935
520,1994,Eucalyptus articulata,"Mulga Rock, WA",-30.14222222,123.2777778,0.1022,18.425,48.73998,242,12,33.5,-241.7634,3,90,12.5,7.875,eucalyptus_articulata,0,0,1,0.1022,18.425,242,12,33.5,-241.7634,3,90,12.5,7.875
5200,2010,Eucalyptus trivalva,"Mt Woodroffe, SA",-26.31305556,131.7477778,0.1409,17.225,45.49549,365,14,32.3,-364.741,5,95,18,11.97,eucalyptus_pilbarensis,0,0,1,0.1409,17.225,365,14,32.3,-364.741,5,95,18,11.97
522,1994,Eucalyptus plumula,"Mulga Rock, WA",-30.01611111,123.1225,0.101,18.625,45.9047125,245,12,33.8,-244.7576,10,70,7,3.43,eucalyptus_formanii,0,0,1,0.1028,18.7854175,250.25,11.5,34.475,-250.0067,12,63.75,4.9375,2.226875
5229,2010,Eucalyptus dumosa,"Yunta, SA",-32.90972222,139.5927778,0.121,16.53333,49.468385,272,16,32.7,-271.7753,10,84,16.5,9.702,eucalyptus_dumosa,0,0,1,0.1363,16.897915,289,17,32.65,-288.78675,10,84,16.5,9.702
5230,2010,Eucalyptus flindersii,"Pualco Hill, SA",-32.97083333,139.6325,0.1227,16.39167,46.47588333,272,16,32.2,-271.7784,5,117.5,20,16.45,eucalyptus_flindersii,0,0.166666667,1.166666667,0.175066667,15.67916667,386.6666667,22.66666667,30.76666667,-386.4455667,5,117.5,20,16.45
5256,2010,Eucalyptus moorei subsp. moorei,"Blue Mountains, NSW",-33.52944444,150.27,0.909,11.74583,43.85369,1196,62,23.4,-1195.8685,7,60,8.5,3.57,eucalyptus_moorei,1,1,2,0.909,11.74583,1196,62,23.4,-1195.8685,7,60,8.5,3.57
526,1994,Eucalyptus cylindrocarpa,"Lake Minigwal, WA",-29.59416667,123.0941667,0.0923,19.35833,47.38016,237,10,34.6,-236.7434,6,80,9,5.04,eucalyptus_cylindrocarpa,0,0,1,0.0923,19.35833,237,10,34.6,-236.7434,6,80,9,5.04
5262,2010,Eucalyptus capitellata,"Cessnock, NSW",-32.86111111,151.3461111,0.4994,17.54167,50.14065,809,36,28.9,-808.8381,25,105,27.5,20.2125,eucalyptus_capitellata,0.5,0.5,1.5,0.4994,17.54167,809,36,28.9,-808.8381,25,105,27.5,20.2125
5263,2010,Eucalyptus x castrensis,"Pokolbin, NSW",-32.75611111,151.2386111,0.4764,17.32917,50.1773,780,36,28.8,-779.8363,5,80,13.5,7.56,eucalyptus_castrensis,1,1,2,0.4764,17.32917,780,36,28.8,-779.8363,5,80,13.5,7.56
5466,2011,Eucalyptus sp. Dunbar Road,"Marvel Loch, WA",-31.78361111,119.5936111,0.1581,16.90833,48.02158,339,15,32.3,-338.7857,16,100,15,10.5,eucalyptus_urna,0,0,1,0.1581,16.90833,339,15,32.3,-338.7857,16,100,15,10.5
549,1994,Eucalyptus lesouefii,"Kalgoorlie, WA",-30.96194,121.5639,0.1185,18.51667,47.51157,280,14,33.9,-279.7638,15,137.5,18.5,17.80625,eucalyptus_lesouefii,0,0,1,0.1185,18.51667,280,14,33.9,-279.7638,15,137.5,18.5,17.80625
5507,2011,Eucalyptus sp. Southern wheatbelt,"Lake Magenta, WA",-33.59361,119.3983,0.218,15.675,54.82456,384,17,28.1,-383.8239,5,80,15.5,8.68,eucalyptus_leptocalyx,0.25,0.25,1.25,0.218,15.675,384,17,28.1,-383.8239,5,80,15.5,8.68
5509,2011,Eucalyptus sp. Lake Magenta,"Lake Magenta, WA",-33.57806,119.2222,0.2046,15.66667,54.60526,361,15,28.1,-360.8236,4,64,9,4.032,eucalyptus_captiosa,0,0,1,0.2046,15.66667,361,15,28.1,-360.8236,4,64,9,4.032
5514,2011,Eucalyptus brandiana,"Fitzgerald River, WA",-34.07694,119.5244,0.2962,16.27083,57.08286333,502,18,26.9,-501.8306,5,189,52,68.796,eucalyptus_tetraptera,0,0.166666667,1.166666667,0.261,16.25972333,459,19.66666667,28.23333333,-458.8238667,4.333333333,84.66666667,51.66666667,30.74283333
5535,2011,Eucalyptus relicta,"Blackwood River, WA",-34.02194,115.4361,0.5301,16.24583,53.04233,922,13,27.1,-921.8262,12,134,22.5,21.105,eucalyptus_lanepoolei,1,1,2,0.5301,16.24583,922,13,27.1,-921.8262,12,134,22.5,21.105
5541,2011,Eucalyptus exilis,"Boyagin Rock, WA",-32.47167,116.8747,0.2389,16.46667,50.4321,479,11,31.8,-478.7996,4,50,11.5,4.025,eucalyptus_exilis,1,1,2,0.2389,16.46667,479,11,31.8,-478.7996,4,50,11.5,4.025
5575,2011,Eucalyptus baudiniana - E. oraria intergrade,"Murchison House Station, WA",-27.42806,114.3017,0.1435,21.2875,53.06061,351,3,36.1,-350.7556,NA,NA,NA,NA,eucalyptus_ovularis,0,0,1,0.1435,21.2875,351,3,36.1,-350.7556,NA,NA,NA,NA
569,1994,Eucalyptus cinerea subsp. triplex,"Beechworth, Vic",-36.30722,146.6678,0.5283,14.15,47.04492,841,38,30.1,-840.8409,10,77.5,21,11.3925,eucalyptus_cinerea,1,1,2,0.5283,14.15,841,38,30.1,-840.8409,10,77.5,21,11.3925
57,1994,Eucalyptus lansdowneana,"Scrubby Peak, SA",-32.59167,135.2583,0.2786,18.70833,46.717905,541,0,30.5,-540.8059,6,120,21,17.64,eucalyptus_lansdowneana,0,0,1,0.20905,17.872915,423,6,31.1,-422.79365,6,120,21,17.64
5750,2011,Corymbia deserticola subsp. deserticola,"Mt Augustus, WA",-24.32583,116.8431,0.1135,21.75833,44.10774,329,5,37.5,-328.7103,6,41,22.5,6.4575,corymbia_deserticola,0,0,1,0.1135,21.75833,329,5,37.5,-328.7103,6,41,22.5,6.4575
5810,2011,Eucalyptus oligantha,"Walcott Inlet, WA",-16.00083,125.4758,0.4473,25.7375,58.15527,1086,2,35.6,-1085.757,12,127.5,131.5,117.3637,eucalyptus_oligantha,0,0,1,0.4473,25.7375,1086,2,35.6,-1085.757,12,127.5,131.5,117.3637
