TaxonoriginalDN,Taxonsimplified_DN,Acceptedname_ALA,name,Note.Gbif,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Row,Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019.2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath.June2019.,Drought2006,MaturityMar2020,Maturity.at.June.2019,Yearplanted
Eucalyptus coronata,Eucalyptus coronata,Eucalyptus coronata,eucalyptus coronata,,Species ,D.Nicolle,2247,"East Mt Barren, WA",33,55,33,120,1,36,173,11,Alive,Slight,Moderate,?,None evident,,,,,None evident,Flowered,Flowered,1999
Eucalyptus corrugata,Eucalyptus corrugata,Eucalyptus corrugata,eucalyptus corrugata,,Species ,D.Nicolle,305,"Westonia, WA",31,17,21,118,40,20,14,16,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus corticosa,Eucalyptus corticosa,Eucalyptus corticosa,eucalyptus corticosa,,Species ,D.Nicolle,6276,"Olinda, NSW",32,51,26,150,14,25,285,11,Alive,None evident,None evident,?,,,,,,Not applicable,,,2013
Eucalyptus corticosa (E. conferta),Eucalyptus corticosa,Eucalyptus conferta,eucalyptus conferta,,Species ,D.Nicolle,6781,"Vaughan, Vic",37,12,55,144,14,33,163,9,Alive,None evident,None evident,?,,,,,,Not applicable,,,2015
Eucalyptus corticosa (E. ignorabilis),Eucalyptus corticosa,Eucalyptus ignorabilis,eucalyptus ignorabilis,,Species ,D.Nicolle,1746,"Narrabarba, NSW",37,16,27,149,47,53,146,35,Alive,Slight,None evident,?,None evident,,,,,None evident,Flowered,Flowered,1997
Eucalyptus corynodes,Eucalyptus corynodes,Eucalyptus corynodes,eucalyptus corynodes,,Species ,D.Nicolle,1264,"Cracow, Qld",25,27,37,150,18,15,90,21,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996
Eucalyptus cosmophylla,Eucalyptus cosmophylla,Eucalyptus cosmophylla,eucalyptus cosmophylla,,Species ,D.Nicolle,7236,"Clarendon, SA",35,5,42,138,38,59,344,28,Alive,Moderate,Moderate,?,Moderate,Basal only,3 - 6 months,None evident,,Not applicable,,,2017
Eucalyptus crenulata,Eucalyptus crenulata,Eucalyptus crenulata,eucalyptus crenulata,,Species ,D.Nicolle,1775,"Buxton, Vic",37,27,1,145,41,37,141,9,Dead,,,,,,,,,Died in 2006,,,1997
Eucalyptus creta,Eucalyptus creta,Eucalyptus creta,eucalyptus creta,,Species ,D.Nicolle,1102,"Mt Ridley, WA",33,4,23,122,16,15,65,23,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
Eucalyptus cretata,Eucalyptus cretata,Eucalyptus cretata,eucalyptus cretata,,Species ,D.Nicolle,1689,"Darke Peak, SA",33,27,11,136,13,28,133,25,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997
