TaxonoriginalDN,Taxonsimplified_DN,Acceptedname_ALA,name,Note.Gbif,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Row,Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019.2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath.June2019.,Drought2006,MaturityMar2020,Maturity.at.June.2019,Yearplanted
Eucalyptus pulchella,Eucalyptus pulchella,Eucalyptus pulchella,eucalyptus pulchella,,Species ,D.Nicolle,1984,"Nugent, Tas",42,45,24,147,49,16,152,26,Alive,Severe,Moderate,?,Extensive,"Trunk + primary, secondary & tertiary branches",3 - 6 months,Slight,,Moderate,Flowered,Flowered,1998
Eucalyptus pulverulenta,Eucalyptus pulverulenta,Eucalyptus pulverulenta,eucalyptus pulverulenta,,Species ,D.Nicolle,1226,"Lithgow, NSW",33,32,51,150,6,36,94,13,Alive,Severe,Moderate,??,None evident,,,,6 - 12 months,Severe,,,1996
Eucalyptus pumila,Eucalyptus pumila,Eucalyptus pumila,eucalyptus pumila,,Species ,D.Nicolle,636,"Pokolbin, NSW",32,46,34,151,15,37,53,31,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1994
Eucalyptus punctata,Eucalyptus punctata,Eucalyptus punctata,eucalyptus punctata,,Species ,D.Nicolle,1253,"Dalveen, Qld",28,29,47,151,56,1,90,36,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996
Eucalyptus purpurata,Eucalyptus purpurata,Eucalyptus purpurata,eucalyptus purpurata,,Species ,D.Nicolle,3579,"Bandalup Hill 1, WA",33,40,7,120,24,3,233,22,Alive,Moderate,Moderate,?,Extensive,Trunk + primary & secondary branches,3 - 6 months,Slight,,None evident,Flowered,Flowered,2001
Eucalyptus pyriformis,Eucalyptus pyriformis,Eucalyptus pyriformis,eucalyptus pyriformis,,Species ,D.Nicolle,1660,"Dowerin, WA",31,12,49,117,0,16,133,13,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997
Eucalyptus pyrocarpa,Eucalyptus pyrocarpa,Eucalyptus pyrocarpa,eucalyptus pyrocarpa,,Species ,D.Nicolle,2093,"Coast Range, NSW",29,47,20,153,11,5,159,5,Dead,,,,,,,,,Died in 2006,,,1998
Eucalyptus quadrangulata,Eucalyptus quadrangulata,Eucalyptus quadrangulata,eucalyptus quadrangulata,,Species ,D.Nicolle,618,"Mittagong, NSW",34,24,20,150,30,10,55,3,Alive,Moderate,Moderate,?,None evident,,,,,Moderate,Flowered,Flowered,1994
Eucalyptus quadrans,Eucalyptus quadrans,Eucalyptus quadrans,eucalyptus quadrans,,Species ,D.Nicolle,1099,"Truslove, WA",33,22,3,121,41,36,73,20,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
Eucalyptus quadricostata,Eucalyptus quadricostata,Eucalyptus quadricostata,eucalyptus quadricostata,,Species ,D.Nicolle,2533,"Pentland, Qld",20,28,50,145,18,58,170,6,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999
Eucalyptus quaerenda,Eucalyptus quaerenda,Eucalyptus quaerenda,eucalyptus quaerenda,,Species ,D.Nicolle,237,"Chinocup Lake, WA",33,32,1,118,23,34,20,7,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus racemosa,Eucalyptus racemosa,Eucalyptus racemosa,eucalyptus racemosa,,Species ,D.Nicolle,718,"Beerwah, Qld",26,48,9,152,59,0,53,1,Dead,,,,,,,,,Died in 2006,,,1994
Eucalyptus radiata subsp. radiata (Tas variant),Eucalyptus radiata subsp. radiata,Eucalyptus radiata subsp. radiata,eucalyptus radiata subsp. radiata,,Subspecies,D.Nicolle,1959,"Lemon Thyme PS, Tas",41,36,31,146,8,9,162,5,Dead,,,,,,,,,Died in 2006,,,1998
Eucalyptus radiata subsp. sejuncta,Eucalyptus radiata subsp. sejuncta,Eucalyptus radiata subsp. sejuncta,eucalyptus radiata subsp. sejuncta,,Subspecies,D.Nicolle,655,"Guyra, NSW",30,8,25,151,52,39,59,31,Dead,,,,,,,,,,,,1994
Eucalyptus rameliana,Eucalyptus rameliana,Eucalyptus rameliana,eucalyptus rameliana,,Species ,D.Nicolle,4287,"Mt Methwin, WA",25,4,46,120,36,13,199,38,Alive,None evident,None evident,?,,,,,,Not applicable,,,2002
Eucalyptus raveretiana,Eucalyptus raveretiana,Eucalyptus raveretiana,eucalyptus raveretiana,,Species ,D.Nicolle,1297,"Reid River, Qld",19,49,19,146,47,25,94,15,Alive,Moderate,Moderate,?,None evident,,,,,None evident,,,1996
Eucalyptus ravida,Eucalyptus ravida,Eucalyptus ravida,eucalyptus ravida,,Species ,D.Nicolle,134,"Mt Norcott, WA",32,5,38,122,1,36,13,18,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus recta,Eucalyptus recta,Eucalyptus recta,eucalyptus recta,,Species ,D.Nicolle,294,"Cadoux, WA",30,46,42,117,10,24,25,14,Alive,None evident,Moderate,??,Moderate,Secondary & tertiary branches,3 - 6 months,Moderate,,None evident,Flowered,Flowered,1993
Eucalyptus recurva,Eucalyptus recurva,Eucalyptus recurva,eucalyptus recurva,,Species ,D.Nicolle,1755,"Mongarlowe, NSW",35,22,51,149,57,6,246,11,Alive,Slight,Moderate,?,None evident,,,,,Not applicable,,,2002
Eucalyptus reducta,Eucalyptus reducta,Eucalyptus tindaliae,eucalyptus tindaliae,,Species ,D.Nicolle,1300,"Paluma, Qld",19,0,28,146,16,15,95,25,Alive,None evident,Slight,?,None evident,,,,,Slight,Flowered,Flowered,1996
Eucalyptus redunca subsp. pluricaulis,Eucalyptus redunca subsp. pluricaulis,Eucalyptus redunca subsp. pluricaulis,eucalyptus redunca subsp. pluricaulis,,Subspecies,D.Nicolle,1662,"Williams, WA",33,4,16,116,59,15,138,32,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997
Eucalyptus redunca subsp. porphyrea,Eucalyptus redunca subsp. porphyrea,Eucalyptus redunca subsp. porphyrea,eucalyptus redunca subsp. porphyrea,,Subspecies,D.Nicolle,210,"Boxwood Hill, WA",34,21,4,118,45,13,71,21,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
Eucalyptus redunca subsp. redunca,Eucalyptus redunca subsp. redunca,Eucalyptus redunca subsp. redunca,eucalyptus redunca subsp. redunca,,Subspecies,D.Nicolle,221,"Cape Melville, WA",34,35,34,118,43,56,14,1,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus regnans,Eucalyptus regnans,Eucalyptus regnans,eucalyptus regnans,,Species ,D.Nicolle,1973,"Tarraleah, Tas",42,21,41,146,30,4,157,13,Dead,,,,,,,,,,,,1998
Eucalyptus relicta,Eucalyptus relicta,Eucalyptus relicta,eucalyptus relicta,,Species ,D.Nicolle,3550,"Whicher Range 1, WA",33,46,28,115,29,6,239,18,Alive,Moderate,Severe,?,None evident,,,,,Moderate,Budded,Budded,2001
Eucalyptus remota,Eucalyptus remota,Eucalyptus remota,eucalyptus remota,,Species ,D.Nicolle,812,"Kangaroo Island, SA",35,54,21,136,48,51,69,38,Alive,Dead,,,,,,,1 - 2 years,Severe,,,1995
Eucalyptus repullulans,Eucalyptus repullulans,Eucalyptus repullulans,eucalyptus repullulans,,Species ,D.Nicolle,1188,"Newman, WA",22,37,50,117,36,56,64,24,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
Eucalyptus resinifera subsp. hemilampra,Eucalyptus resinifera subsp. hemilampra,Eucalyptus resinifera subsp. hemilampra,eucalyptus resinifera subsp. hemilampra,,Subspecies,D.Nicolle,2921,"Kempsey, NSW",30,51,15,152,54,45,197,7,Alive,Moderate,Moderate,?,Scattered,"Primary, secondary & tertiary branches",3 - 6 months,None evident,,None evident,Flowered,Flowered,2000
Eucalyptus retusa,Eucalyptus retusa,Eucalyptus retusa,eucalyptus retusa,,Species ,D.Nicolle,4801,"Point Hood, WA",34,23,NA,119,34,,210,16,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2006
Eucalyptus revelata,Eucalyptus revelata,Eucalyptus revelata,eucalyptus revelata,Not in Gbif,Species ,D.Nicolle,1910,"Mt Bell, WA",17,10,NA,125,18,,139,8,Dead,,,,,,,,,,,,1997
Eucalyptus rhodantha,Eucalyptus rhodantha,Eucalyptus rhodantha,eucalyptus rhodantha,,Species ,D.Nicolle,282,"Watheroo, WA",30,15,46,116,6,58,10,21,Dead,,,,,,,,,,,,1993
Eucalyptus rhombica,Eucalyptus rhombica,Eucalyptus rhombica,eucalyptus rhombica,,Species ,D.Nicolle,2104,"Karara, Qld",28,7,43,151,30,56,150,1,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1998
Eucalyptus rhomboidea,Eucalyptus rhomboidea,Eucalyptus rhomboidea,eucalyptus rhomboidea,,Species ,D.Nicolle,2272,"Bremer Range, WA",32,33,57,120,45,8,177,21,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999
Eucalyptus rigens,Eucalyptus rigens,Eucalyptus rigens,eucalyptus rigens,,Species ,D.Nicolle,157,"Truslove, WA",33,20,55,121,46,0,24,1,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus rigidula,Eucalyptus rigidula,Eucalyptus rigidula,eucalyptus rigidula,,Species ,D.Nicolle,244,"Corrigin, WA",32,19,55,117,50,48,45,1,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1994
Eucalyptus risdonii,Eucalyptus risdonii,Eucalyptus risdonii,eucalyptus risdonii,,Species ,D.Nicolle,1982,"Risdon Hills, Tas",42,49,22,147,20,8,154,19,Alive,Dead,,,,,,,6 - 12 months,None evident,Flowered,Flowered,1998
Eucalyptus robertsonii,Eucalyptus robertsonii,Eucalyptus radiata subsp. robertsonii,eucalyptus radiata subsp. robertsonii,,Subspecies,D.Nicolle,1771,"Brindabella Range, ACT",35,20,28,148,49,47,145,34,Alive,Moderate,Moderate,?,None evident,,,,,None evident,,,1997
Eucalyptus robusta,Eucalyptus robusta,Eucalyptus robusta,eucalyptus robusta,,Species ,D.Nicolle,6205,"Wooli, NSW",29,49,35,153,16,40,242,17,Alive,None evident,None evident,?,,,,,,Not applicable,,,2013
Eucalyptus robusta x E. tereticornis,Eucalyptus robusta x E.tereticornis,Eucalyptus robusta x E.tereticornis,eucalyptus robusta x e.tereticornis,,Hybrid,,,"Cultivated, Morphett Vale, SA",NA,NA,NA,NA,NA,,92,36,Alive,Moderate,Slight,?,None evident,,,,,Severe,,,1996
Eucalyptus rodwayi,Eucalyptus rodwayi,Eucalyptus rodwayi,eucalyptus rodwayi,,Species ,D.Nicolle,1972,"Derwent Bridge, Tas",42,8,54,146,24,38,157,21,Dead,,,,,,,,,,,,1998
Eucalyptus rosacea,Eucalyptus rosacea,Eucalyptus rosacea,eucalyptus rosacea,,Species ,D.Nicolle,518,"Lake Minigwal, WA",30,12,35,123,6,25,82,7,Alive,None evident,None evident,?,,,,,,None evident,,,1998
Eucalyptus rossii,Eucalyptus rossii,Eucalyptus rossii,eucalyptus rossii,Synonym of Eucalyptus racemosa subsp. rossii,Species ,D.Nicolle,725,"Narrabri, NSW",30,49,29,149,28,17,60,9,Alive,Moderate,Moderate,?,None evident,,,,,None evident,Flowered,Flowered,1994
Eucalyptus rowleyi,Eucalyptus rowleyi,Eucalyptus rowleyi,eucalyptus rowleyi,,Species ,D.Nicolle,4277,"Bocrabee Hill, WA",22,32,13,121,29,25,201,3,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2002
Eucalyptus roycei,Eucalyptus roycei,Eucalyptus roycei,eucalyptus roycei,,Species ,D.Nicolle,1175,"Coburn Station, WA",26,42,10,114,10,57,63,21,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
Eucalyptus rubida subsp. barbigerorum,Eucalyptus rubida subsp. barbigerorum,Eucalyptus rubida subsp. barbigerorum,eucalyptus rubida subsp. barbigerorum,,Subspecies,D.Nicolle,2939,"Glen Innes, NSW",29,38,39,151,48,57,193,10,Alive,Dead,,,,,,,2 - 3 years,None evident,,,2000
Eucalyptus rubida subsp. rubida,Eucalyptus rubida subsp. rubida,Eucalyptus rubida subsp. rubida,eucalyptus rubida subsp. rubida,,Subspecies,D.Nicolle,1223,"Bathurst, NSW",33,26,7,149,21,30,91,23,Dead,,,,,,,,,Died in 2006,,,1996
Eucalyptus rubiginosa,Eucalyptus rubiginosa,Eucalyptus rubiginosa,eucalyptus rubiginosa,,Species ,D.Nicolle,2114,"Isla Gorge, Qld",25,11,30,149,58,22,84,12,Alive,None evident,None evident,?,,,,,,None evident,,,1998
Eucalyptus rudderi,Eucalyptus rudderi,Eucalyptus rudderi,eucalyptus rudderi,,Species ,D.Nicolle,2920,"Taree, NSW",32,2,38,152,22,9,196,10,Alive,Slight,Slight,?,Very scattered,Secondary & tertiary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,2000
Eucalyptus rudderi (E. hypostomatica),Eucalyptus rudderi,Eucalyptus hypostomatica,eucalyptus hypostomatica,,Species ,D.Nicolle,2080,"Paxton, NSW",32,59,48,151,15,42,153,1,Alive,Moderate,Moderate,?,Scattered,Tertiary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,1998
Eucalyptus rudis subsp. cratyantha,Eucalyptus rudis subsp. cratyantha,Eucalyptus rudis subsp. cratyantha,eucalyptus rudis subsp. cratyantha,,Subspecies,D.Nicolle,1146,"Eagle Bay 1, WA",33,33,36,115,4,2,67,22,Alive,Dead,,,,,,,1 - 2 years,Severe,,,1995
Eucalyptus rudis subsp. rudis,Eucalyptus rudis subsp. rudis,Eucalyptus rudis subsp. rudis,eucalyptus rudis subsp. rudis,,Subspecies,D.Nicolle,1131,"Pallinup River, WA",34,24,21,118,43,48,69,34,Alive,Moderate,Moderate,?,None evident,,,,,Severe,Flowered,Flowered,1995
Eucalyptus rugosa,Eucalyptus rugosa,Eucalyptus rugosa,eucalyptus rugosa,,Species ,D.Nicolle,3179,"Sleaford Bay 1, SA",34,54,55,135,40,45,229,12,Alive,Severe,Dead,?,Moderate,"Primary, secondary & tertiary branches",3 - 6 months,Dead,,None evident,Flowered,Flowered,2001
Eucalyptus rugulata,Eucalyptus rugulata,Eucalyptus rugulata,eucalyptus rugulata,,Species ,D.Nicolle,3671,"South Ironcap, WA",32,40,45,119,46,49,226,14,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2001
Eucalyptus rummeryi,Eucalyptus rummeryi,Eucalyptus rummeryi,eucalyptus rummeryi,,Species ,D.Nicolle,1245,"Mallanganee, NSW",28,55,59,152,42,18,94,24,Alive,Slight,None evident,?,None evident,,,,,None evident,Flowered,Flowered,1996
Eucalyptus rupestris,Eucalyptus rupestris,Eucalyptus rupestris,eucalyptus rupestris,,Species ,D.Nicolle,5812,"Walcott Inlet, WA",16,1,3,125,19,41,313,25,Alive,None evident,None evident,?,,,,,,Not applicable,,,2011
Eucalyptus sabulosa,Eucalyptus sabulosa,Eucalyptus sabulosa,eucalyptus sabulosa,,Species ,D.Nicolle,359,"Victoria Range, Vic",37,12,NA,142,22,,92,26,Dead,,,,,,,,,Died in 2006,,,1996
Eucalyptus salicola,Eucalyptus salicola,Eucalyptus salicola,eucalyptus salicola,,Species ,D.Nicolle,3457,"Baandie, WA",31,35,8,117,59,29,227,17,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2001
Eucalyptus saligna,Eucalyptus saligna,Eucalyptus saligna,eucalyptus saligna,,Species ,D.Nicolle,2924,"Grafton, NSW",29,26,58,152,22,7,195,2,Alive,Severe,Dead,?,None evident,,,,,Severe,Flowered,Flowered,2000
Eucalyptus salmonophloia,Eucalyptus salmonophloia,Eucalyptus salmonophloia,eucalyptus salmonophloia,,Species ,D.Nicolle,2306,"Zanthus, WA",31,2,8,123,40,10,177,16,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999
Eucalyptus salubris,Eucalyptus salubris,Eucalyptus salubris,eucalyptus salubris,,Species ,D.Nicolle,2717,"Laverton, WA",28,33,32,122,29,17,185,22,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2000
Eucalyptus sargentii subsp. onesis,Eucalyptus sargentii subsp. onesis,Eucalyptus sargentii subsp. onesis,eucalyptus sargentii subsp. onesis,,Subspecies,D.Nicolle,2236,"Cunderdin, WA",31,49,41,117,8,9,171,19,Dead,,,,,,,,,,,,1999
Eucalyptus sargentii subsp. sargentii,Eucalyptus sargentii subsp. sargentii,Eucalyptus sargentii subsp. sargentii,eucalyptus sargentii subsp. sargentii,,Subspecies,D.Nicolle,2229,"Koorda, WA",30,47,57,117,19,15,176,14,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999
Eucalyptus saxatilis,Eucalyptus saxatilis,Eucalyptus saxatilis,eucalyptus saxatilis,,Species,D.Nicolle,2069,"Little River Gorge, Vic",37,4,46,148,19,24,155,22,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1998
Eucalyptus scias subsp. apoda,Eucalyptus scias subsp. apoda,Eucalyptus scias subsp. apoda,eucalyptus scias subsp. apoda,,Subspecies,D.Nicolle,2100,"Timbarra Plateau, NSW",29,6,40,152,16,5,160,1,Dead,,,,,,,,,Died in 2006,,,1998
Eucalyptus scias subsp. callimastha,Eucalyptus scias subsp. callimastha,Eucalyptus scias,eucalyptus scias,,Species ,D.Nicolle,2908,"Huskisson, NSW",35,0,58,150,36,26,198,20,Alive,Moderate,Severe,?,None evident,,,,,None evident,Flowered,Flowered,2000
Eucalyptus scias subsp. scias,Eucalyptus scias subsp. scias,Eucalyptus scias subsp. scias,eucalyptus scias subsp. scias,,Subspecies,D.Nicolle,2911,"West Head, NSW",33,34,44,151,18,29,197,14,Alive,Moderate,Moderate,?,None evident,,,,,None evident,Flowered,Flowered,2000
Eucalyptus scoparia,Eucalyptus scoparia,Eucalyptus scoparia,eucalyptus scoparia,,Species ,D.Nicolle,6196,"Tenterfield, NSW",29,4,15,151,54,52,285,7,Alive,Moderate,Moderate,?,None evident,,,,,Not applicable,,,2013
Eucalyptus scopulorum,Eucalyptus scopulorum,Eucalyptus scopulorum,eucalyptus scopulorum,,Species ,D.Nicolle,2927,"Peregrine Point, NSW",29,36,45,152,12,10,191,29,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2000
Eucalyptus scyphocalyx (E. surgens),Eucalyptus scyphocalyx,Eucalyptus surgens,eucalyptus surgens,,Species,D.Nicolle,558,"Toolinna Cove, WA",32,43,35,125,1,40,41,21,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1994
Eucalyptus seeana,Eucalyptus seeana,Eucalyptus seeana,eucalyptus seeana,,Species ,D.Nicolle,2089,"Lake Cathie, NSW",31,31,28,152,47,33,158,29,Alive,Moderate,Moderate,?,None evident,,,,,Slight,Flowered,Flowered,1998
Eucalyptus selachiana,Eucalyptus selachiana,Eucalyptus eudesmioides subsp. selachiana,eucalyptus eudesmioides subsp. selachiana,,Subspecies,D.Nicolle,1176,"Coburn Station, WA",26,42,8,114,11,42,63,13,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
Eucalyptus semiglobosa,Eucalyptus semiglobosa,Eucalyptus semiglobosa,eucalyptus semiglobosa,,Species ,D.Nicolle,4570,"Boyatup Hill, WA",33,44,23,123,2,36,263,6,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2004
Eucalyptus semota,Eucalyptus semota,Eucalyptus semota,eucalyptus semota,,Species ,D.Nicolle,2193,"Doolgunna, WA",25,37,12,119,23,17,179,25,Alive,None evident,None evident,?,,,,,,None evident,,,1999
Eucalyptus sepulcralis,Eucalyptus sepulcralis,Eucalyptus sepulcralis,eucalyptus sepulcralis,,Species ,D.Nicolle,1126,"Eyre Range 1, WA",33,54,19,119,57,0,62,35,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
Eucalyptus serraensis,Eucalyptus serraensis,Eucalyptus serraensis,eucalyptus serraensis,,Species ,D.Nicolle,2584,"Sundial, Vic",37,10,19,142,30,52,190,13,Dead,,,,,,,,,,,,2000
Eucalyptus sessilis,Eucalyptus sessilis,Eucalyptus sessilis,eucalyptus sessilis,,Species ,D.Nicolle,1352,"Mt Hermannsburg, NT",23,57,29,132,39,35,88,3,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996
Eucalyptus shirleyi,Eucalyptus shirleyi,Eucalyptus shirleyi,eucalyptus shirleyi,,Species ,D.Nicolle,1292,"White Mountains, Qld",20,39,40,145,15,15,89,34,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996
Eucalyptus sicilifolia,Eucalyptus sicilifolia,Eucalyptus sicilifolia,eucalyptus sicilifolia,,Species ,D.Nicolle,1276,"Springsure, Qld",24,4,59,148,4,31,89,15,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996
Eucalyptus siderophloia,Eucalyptus siderophloia,Eucalyptus siderophloia,eucalyptus siderophloia,,Species ,D.Nicolle,717,"Gympie, Qld",26,8,8,152,34,50,54,12,Alive,Moderate,Slight,?,Moderate,Secondary & tertiary branches,3 - 6 months,None evident,,Slight,,,1994
Eucalyptus sideroxylon (subsp. improcera),Eucalyptus sideroxylon,Eucalyptus sideroxylon,eucalyptus sideroxylon,,Species,D.Nicolle,6474,"Barakula SF, Qld",26,9,6,150,20,19,278,13,Alive,None evident,None evident,?,,,,,,Not applicable,Budded,Budded,2013
Eucalyptus sieberi,Eucalyptus sieberi,Eucalyptus sieberi,eucalyptus sieberi,,Species ,D.Nicolle,1749,"Mt Imlay, NSW",37,11,NA,149,45,,141,24,Alive,Slight,Moderate,?,Moderate,Primary & secondary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,1997
Eucalyptus similis,Eucalyptus similis,Eucalyptus similis,eucalyptus similis,,Species ,D.Nicolle,1282,"Jericho, Qld",23,34,17,145,53,4,88,33,Dead,,,,,,,,,,,,1996
Eucalyptus singularis,Eucalyptus singularis,Eucalyptus singularis,eucalyptus singularis,,Species ,D.Nicolle,3816,"Pingaring, WA",32,45,6,118,58,43,206,6,Alive,Moderate,None evident,??,None evident,,,,,Not applicable,Flowered,Flowered,2002
Eucalyptus sinuosa,Eucalyptus sinuosa,Eucalyptus sinuosa,eucalyptus sinuosa,,Species ,D.Nicolle,5057,"Hamersley River, WA",33,47,16,119,46,18,300,19,Alive,None evident,Slight,?,None evident,,,,,Not applicable,Flowered,Flowered,2010
Eucalyptus smithii (mallee form),Eucalyptus smithii,Eucalyptus smithii,eucalyptus smithii,,Species ,D.Nicolle,2068,"Little River Gorge, Vic",37,4,46,148,19,24,153,14,Alive,None evident,Slight,?,None evident,,,,,None evident,,,1998
Eucalyptus socialis subsp. eucentrica,Eucalyptus socialis subsp. eucentrica,Eucalyptus socialis subsp. eucentrica,eucalyptus socialis subsp. eucentrica,,Subspecies,D.Nicolle,2198,"Newman, WA",23,7,44,119,16,34,185,12,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2000
Eucalyptus socialis subsp. socialis,Eucalyptus socialis subsp. socialis,Eucalyptus socialis subsp. socialis,eucalyptus socialis subsp. socialis,,Subspecies,D.Nicolle,1804,"Roseworthy, SA",34,30,11,138,41,41,134,34,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997
Eucalyptus socialis subsp. victoriensis,Eucalyptus socialis subsp. victoriensis,Eucalyptus socialis subsp. victoriensis,eucalyptus socialis subsp. victoriensis,,Subspecies,D.Nicolle,113,"Ooldea Range, SA",29,22,11,130,2,57,9,31,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus socialis subsp. viridans,Eucalyptus socialis subsp. viridans,Eucalyptus socialis subsp. viridans,eucalyptus socialis subsp. viridans,,Subspecies,D.Nicolle,2879,"Sherlock, SA",35,20,59,139,45,20,205,9,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2002
Eucalyptus sp. 'Esperance' (aff. phenax),Eucalyptus sp. Esperance,Eucalyptus phenax,eucalyptus phenax,,Species,D.Nicolle,3604,"Mt Ney 1, WA",33,10,45,122,41,32,226,10,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2001
Eucalyptus sp. 'Fraser Range' (aff. ridigula),Eucalyptus ridigula,Eucalyptus ridigula,eucalyptus ridigula,,Species ,D.Nicolle,3662,"Disappointment Rock, WA",32,8,3,120,55,47,221,17,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2001
Eucalyptus sp. 'Great Victoria Desert' (aff. leptophylla),Eucalyptus sp. Great Victoria Desert,Eucalyptus leptophylla,eucalyptus leptophylla,,Species ,D.Nicolle,1079,"Yumbarra Con. Park, SA",31,49,27,133,27,21,64,16,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
Eucalyptus sp. 'Madura Beach' (aff. discreta),Eucalyptus sp. Madura Beach,Eucalyptus discreta,eucalyptus discreta,,Species ,D.Nicolle,1081,"Madura Beach, WA",32,2,44,127,2,35,67,33,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
Eucalyptus sp. North Balladonia (aff. sheathiana),Eucalyptus sp. North Balladonia,Eucalyptus sheathiana,eucalyptus sheathiana,,Species ,D.Nicolle,2795,"Pioneer Tank 1, WA",31,37,19,123,53,22,185,20,Dead,,,,,,,,,,,,2000
Eucalyptus sp. 'South Newdegate Lakes' (aff. gracilis),Eucalyptus sp. South Newdegate lakes,Eucalyptus gracilis,eucalyptus gracilis,,Species ,D.Nicolle,1861,"Lake Cobham, WA",33,27,21,119,16,11,139,31,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997
Eucalyptus sp. 'Southern wheatbelt' (aff. leptocalyx),Eucalyptus sp. Southern wheatbelt,Eucalyptus leptocalyx,eucalyptus leptocalyx,,Species,D.Nicolle,5507,"Lake Magenta, WA",33,35,37,119,23,54,314,6,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2011
Eucalyptus sparsa,Eucalyptus sparsa,Eucalyptus sparsa,eucalyptus sparsa,,Species ,D.Nicolle,2684,"Blackstone Range, WA",26,6,8,128,23,41,182,26,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2000
Eucalyptus sparsifolia (E. ralla),Eucalyptus sparsifolia,Eucalyptus sparsifolia,eucalyptus sparsifolia,Synonym of Eucalyptus oblonga,Species ,D.Nicolle,614,"Yalwal 1, NSW",34,54,44,150,28,38,59,4,Alive,Severe,Severe,?,Moderate,Basal + trunk + primary branches,3 - 9 months,None evident,,None evident,,,1994
Eucalyptus spathulata subsp. salina,Eucalyptus spathulata subsp. salina,Eucalyptus spathulata subsp. salina,eucalyptus spathulata subsp. salina,,Subspecies,D.Nicolle,3435,"Pingaring, WA",32,45,41,118,24,2,206,21,Dead,,,,,,,,,,,,2002
Eucalyptus spathulata subsp. spathulata,Eucalyptus spathulata subsp. spathulata,Eucalyptus spathulata subsp. spathulata,eucalyptus spathulata subsp. spathulata,,Subspecies,D.Nicolle,234,"Katanning, WA",33,41,16,117,44,57,71,4,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
Eucalyptus spectatrix,Eucalyptus spectatrix,Eucalyptus stricta,eucalyptus stricta,,Species,D.Nicolle,1751,"Bega, NSW",36,39,32,149,54,19,141,19,Alive,Dead,,,,,,,1 - 2 years,None evident,Budded,Budded,1997
