"","TaxonoriginalDN","taxonsimplified_dn","Taxonsimplified_DN","Acceptedname_ALA","name","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","RowTree","Taxon","binomial","genus","species","subspecies","taxon.1","Status","Accepted.name","Authority","Collection.source","ETS.accession","ITS.accession","matK.accession","psbA.accession"
"1396","Eucalyptus baudiniana","eucalyptus baudiniana","Eucalyptus baudiniana","Eucalyptus baudiniana","eucalyptus baudiniana","","Species ","D.Nicolle","5577","Eurardy, WA",27,20,18,114,25,"48",317,17,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2011,"R317/T17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1397","Eucalyptus sp. 'Kalbarri' (aff. rigidula)","eucalyptus sp. kalbarri","Eucalyptus sp. Kalbarri","Eucalyptus rigidula","eucalyptus rigidula","","Species ","D.Nicolle","5578","Eurady Station, WA",27,33,10,114,38,"16",319,24,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2011,"R319/T24","Eucalyptus rigidula","eucalyptus rigidula","eucalyptus","rigidula",NA,"eucalyptus rigidula","Accepted","","Cambage & Blakely","Currency Creek 244","KT631946","KT631318","KT633108","KT632519"
"1398","Eucalyptus scyphocalyx (E. surgens)","eucalyptus scyphocalyx","Eucalyptus scyphocalyx","Eucalyptus surgens","eucalyptus surgens","","Species","D.Nicolle","558","Toolinna Cove, WA",32,43,35,125,1,"40",41,21,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R041/T21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1399","Eucalyptus leptopoda subsp. elevata - E. oldfieldii intergrade","eucalyptus leptopoda subsp. elevata - e. oldfieldii intergrade","Eucalyptus leptopoda subsp. elevata - E. oldfieldii intergrade","","","","Intergrade","D.Nicolle","5583","Kalbarri Nat. Park, WA",27,32,51,114,35,"43",310,25,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2011,"R310/T25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1400","Eucalyptus sp. 'Dartmoor' (aff. myriadena)","eucalyptus sp. dartmoor","Eucalyptus sp. Dartmoor","Eucalyptus myriadena","eucalyptus myriadena","","Species ","D.Nicolle","5585","Dartmoor, WA",27,58,35,115,12,"23",315,21,"Alive","None evident","None evident","?","","","","","","Not applicable","Budded","Budded",2011,"R315/T21","Eucalyptus myriadena","eucalyptus myriadena","eucalyptus","myriadena",NA,"eucalyptus myriadena","Accepted","","Brooker","Currency Creek 321","KT631827","KT631221","KT632999","KT632420"
"1401","Eucalyptus synandra ","eucalyptus synandra","Eucalyptus synandra","Eucalyptus synandra","eucalyptus synandra","","Species ","D.Nicolle","5588","Karara, WA",29,18,49,116,43,"32",318,1,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2011,"R318/T01","Eucalyptus synandra","eucalyptus synandra","eucalyptus","synandra",NA,"eucalyptus synandra","Accepted","","Crisp","CANB 794049**","KT632002","KT631358","KT633155","KT632565"
"1402","Eucalyptus conglobata subsp. conglobata","eucalyptus conglobata subsp. conglobata","Eucalyptus conglobata subsp. conglobata","Eucalyptus conglobata subsp. conglobata","eucalyptus conglobata subsp. conglobata","","Subspecies","D.Nicolle","559","Toolinna Cove, WA",32,42,41,124,55,"47",41,12,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R041/T12","Eucalyptus conglobata subsp. conglobata","eucalyptus conglobata","eucalyptus","conglobata","conglobata","eucalyptus conglobata subsp. conglobata","Accepted","","(Benth.) Maiden","Currency Creek 3588","KT631602","KT631027","KT632788","KT632220"
"1403","Eucalyptus striaticalyx","eucalyptus striaticalyx","Eucalyptus striaticalyx","Eucalyptus striaticalyx","eucalyptus striaticalyx","","Species","D.Nicolle","5592","Lake Mongers, WA",29,7,15,117,13,"37",318,17,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2011,"R318/T17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1404","Eucalyptus loxophleba subsp. supralaevis","eucalyptus loxophleba subsp. supralaevis","Eucalyptus loxophleba subsp. supralaevis","Eucalyptus loxophleba subsp. supralaevis","eucalyptus loxophleba subsp. supralaevis","","Subspecies","D.Nicolle","5593","Mt Singleton, WA",29,28,0,117,17,"59",317,13,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2011,"R317/T13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1405","Eucalyptus myriadena","eucalyptus myriadena","Eucalyptus myriadena","Eucalyptus myriadena","eucalyptus myriadena","","Species ","D.Nicolle","5596","Lake Ogrady, WA",30,23,47,117,24,"31",312,21,"Alive","None evident","None evident","?","","","","","","Not applicable","Budded","Budded",2011,"R312/T21","Eucalyptus myriadena","eucalyptus myriadena","eucalyptus","myriadena",NA,"eucalyptus myriadena","Accepted","","Brooker","Currency Creek 321","KT631827","KT631221","KT632999","KT632420"
