"","TaxonoriginalDN","taxonsimplified_dn","Taxonsimplified_DN","Acceptedname_ALA","name","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","RowTree","Taxon","binomial","genus","species","subspecies","taxon.1","Status","Accepted.name","Authority","Collection.source","ETS.accession","ITS.accession","matK.accession","psbA.accession"
"864","Eucalyptus gillii","eucalyptus gillii","Eucalyptus gillii","Eucalyptus gillii","eucalyptus gillii","","Species ","D.Nicolle","2959","Corona, NSW",31,23,55,141,28,"37",183,33,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"R183/T33","Eucalyptus gillii","eucalyptus gillii","eucalyptus","gillii",NA,"eucalyptus gillii","Accepted","","Maiden","Currency Creek 2959","KT631705","KT631113","KT632885","KT632313"
"865","Eucalyptus arachnaea subsp. arachnaea","eucalyptus arachnaea subsp. arachnaea","Eucalyptus arachnaea subsp. arachnaea","Eucalyptus arachnaea subsp. arachnaea","eucalyptus arachnaea subsp. arachnaea","","Subspecies","D.Nicolle","296","Cadoux, WA",30,46,32,117,9,"39",26,11,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R026/T11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"866","Eucalyptus vicina (Mootwingie variant)","eucalyptus vicina","Eucalyptus vicina","Eucalyptus vicina","eucalyptus vicina","","Species ","D.Nicolle","2964","Mootwingie 1, NSW",31,17,41,142,18,"29",184,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"R184/T01","Eucalyptus vicina","eucalyptus vicina","eucalyptus","vicina",NA,"eucalyptus vicina","Accepted","","L.A.S.Johnson & K.D.Hill","GenBank","","HM116971","",""
"867","Eucalyptus synandra","eucalyptus synandra","Eucalyptus synandra","Eucalyptus synandra","eucalyptus synandra","","Species ","D.Nicolle","297","Jingymia, WA",30,30,53,117,24,"35",19,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R019/T09","Eucalyptus synandra","eucalyptus synandra","eucalyptus","synandra",NA,"eucalyptus synandra","Accepted","","Crisp","CANB 794049**","KT632002","KT631358","KT633155","KT632565"
"868","Eucalyptus leptopoda subsp. leptopoda","eucalyptus leptopoda subsp. leptopoda","Eucalyptus leptopoda subsp. leptopoda","Eucalyptus leptopoda subsp. leptopoda","eucalyptus leptopoda subsp. leptopoda","","Subspecies","D.Nicolle","298","Bonnie Rock, WA",30,31,25,118,18,"4",14,35,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R014/T35","Eucalyptus leptopoda subsp. leptopoda","eucalyptus leptopoda","eucalyptus","leptopoda","leptopoda","eucalyptus leptopoda subsp. leptopoda","Accepted","","Benth.","CANB 519232**","KT631772","KT631171","KT632945",""
"869","Eucalyptus brevipes","eucalyptus brevipes","Eucalyptus brevipes","Eucalyptus brevipes","eucalyptus brevipes","","Species ","D.Nicolle","299","Mukinbudin, WA",30,37,50,118,29,"6",27,15,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R027/T15","Eucalyptus brevipes","eucalyptus brevipes","eucalyptus","brevipes",NA,"eucalyptus brevipes","Accepted","","Brooker","CANB 692658**","KT631554","","KT632745",""
"870","Eucalyptus capillosa","eucalyptus capillosa","Eucalyptus capillosa","Eucalyptus capillosa","eucalyptus capillosa","","Species ","D.Nicolle","300","Mukinbudin, WA",30,48,46,118,37,"1",15,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R015/T09","Eucalyptus capillosa","eucalyptus capillosa","eucalyptus","capillosa",NA,"eucalyptus capillosa","Accepted","","Brooker & Hopper","Currency Creek 2192","KT631576","KT631008","KT632767","KT632197"
"871","Eucalyptus subangusta subsp. cerina","eucalyptus subangusta subsp. cerina","Eucalyptus subangusta subsp. cerina","Eucalyptus subangusta subsp. cerina","eucalyptus subangusta subsp. cerina","","Subspecies","D.Nicolle","301","Chiddarcooping Hill, WA",30,52,34,118,42,"18",15,20,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R015/T20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"872","Eucalyptus sheathiana","eucalyptus sheathiana","Eucalyptus sheathiana","Eucalyptus sheathiana","eucalyptus sheathiana","","Species ","D.Nicolle","302","Mukinbudin, WA",30,52,34,118,42,"18",25,30,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R025/T30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"873","Eucalyptus crucis subsp. lanceolata","eucalyptus crucis subsp. lanceolata","Eucalyptus crucis subsp. lanceolata","Eucalyptus crucis subsp. lanceolata","eucalyptus crucis subsp. lanceolata","","Subspecies","D.Nicolle","303","Chiddarcooping Hill, WA",30,54,43,118,39,"11",19,22,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R019/T22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"874","Eucalyptus caesia subsp. magna","eucalyptus caesia subsp. magna","Eucalyptus caesia subsp. magna","Eucalyptus caesia","eucalyptus caesia","","Species ","D.Nicolle","304","Chiddarcooping Hill, WA",30,54,43,118,39,"11",45,26,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R045/T26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"875","Eucalyptus corrugata","eucalyptus corrugata","Eucalyptus corrugata","Eucalyptus corrugata","eucalyptus corrugata","","Species ","D.Nicolle","305","Westonia, WA",31,17,21,118,40,"20",14,16,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R014/T16","Eucalyptus corrugata","eucalyptus corrugata","eucalyptus","corrugata",NA,"eucalyptus corrugata","Accepted","","Luehm.","Currency Creek 3483","KT631610","KT631035","KT632796","KT632228"
"876","Eucalyptus burracoppinensis","eucalyptus burracoppinensis","Eucalyptus burracoppinensis","Eucalyptus burracoppinensis","eucalyptus burracoppinensis","","Species ","D.Nicolle","306","Cramphorne, WA",31,50,50,118,44,"39",24,37,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R024/T37","Eucalyptus burracoppinensis","eucalyptus burracoppinensis","eucalyptus","burracoppinensis",NA,"eucalyptus burracoppinensis","Accepted","","Maiden & Blakely","CANB 794037**","KT631563","KT630996","KT632754","KT632186"
"877","Eucalyptus aequioperta x E. sheathiana","eucalyptus aequioperta x e. sheathiana","Eucalyptus aequioperta x E. sheathiana","","","","Hybrid","D.Nicolle","307","Mt Walker, WA",32,4,14,118,45,"30",22,11,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R022/T11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"878","Eucalyptus caesia subsp. caesia","eucalyptus caesia subsp. caesia","Eucalyptus caesia subsp. caesia","Eucalyptus caesia","eucalyptus caesia","","Species ","D.Nicolle","308","The Humps, WA",32,19,2,118,57,"15",22,15,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R022/T15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"879","Eucalyptus tenera","eucalyptus tenera","Eucalyptus tenera","Eucalyptus tenera","eucalyptus tenera","","Species ","D.Nicolle","310","Dragon Rocks, WA",32,45,56,119,5,"26",27,20,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R027/T20","Eucalyptus tenera","eucalyptus tenera","eucalyptus","tenera",NA,"eucalyptus tenera","Accepted","","L.A.S.Johnson & K.D.Hill","Currency Creek 3590","KT632006","KT631362","KT633159","KT632568"
"880","Eucalyptus suggrandis subsp. promiscua","eucalyptus suggrandis subsp. promiscua","Eucalyptus suggrandis subsp. promiscua","Eucalyptus suggrandis subsp. promiscua","eucalyptus suggrandis subsp. promiscua","","Subspecies","D.Nicolle","311","Dragon Rocks, WA",32,45,2,119,5,"17",10,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R010/T01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"881","Eucalyptus macrandra","eucalyptus macrandra","Eucalyptus macrandra","Eucalyptus macrandra","eucalyptus macrandra","","Species ","D.Nicolle","312","Harris Nature Reserve, WA",32,49,37,118,47,"13",25,26,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R025/T26","Eucalyptus macrandra","eucalyptus macrandra","eucalyptus","macrandra",NA,"eucalyptus macrandra","Accepted","","F.Muell. ex Benth.","Currency Creek 1887","KT631790","KT631189","KT632963","KT632389"
"882","Eucalyptus loxophleba subsp. gratiae","eucalyptus loxophleba subsp. gratiae","Eucalyptus loxophleba subsp. gratiae","Eucalyptus loxophleba subsp. gratiae","eucalyptus loxophleba subsp. gratiae","","Subspecies","D.Nicolle","313","Harris Nature Reserve, WA",32,48,21,118,47,"7",27,23,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R027/T23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"883","Eucalyptus tephroclada","eucalyptus tephroclada","Eucalyptus tephroclada","Eucalyptus tephroclada","eucalyptus tephroclada","","Species ","D.Nicolle","314","Hyden, WA ",32,27,31,118,49,"54",24,14,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R024/T14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"884","Eucalyptus neutra","eucalyptus neutra","Eucalyptus neutra","Eucalyptus neutra","eucalyptus neutra","","Species ","D.Nicolle","315","Hyden 1, WA",32,27,31,118,49,"54",27,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R027/T01","Eucalyptus neutra","eucalyptus neutra","eucalyptus","neutra",NA,"eucalyptus neutra","Accepted","","D.Nicolle","Currency Creek 1855","KT631831","","KT633003","KT632423"
"885","Eucalyptus myriadena","eucalyptus myriadena","Eucalyptus myriadena","Eucalyptus myriadena","eucalyptus myriadena","","Species ","D.Nicolle","316","Hyden, WA",32,27,0,118,52,"2",10,17,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R010/T17","Eucalyptus myriadena","eucalyptus myriadena","eucalyptus","myriadena",NA,"eucalyptus myriadena","Accepted","","Brooker","Currency Creek 321","KT631827","KT631221","KT632999","KT632420"
"886","Eucalyptus steedmanii","eucalyptus steedmanii","Eucalyptus steedmanii","Eucalyptus steedmanii","eucalyptus steedmanii","","Species ","D.Nicolle","317","Forrestania, WA",32,28,54,119,40,"36",10,13,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R010/T13","Eucalyptus steedmanii","eucalyptus steedmanii","eucalyptus","steedmanii",NA,"eucalyptus steedmanii","Accepted","","C.A.Gardner","Currency Creek 317","KT631987","KT631347","KT633143","KT632555"
"887","Eucalyptus socialis subsp. socialis (glaucous variant)","eucalyptus socialis subsp. socialis","Eucalyptus socialis subsp. socialis","Eucalyptus socialis subsp. socialis","eucalyptus socialis subsp. socialis","","Subspecies","D.Nicolle","3172","Cowell, SA",33,39,40,136,50,"32",199,21,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2002,"R199/T21","Eucalyptus socialis subsp. socialis","eucalyptus socialis","eucalyptus","socialis","socialis","eucalyptus socialis subsp. socialis","Accepted","","F.Muell. ex Miq.","Currency Creek 1804","KT631979","KT631342","KT633138","KT632549"
"888","Eucalyptus calycogona subsp. calycogona","eucalyptus calycogona subsp. calycogona","Eucalyptus calycogona subsp. calycogona","Eucalyptus calycogona subsp. calycogona","eucalyptus calycogona subsp. calycogona","","Subspecies","D.Nicolle","3177","Cleve, SA",33,46,5,136,24,"50",220,33,"Alive","None evident","None evident","?","","","","","","None evident","","",2001,"R220/T33","Eucalyptus calycogona subsp. calycogona","eucalyptus calycogona","eucalyptus","calycogona","calycogona","eucalyptus calycogona subsp. calycogona","Accepted","","Turcz.","Currency Creek 1112","KT631570","KT631002","KT632761","KT632193"
"889","Eucalyptus pileata ","eucalyptus pileata","Eucalyptus pileata","Eucalyptus pileata","eucalyptus pileata","","Species ","D.Nicolle","3178","Arno Bay, SA",33,55,11,136,19,"22",223,29,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R223/T29","Eucalyptus pileata","eucalyptus pileata","eucalyptus","pileata",NA,"eucalyptus pileata","Accepted","","Blakely","Currency Creek 3644","KT631891","KT631272","KT633058","KT632472"
"890","Eucalyptus rugosa","eucalyptus rugosa","Eucalyptus rugosa","Eucalyptus rugosa","eucalyptus rugosa","","Species ","D.Nicolle","3179","Sleaford Bay 1, SA",34,54,55,135,40,"45",229,12,"Alive","Severe","Dead","?","Moderate","Primary, secondary & tertiary branches","3 - 6 months","Dead","","None evident","Flowered","Flowered",2001,"R229/T12","Eucalyptus rugosa","eucalyptus rugosa","eucalyptus","rugosa",NA,"eucalyptus rugosa","Accepted","","R.Br. ex Blakely","Currency Creek 3179","KT631955","KT631324","KT633116","KT632528"
"891","Eucalyptus livida","eucalyptus livida","Eucalyptus livida","Eucalyptus livida","eucalyptus livida","","Species ","D.Nicolle","318","North Ironcap, WA",32,21,25,119,39,"56",12,25,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R012/T25","Eucalyptus livida","eucalyptus livida","eucalyptus","livida",NA,"eucalyptus livida","Accepted","","Brooker & Hopper","CANB 794326**","KT631780","KT631179","KT632953","KT632381"
"892","Eucalyptus albopurpurea","eucalyptus albopurpurea","Eucalyptus albopurpurea","Eucalyptus albopurpurea","eucalyptus albopurpurea","","Species ","D.Nicolle","3180","Sleaford Mere 2, SA",34,49,59,135,43,"59",220,13,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R220/T13","Eucalyptus albopurpurea","eucalyptus albopurpurea","eucalyptus","albopurpurea",NA,"eucalyptus albopurpurea","Accepted","","(Boomsma) D.Nicolle","Currency Creek 3180","KT631500","KT630944","KT632697","KT632138"
"893","Eucalyptus cladocalyx subsp. cladocalyx","eucalyptus cladocalyx subsp. cladocalyx","Eucalyptus cladocalyx subsp. cladocalyx","Eucalyptus cladocalyx subsp. cladocalyx","eucalyptus cladocalyx subsp. cladocalyx","","Subspecies","D.Nicolle","3182","Coomunga, SA",34,38,48,135,42,"44",229,17,"Alive","None evident","None evident","?","","","","","","Slight","Flowered","Flowered",2001,"R229/T17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"894","Eucalyptus behriana","eucalyptus behriana","Eucalyptus behriana","Eucalyptus behriana","eucalyptus behriana","","Species ","D.Nicolle","3183","Edillilie, SA",34,27,42,135,41,"21",235,25,"Alive","Moderate","Moderate","?","Very scattered","Primary & secondary branches","3 - 9 months","None evident","","None evident","Flowered","Flowered",2001,"R235/T25","Eucalyptus behriana","eucalyptus behriana","eucalyptus","behriana",NA,"eucalyptus behriana","Accepted","","F.Muell.","Currency Creek 3183","KT631538","KT630977","KT632729","KT632167"
"895","Eucalyptus benthamii","eucalyptus benthamii","Eucalyptus benthamii","Eucalyptus benthamii","eucalyptus benthamii","","Species ","D.Nicolle","3203","Camden, NSW",34,2,29,150,41,"45",239,26,"Alive","Dead","","","","","","","1 - 2 years","Moderate","Flowered","Flowered",2001,"R239/T26","Eucalyptus benthamii","eucalyptus benthamii","eucalyptus","benthamii",NA,"eucalyptus benthamii","Accepted","","Maiden & Cambage","Currency Creek 3203","KT631540","KT630979","KT632731",""
"896","Angophora subvelutina","angophora subvelutina","Angophora subvelutina","Angophora subvelutina","angophora subvelutina","","Species ","D.Nicolle","3204","Mulgoa, NSW",33,50,8,150,39,"10",239,21,"Alive","None evident","None evident","?","","","","","","None evident","","",2001,"R239/T21","Angophora subvelutina","angophora subvelutina","angophora","subvelutina",NA,"angophora subvelutina","Accepted","","F.Muell.","CANB 786273**","KT631419","KT630900","KT632628","KT632069"
"897","Angophora costata subsp. euryphylla","angophora costata subsp. euryphylla","Angophora costata subsp. euryphylla","Angophora costata subsp. euryphylla","angophora costata subsp. euryphylla","","Subspecies","D.Nicolle","3206","Putty, NSW",33,2,37,150,40,"54",242,1,"Dead","","","","","","","","","","","",2002,"R242/T01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"898","Eucalyptus stricta","eucalyptus stricta","Eucalyptus stricta","Eucalyptus stricta","eucalyptus stricta","","Species ","D.Nicolle","3208","Ryland Track, NSW",33,42,17,151,12,"20",232,33,"Dead","","","","","","","","","","","",2001,"R232/T33","Eucalyptus stricta","eucalyptus stricta","eucalyptus","stricta",NA,"eucalyptus stricta","Accepted","","Sieber ex Spreng.","Currency Creek 1751","KT631993","EF051501","",""
"899","Eucalyptus parramattensis subsp. parramattensis","eucalyptus parramattensis subsp. parramattensis","Eucalyptus parramattensis subsp. parramattensis","Eucalyptus parramattensis subsp. parramattensis","eucalyptus parramattensis subsp. parramattensis","","Subspecies","D.Nicolle","3209","Liverpool, NSW",33,56,44,150,56,"47",239,29,"Alive","Dead","","","","","","","6 - 12 months","Moderate","Flowered","Flowered",2001,"R239/T29","Eucalyptus parramattensis subsp. parramattensis","eucalyptus parramattensis","eucalyptus","parramattensis","parramattensis","eucalyptus parramattensis subsp. parramattensis","Accepted","","C.C.Hall","Currency Creek 1763","KT631873","KT631257","KT633042","KT632455"
"900","Eucalyptus myriadena","eucalyptus myriadena","Eucalyptus myriadena","Eucalyptus myriadena","eucalyptus myriadena","","Species ","D.Nicolle","321","Forrestania, WA",32,22,7,119,44,"58",20,3,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R020/T03","Eucalyptus myriadena","eucalyptus myriadena","eucalyptus","myriadena",NA,"eucalyptus myriadena","Accepted","","Brooker","Currency Creek 321","KT631827","KT631221","KT632999","KT632420"
"901","Eucalyptus oreades","eucalyptus oreades","Eucalyptus oreades","Eucalyptus oreades","eucalyptus oreades","","Species ","D.Nicolle","3210","Gibbergunya River, NSW",34,26,12,150,26,"8",239,1,"Dead","","","","","","","","","","","",2001,"R239/T01","Eucalyptus oreades","eucalyptus oreades","eucalyptus","oreades",NA,"eucalyptus oreades","Accepted","","F.Muell. ex R.T.Baker","Currency Creek 628","KT631858","KT631247","KT633027","KT632441"
"902","Eucalyptus cinerea subsp. cinerea","eucalyptus cinerea subsp. cinerea","Eucalyptus cinerea subsp. cinerea","Eucalyptus cinerea subsp. cinerea","eucalyptus cinerea subsp. cinerea","","Subspecies","D.Nicolle","3211","Marulan, NSW",34,41,2,150,3,"6",237,3,"Alive","Dead","","","","","","","6 - 12 months","Slight","Flowered","Flowered",2001,"R237/T03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"903","Eucalyptus bicostata ","eucalyptus bicostata","Eucalyptus bicostata","Eucalyptus globulus subsp. bicostata","eucalyptus globulus subsp. bicostata","","Subspecies","D.Nicolle","3212","Mt Bryan, SA",33,26,37,138,57,"23",235,18,"Alive","Dead","","","","","","","1 - 2 years","Moderate","","",2001,"R235/T18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"904","Eucalyptus exigua","eucalyptus exigua","Eucalyptus exigua","Eucalyptus exigua","eucalyptus exigua","","Species ","D.Nicolle","322","Forrestania, WA",32,31,31,119,45,"57",24,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R024/T09","Eucalyptus exigua","eucalyptus exigua","eucalyptus","exigua",NA,"eucalyptus exigua","Accepted","","Brooker & Hopper","Currency Creek 3676","KT631678","KT631091","","KT632286"
"905","Eucalyptus georgei subsp. fulgida","eucalyptus georgei subsp. fulgida","Eucalyptus georgei subsp. fulgida","Eucalyptus georgei subsp. fulgida","eucalyptus georgei subsp. fulgida","","Subspecies","D.Nicolle","323","Lake Cronin, WA",32,22,38,119,50,"0",25,6,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R025/T06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"906","Eucalyptus phaenophylla","eucalyptus phaenophylla","Eucalyptus phaenophylla","Eucalyptus phaenophylla","eucalyptus phaenophylla","","Species ","D.Nicolle","324","Mt Day, WA",32,18,20,120,8,"14",21,8,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R021/T08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"907","Eucalyptus georgei subsp. georgei","eucalyptus georgei subsp. georgei","Eucalyptus georgei subsp. georgei","Eucalyptus georgei subsp. georgei","eucalyptus georgei subsp. georgei","","Subspecies","D.Nicolle","325","Mt Day, WA",32,13,16,120,29,"55",16,14,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R016/T14","Eucalyptus georgei subsp. georgei","eucalyptus georgei","eucalyptus","georgei","georgei","eucalyptus georgei subsp. georgei","Accepted","","Brooker & Blaxell","Currency Creek 325","KT631702","KT631111","","KT632310"
"908","Eucalyptus tenuis","eucalyptus tenuis","Eucalyptus tenuis","Eucalyptus tenuis","eucalyptus tenuis","","Species ","D.Nicolle","326","Mt Day, WA",32,7,27,120,29,"32",16,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R016/T01","Eucalyptus tenuis","eucalyptus tenuis","eucalyptus","tenuis",NA,"eucalyptus tenuis","Accepted","","Brooker & Hopper","Currency Creek 326","KT632008","KT631363","KT633161","KT632570"
"909","Eucalyptus incerata","eucalyptus incerata","Eucalyptus incerata","Eucalyptus incerata","eucalyptus incerata","","Species ","D.Nicolle","327","Mt Day, WA",32,6,40,120,26,"5",20,16,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R020/T16","Eucalyptus incerata","eucalyptus incerata","eucalyptus","incerata",NA,"eucalyptus incerata","Accepted","","Brooker & Hopper","Currency Creek 4678","KT631737","","KT632917","KT632342"
"910","Eucalyptus aspratilis","eucalyptus aspratilis","Eucalyptus aspratilis","Eucalyptus aspratilis","eucalyptus aspratilis","","Species ","D.Nicolle","328","Mt Day, WA",32,6,51,120,26,"25",31,5,"Alive","None evident","None evident","?","","","","","","None evident","","",1993,"R031/T05","Eucalyptus aspratilis","eucalyptus aspratilis","eucalyptus","aspratilis",NA,"eucalyptus aspratilis","Accepted","","L.A.S.Johnson & K.D.Hill","Waite Arboretum 2323C","KT631525","KT630963","KT632719","KT632155"
"911","Eucalyptus cerasiformis","eucalyptus cerasiformis","Eucalyptus cerasiformis","Eucalyptus cerasiformis","eucalyptus cerasiformis","","Species ","D.Nicolle","329","Lake Johnston, WA",32,11,37,120,31,"56",24,5,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R024/T05","Eucalyptus cerasiformis","eucalyptus cerasiformis","eucalyptus","cerasiformis",NA,"eucalyptus cerasiformis","Accepted","","Brooker & Blaxell","CANB 586828**","KT631586","KT631015","",""
"912","Eucalyptus planipes (E. trachybasis)","eucalyptus planipes","Eucalyptus planipes","Eucalyptus planipes","eucalyptus planipes","","Species ","D.Nicolle","330","Dordie Rocks, WA",31,37,53,121,37,"49",14,12,"Alive","None evident","None evident","?","","","","","","None evident","","",1993,"R014/T12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"913","Eucalyptus websteriana","eucalyptus websteriana","Eucalyptus websteriana","Eucalyptus websteriana","eucalyptus websteriana","","Species ","D.Nicolle","331","Red Hill, WA",31,12,42,121,40,"17",22,19,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R022/T19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"914","Eucalyptus campaspe","eucalyptus campaspe","Eucalyptus campaspe","Eucalyptus campaspe","eucalyptus campaspe","","Species ","D.Nicolle","332","Coolgardie north, WA",30,56,33,121,10,"4",20,21,"Dead","","","","","","","","","","","",1993,"R020/T21","Eucalyptus campaspe","eucalyptus campaspe","eucalyptus","campaspe",NA,"eucalyptus campaspe","Accepted","","S.Moore","Currency Creek 2147","KT631571","KT631003","KT632762","KT632194"
"915","Eucalyptus clelandiorum","eucalyptus clelandiorum","Eucalyptus clelandiorum","Eucalyptus clelandiorum","eucalyptus clelandiorum","","Species ","D.Nicolle","333","Callion, WA",30,12,23,120,37,"54",11,19,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R011/T19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"916","Eucalyptus educta","eucalyptus educta","Eucalyptus educta","Eucalyptus educta","eucalyptus educta","","Species ","D.Nicolle","335","Callion, WA",30,7,29,120,33,"26",12,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R012/T01","Eucalyptus educta","eucalyptus educta","eucalyptus","educta",NA,"eucalyptus educta","Accepted","","L.A.S.Johnson & K.D.Hill","CANB 461013**","KT631666","KT631079","KT632848",""
"917","Eucalyptus leptopoda subsp. subluta","eucalyptus leptopoda subsp. subluta","Eucalyptus leptopoda subsp. subluta","Eucalyptus leptopoda subsp. subluta","eucalyptus leptopoda subsp. subluta","","Subspecies","D.Nicolle","336","Callion, WA",30,3,5,120,50,"16",11,18,"Alive","None evident","None evident","?","","","","","","None evident","","",1993,"R011/T18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"918","Eucalyptus kruseana","eucalyptus kruseana","Eucalyptus kruseana","Eucalyptus kruseana","eucalyptus kruseana","","Species ","D.Nicolle","337","Cardunia Rocks, WA",30,56,4,122,33,"1",45,21,"Alive","None evident","None evident","?","","","","","","None evident","","",1994,"R045/T21","Eucalyptus kruseana","eucalyptus kruseana","eucalyptus","kruseana",NA,"eucalyptus kruseana","Accepted","","F.Muell.","Currency Creek s.n.","KT631755","","",""
"919","Eucalyptus x brachyphylla (loxophleba x E. kruseana)","eucalyptus x brachyphylla","Eucalyptus x brachyphylla","","","","Hybrid","D.Nicolle","338","Cardunia Rocks, WA",30,56,4,122,33,"1",43,31,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R043/T31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"920","Eucalyptus petraea","eucalyptus petraea","Eucalyptus petraea","Eucalyptus petraea","eucalyptus petraea","","Species ","D.Nicolle","339","Cardunia Rocks, WA",30,56,4,122,33,"1",11,23,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R011/T23","Eucalyptus petraea","eucalyptus petraea","eucalyptus","petraea",NA,"eucalyptus petraea","Accepted","","D.J.Carr & S.G.M.Carr","Currency Creek 3766","KT631885","KT631267","KT633052","KT632467"
"921","Eucalyptus woodwardii","eucalyptus woodwardii","Eucalyptus woodwardii","Eucalyptus woodwardii","eucalyptus woodwardii","","Species ","D.Nicolle","340","Spinifex Range, WA",30,51,38,122,45,"0",42,16,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R042/T16","Eucalyptus woodwardii","eucalyptus woodwardii","eucalyptus","woodwardii",NA,"eucalyptus woodwardii","Accepted","","Maiden","CANB 794035**","KT632048","KT631397","","KT632608"
