"","TaxonoriginalDN","Taxonsimplified_DN","Acceptedname_ALA","name","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","RowTree","FieldID","DNNumber"
"688","Eucalyptus scoparia","Eucalyptus scoparia","Eucalyptus scoparia","eucalyptus scoparia","","Species ","D.Nicolle","6196","Tenterfield, NSW",29,4,15,151,54,"52",285,7,"Alive","Moderate","Moderate","?","None evident","","","","","Not applicable","","",2013,"R072/T34","CCA1297",672
"689","Eucalyptus boliviana","Eucalyptus boliviana","Eucalyptus boliviana","eucalyptus boliviana","","Species ","D.Nicolle","6197","Bolivia Hill, NSW",29,21,11,151,54,"58",283,13,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2013,"R283/T13","CCA5215",6197
"690","Eucalyptus notabilis","Eucalyptus notabilis","Eucalyptus notabilis","eucalyptus notabilis","","Species ","D.Nicolle","6203","Peregrine Point, NSW",29,36,46,152,12,"13",283,6,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2013,"R053/T15","CCA0831",630
"691","Eucalyptus robusta","Eucalyptus robusta","Eucalyptus robusta","eucalyptus robusta","","Species ","D.Nicolle","6205","Wooli, NSW",29,49,35,153,16,"40",242,17,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2013,"R016/T36","CCA0213",638
"692","Eucalyptus acaciiformis","Eucalyptus acaciiformis","Eucalyptus acaciiformis","eucalyptus acaciiformis","","Species ","D.Nicolle","6217","Ebor, NSW",30,28,36,152,19,"22",242,24,"Alive","Moderate","Moderate","?","None evident","","","","","Not applicable","","",2013,"R242/T21","CCA4809",6217
"693","Eucalyptus ligustrina","Eucalyptus ligustrina","Eucalyptus ligustrina","eucalyptus ligustrina","","Species ","D.Nicolle","624","Kings Tableland, NSW",33,44,43,150,22,"41",60,14,"Dead","","","","","","","","","","","",1994,"R194/T15","CCA3912",624
"694","Angophora inopina","Angophora inopina","Angophora inopina","angophora inopina","","Species ","D.Nicolle","6258","Wyee, NSW",33,11,13,151,29,"30",279,5,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2013,"R279/T05","CCA5147",6258
"695","Eucalyptus corticosa","Eucalyptus corticosa","Eucalyptus corticosa","eucalyptus corticosa","","Species ","D.Nicolle","6276","Olinda, NSW",32,51,26,150,14,"25",285,11,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2013,"R146/T35","CCA3153",1746
"696","Corymbia eximia","Corymbia eximia","Corymbia eximia","corymbia eximia","","Species ","D.Nicolle","632","Wisemans Ferry, NSW",33,23,23,150,58,"57",53,21,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",1994,"R053/T21","CCA0837",632
"697","Eucalyptus deanei","Eucalyptus deanei","Eucalyptus deanei","eucalyptus deanei","","Species ","D.Nicolle","633","Perrys Crossing, NSW",33,12,0,150,59,"43",13,41,"Alive","Slight","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1994,"R013/T41","CCA0138",633
"698","Eucalyptus annettae","Eucalyptus annettae","Eucalyptus annettae","eucalyptus annettae","","Species ","D.Nicolle","6359","Tookle Jenna Rock, WA",33,39,29,123,42,"7",244,1,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2013,"R244/T01","CCA4836",6359
"699","Eucalyptus pumila","Eucalyptus pumila","Eucalyptus pumila","eucalyptus pumila","","Species ","D.Nicolle","636","Pokolbin, NSW",32,46,34,151,15,"37",53,31,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R053/T30","CCA0845",636
"700","Eucalyptus parramattensis subsp. decadens","Eucalyptus parramattensis subsp. decadens","Eucalyptus parramattensis subsp. decadens","eucalyptus parramattensis subsp. decadens","","Subspecies","D.Nicolle","641","Williamstown, NSW",32,46,59,151,53,"14",56,9,"Alive","Slight","Severe","??","None evident","","","","","Moderate","Flowered","Flowered",1994,"R056/T08","CCA0895",641
"701","Eucalyptus provecta","Eucalyptus provecta","Eucalyptus provecta","eucalyptus provecta","","Species ","D.Nicolle","6413","Newcastle Range, Qld",18,36,55,143,47,"0",272,13,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2013,"R272/T13","CCA5048",6413
"702","Eucalyptus pilularis","Eucalyptus pilularis","Eucalyptus pilularis","eucalyptus pilularis","","Species ","D.Nicolle","644","Macksville, NSW",30,54,51,152,56,"29",61,17,"Dead","","","","","","","","","","","",1994,"R165/T22","CCA3322",644
"703","Eucalyptus fusiformis","Eucalyptus fusiformis","Eucalyptus fusiformis","eucalyptus fusiformis","","Species ","D.Nicolle","645","Macksville, NSW",30,54,9,152,51,"12",61,15,"Alive","Moderate","Slight","?","Extensive","Tertiary branches","3 - 6 months","None evident","","None evident","Flowered","Flowered",1994,"R061/T13","CCA0970",645
"704","Eucalyptus ancophila","Eucalyptus ancophila","Eucalyptus ancophila","eucalyptus ancophila","","Species ","D.Nicolle","646","Eungai Creek, NSW",30,48,59,152,51,"12",58,12,"Alive","None evident","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1994,"R058/T12","CCA0927",646
"705","Eucalyptus nobilis","Eucalyptus nobilis","Eucalyptus nobilis","eucalyptus nobilis","","Species ","D.Nicolle","647","Dorrigo, NSW",30,19,25,152,42,"49",61,9,"Dead","","","","","","","","","Died in 2006","","",1994,"R057/T33","CCA0920",753
"706","Eucalyptus beaniana","Eucalyptus beaniana","Eucalyptus beaniana","eucalyptus beaniana","","Species ","D.Nicolle","6472","Isla Gorge, Qld",25,11,28,149,58,"21",281,13,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2013,"R281/T13","CCA5183",6472
"707","Eucalyptus tenuipes","Eucalyptus tenuipes","Eucalyptus tenuipes","eucalyptus tenuipes","","Species ","D.Nicolle","6473","Isla Gorge 2, Qld",25,11,28,149,58,"21",294,11,"Alive","Moderate","Moderate","?","None evident","","","","","Not applicable","","",2015,"R241/T01","CCA4770",6475
"708","Eucalyptus sideroxylon (subsp. improcera)","Eucalyptus sideroxylon","Eucalyptus sideroxylon","eucalyptus sideroxylon","","Species","D.Nicolle","6474","Barakula SF, Qld",26,9,6,150,20,"19",278,13,"Alive","None evident","None evident","?","","","","","","Not applicable","Budded","Budded",2013,"R052/T09","CCA0807",674
"709","Eucalyptus broviniensis","Eucalyptus broviniensis","Eucalyptus broviniensis","eucalyptus broviniensis","","Species ","D.Nicolle","6478","Brovinia State Forest, Qld",25,59,42,151,13,"41",245,15,"Alive","None evident","Slight","?","None evident","","","","","Not applicable","","",2013,"R245/T15","CCA4873",6478
"710","Eucalyptus laevopinea","Eucalyptus laevopinea","Eucalyptus laevopinea","eucalyptus laevopinea","","Species ","D.Nicolle","649","Wollomombi, NSW",30,31,59,152,1,"57",57,30,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R057/T30","CCA0918",649
"711","Eucalyptus morrisii","Eucalyptus morrisii","Eucalyptus morrisii","eucalyptus morrisii","","Species ","D.Nicolle","6499","Gunderbooka Range, NSW",30,38,22,145,46,"0",245,5,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2013,"R049/T13","CCA0740",730
"712","Eucalyptus michaeliana","Eucalyptus michaeliana","Eucalyptus michaeliana","eucalyptus michaeliana","","Species ","D.Nicolle","650","Hillgrove, NSW",30,35,27,151,57,"19",61,3,"Alive","Moderate","Slight","?","None evident","","","","","Moderate","Flowered","Flowered",1994,"R061/T01","CCA0964",650
"713","Eucalyptus banksii","Eucalyptus banksii","Eucalyptus banksii","eucalyptus banksii","","Species ","D.Nicolle","653","Armidale, NSW",30,24,6,151,42,"4",50,33,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R050/T33","CCA0780",653
"714","Eucalyptus radiata subsp. sejuncta","Eucalyptus radiata subsp. sejuncta","Eucalyptus radiata subsp. sejuncta","eucalyptus radiata subsp. sejuncta","","Subspecies","D.Nicolle","655","Guyra, NSW",30,8,25,151,52,"39",59,31,"Dead","","","","","","","","","","","",1994,"R195/T14","CCA3922",655
"715","Eucalyptus nova-anglica","Eucalyptus nova-anglica","Eucalyptus nova-anglica","eucalyptus nova-anglica","","Species","D.Nicolle","656","Guyra, NSW",30,8,10,151,51,"34",57,21,"Alive","Dead","","","","","","","6 - 12 months","Severe","","",1994,"R057/T21","CCA0915",656
"716","Eucalyptus williamsiana","Eucalyptus williamsiana","Eucalyptus williamsiana","eucalyptus williamsiana","","Species ","D.Nicolle","660","Gibraltar Range, NSW",29,32,39,152,15,"45",61,35,"Alive","None evident","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1994,"R061/T35","CCA0984",660
"717","Eucalyptus olida","Eucalyptus olida","Eucalyptus olida","eucalyptus olida","","Species ","D.Nicolle","661","Gibraltar Nat. Park, NSW",29,31,44,152,14,"55",57,17,"Dead","","","","","","","","","","","",1994,"R195/T12","CCA3921",661
"718","Eucalyptus cameronii","Eucalyptus cameronii","Eucalyptus cameronii","eucalyptus cameronii","","Species ","D.Nicolle","662","Gibraltar Range Nat. Park, NSW",29,31,31,152,17,"28",50,17,"Dead","","","","","","","","","","","",1994,"R342/T29","CCA5981",709
"719","Eucalyptus planchoniana","Eucalyptus planchoniana","Eucalyptus planchoniana","eucalyptus planchoniana","","Species ","D.Nicolle","663","Gibraltar Range Nat. Park, NSW",29,29,14,152,19,"22",55,9,"Alive","Moderate","Moderate","?","None evident","","","","","Severe","","",1994,"R055/T09","CCA0880",663
"720","Eucalyptus psammitica","Eucalyptus psammitica","Eucalyptus psammitica","eucalyptus psammitica","","Species ","D.Nicolle","664","Baryulgil, NSW",29,27,11,152,49,"21",52,20,"Alive","None evident","Slight","?","Very scattered","Primary branches","3 - 6 months","None evident","","Moderate","","",1994,"R052/T18","CCA0811",664
"721","Eucalyptus interstans","Eucalyptus interstans","Eucalyptus interstans","eucalyptus interstans","","Species ","D.Nicolle","667","Drake, NSW",28,55,44,152,23,"38",60,30,"Alive","Moderate","Severe","?","Extensive","Tertiary branches","3 - 6 months","None evident","","Moderate","Flowered","Flowered",1994,"R060/T29","CCA0956",667
"722","Eucalyptus amplifolia subsp. sessiliflora","Eucalyptus amplifolia subsp. sessiliflora","Eucalyptus amplifolia subsp. sessiliflora","eucalyptus amplifolia subsp. sessiliflora","","Subspecies","D.Nicolle","668","Tenterfield, NSW",29,4,47,152,0,"16",52,5,"Alive","Dead","","","","","","","2 - 3 years","None evident","","",1994,"R052/T05","CCA0803",668
"723","Eucalyptus andrewsii ","Eucalyptus andrewsii","Eucalyptus andrewsii","eucalyptus andrewsii","","Species ","D.Nicolle","670","Wallangarra, Qld",28,52,52,151,57,"56",52,27,"Alive","Moderate","Moderate","?","None evident","","","","","Moderate","","",1994,"R052/T25","CCA0814",670
"724","Eucalyptus prava","Eucalyptus prava","Eucalyptus prava","eucalyptus prava","","Species ","D.Nicolle","671","Mt Norman, Qld",28,52,NA,151,58,"",52,4,"Alive","None evident","Slight","?","None evident","","","","","Moderate","Flowered","Flowered",1994,"R052/T01","CCA0800",671
"725","Eucalyptus nebulosa","Eucalyptus nebulosa","Eucalyptus nebulosa","eucalyptus nebulosa","","Species ","D.Nicolle","6742","Serpentine Range, Tas",41,42,49,145,23,"36",340,17,"Alive","Dead","","","","","","","3 - 6 months","Not applicable","","",2017,"R340/T14","CCA5910",6742
"726","Angophora hispida","Angophora hispida","Angophora hispida","angophora hispida","","Species ","D.Nicolle","6746","St Ives, NSW",33,42,33,151,11,"46",295,8,"Alive","Moderate","None evident","??","None evident","","","","","Not applicable","","",2015,"R240/T07","CCA4769",NA
"727","Eucalyptus arenicola","Eucalyptus arenicola","Eucalyptus arenicola","eucalyptus arenicola","","Species ","D.Nicolle","6786","Holey Plains, Vic",38,11,40,146,50,"19",163,1,"Alive","Dead","","","","","","","1 - 2 years","Not applicable","","",2015,"R163/T01","CCA3294",6786
"728","Eucalyptus haemastoma","Eucalyptus haemastoma","Eucalyptus haemastoma","eucalyptus haemastoma","","Species ","D.Nicolle","6795","Lake Macquarie, NSW",33,11,3,151,36,"48",292,9,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2015,"R292/T09","CCA5319",6795
"729","Eucalyptus dorrigoensis","Eucalyptus dorrigoensis","Eucalyptus dorrigoensis","eucalyptus dorrigoensis","","Species ","D.Nicolle","6798","Dorrigo, NSW",30,15,9,152,36,"4",331,5,"Alive","Moderate","Slight","?","None evident","","","","","Not applicable","","",2015,"R331/T05","CCA5871",6798
"730","Eucalyptus elegans","Eucalyptus elegans","Eucalyptus elegans","eucalyptus elegans","","Species ","D.Nicolle","680","Kogan, Qld",27,7,0,150,41,"36",51,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R051/T01","CCA0783",680
"731","Eucalyptus woollsiana (E. pilligaensis)","Eucalyptus woollsiana","Eucalyptus woollsiana","eucalyptus woollsiana","","Species ","D.Nicolle","681","Kogan, Qld",27,9,4,150,39,"31",49,5,"Alive","None evident","None evident","?","","","","","","None evident","","",1994,"R049/T05","CCA0732",681
"732","Eucalyptus argophloia","Eucalyptus argophloia","Eucalyptus argophloia","eucalyptus argophloia","","Species ","D.Nicolle","686","Burncluith, Qld",26,37,52,150,44,"5",51,5,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R051/T05","CCA0786",686
"733","Corymbia bloxsomei","Corymbia bloxsomei","Corymbia bloxsomei","corymbia bloxsomei","","Species ","D.Nicolle","687","Barakula State Forest, Qld",26,29,41,150,45,"21",55,28,"Alive","None evident","Moderate","??","None evident","","","","","None evident","Flowered","Flowered",1994,"R055/T28","CCA0891",687
"734","Corymbia watsoniana subsp. watsoniana","Corymbia watsoniana subsp. watsoniana","Corymbia watsoniana subsp. watsoniana","corymbia watsoniana subsp. watsoniana","","Subspecies","D.Nicolle","688","Barakula forest, Qld",26,29,41,150,45,"21",55,24,"Alive","None evident","None evident","?","","","","","","None evident","","",1994,"R055/T24","CCA0888",688
"735","Eucalyptus dura","Eucalyptus dura","Eucalyptus dura","eucalyptus dura","","Species ","D.Nicolle","689","Barakula State Forest, Qld",26,21,9,150,52,"5",53,25,"Alive","None evident","None evident","?","","","","","","None evident","","",1994,"R053/T25","CCA0841",689
"736","Eucalyptus mannensis subsp. mannensis","Eucalyptus mannensis subsp. mannensis","Eucalyptus mannensis subsp. mannensis","eucalyptus mannensis subsp. mannensis","","Subspecies","D.Nicolle","6941","Mulga Rockhole, WA",30,3,32,123,4,"23",346,1,"Alive","None evident","None evident","?","","","","","","Not applicable","Budded","",2017,"R009/T05","CCA0003",NA
"737","Eucalyptus cloeziana","Eucalyptus cloeziana","Eucalyptus cloeziana","eucalyptus cloeziana","","Species ","D.Nicolle","696","Isla Gorge, Qld",25,11,5,149,59,"21",56,22,"Alive","None evident","Slight","?","None evident","","","","","None evident","","",1994,"R056/T22","CCA0903",696
"738","Eucalyptus cambageana","Eucalyptus cambageana","Eucalyptus cambageana","eucalyptus cambageana","","Species ","D.Nicolle","697","Moura, Qld",24,42,24,150,0,"52",54,16,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R054/T16","CCA0859",697
"739","Eucalyptus orgadophila","Eucalyptus orgadophila","Eucalyptus orgadophila","eucalyptus orgadophila","","Species ","D.Nicolle","698","Rolleston, Qld",24,34,37,148,54,"2",54,20,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R054/T20","CCA0862",698
"740","Corymbia hendersonii","Corymbia hendersonii","Corymbia hendersonii","corymbia hendersonii","","Species ","D.Nicolle","701","Springsure, Qld",24,13,26,148,14,"34",59,17,"Alive","Dead","","","","","","","1 - 2 years","None evident","","",1994,"R059/T17","CCA0944",701
"741","Eucalyptus sphaerocarpa","Eucalyptus sphaerocarpa","Eucalyptus sphaerocarpa","eucalyptus sphaerocarpa","","Species ","D.Nicolle","704","Blackdown Tableland, Qld",23,48,38,149,4,"10",58,20,"Dead","","","","","","","","","","","",1994,"R151/T25","CCA3187",704
"742","Corymbia intermedia","Corymbia intermedia","Corymbia intermedia","corymbia intermedia","","Species ","D.Nicolle","708","Blackdown Tableland, Qld",23,50,23,149,4,"58",54,9,"Alive","Moderate","Severe","?","None evident","","","","","Moderate","","",1994,"R054/T09","CCA0853",708
"743","Corymbia bunites","Corymbia bunites","Corymbia bunites","corymbia bunites","","Species ","D.Nicolle","711","Blackdown Tableland, Qld",23,48,34,149,2,"3",54,1,"Alive","None evident","Slight","?","None evident","","","","","None evident","","",1994,"R054/T01","CCA0851",711
"744","Eucalyptus latisinensis","Eucalyptus latisinensis","Eucalyptus latisinensis","eucalyptus latisinensis","","Species ","D.Nicolle","715","Goodwood, Qld",25,10,35,152,22,"7",58,32,"Alive","None evident","None evident","?","","","","","","None evident","","",1994,"R058/T32","CCA0934",715
"745","Eucalyptus hallii","Eucalyptus hallii","Eucalyptus hallii","eucalyptus hallii","","Species ","D.Nicolle","716","Goodwood, Qld",25,10,12,152,22,"20",58,4,"Alive","None evident","Slight","?","None evident","","","","","None evident","","",1994,"R058/T04","CCA0923",716
"746","Eucalyptus siderophloia","Eucalyptus siderophloia","Eucalyptus siderophloia","eucalyptus siderophloia","","Species ","D.Nicolle","717","Gympie, Qld",26,8,8,152,34,"50",54,12,"Alive","Moderate","Slight","?","Moderate","Secondary & tertiary branches","3 - 6 months","None evident","","Slight","","",1994,"R054/T12","CCA0855",717
"747","Eucalyptus kabiana","Eucalyptus kabiana","Eucalyptus kabiana","eucalyptus kabiana","","Species ","D.Nicolle","720","Mt Beerwah, Qld",26,53,42,152,52,"51",50,22,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R050/T21","CCA0772",720
"748","Corymbia candida","Corymbia candida","Corymbia candida","corymbia candida","","Species ","D.Nicolle","7230","Barradale, WA",22,56,37,114,42,"7",346,5,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2017,"R346/T05","CCA6067",7230
"749","Eucalyptus baxteri","Eucalyptus baxteri","Eucalyptus baxteri","eucalyptus baxteri","","Species ","D.Nicolle","7234","Wilsons Promontory, Vic",39,1,20,146,19,"18",340,24,"Alive","None evident","None evident","?","","","","","","Not applicable","Budded","",2017,"R340/T22","CCA5918",7234
"750","Eucalyptus cosmophylla","Eucalyptus cosmophylla","Eucalyptus cosmophylla","eucalyptus cosmophylla","","Species ","D.Nicolle","7236","Clarendon, SA",35,5,42,138,38,"59",344,28,"Alive","Moderate","Moderate","?","Moderate","Basal only","3 - 6 months","None evident","","Not applicable","","",2017,"R344/T26","CCA6033",7236
"751","Eucalyptus rossii","Eucalyptus rossii","Eucalyptus rossii","eucalyptus rossii","Synonym of Eucalyptus racemosa subsp. rossii","Species ","D.Nicolle","725","Narrabri, NSW",30,49,29,149,28,"17",60,9,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",1994,"R057/T10","CCA0913",781
"752","Eucalyptus polybractea","Eucalyptus polybractea","Eucalyptus polybractea","eucalyptus polybractea","","Species ","D.Nicolle","736","West Wyalong, NSW",33,53,32,147,4,"24",48,21,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R028/T25","CCA0465",NA
"753","Eucalyptus macrorhyncha subsp. macrorhyncha","Eucalyptus macrorhyncha subsp. macrorhyncha","Eucalyptus macrorhyncha subsp. macrorhyncha","eucalyptus macrorhyncha subsp. macrorhyncha","","Subspecies","D.Nicolle","737","Grenfell, NSW",33,55,22,148,24,"49",47,16,"Alive","None evident","None evident","?","","","","","","None evident","","",1994,"R047/T16","CCA0684",737
"754","Eucalyptus dawsonii","Eucalyptus dawsonii","Eucalyptus dawsonii","eucalyptus dawsonii","","Species ","D.Nicolle","743","Ginghi, NSW",32,36,31,150,4,"29",47,19,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R047/T19","CCA0687",743
"755","Eucalyptus caleyi subsp. caleyi","Eucalyptus caleyi subsp. caleyi","Eucalyptus caleyi subsp. caleyi","eucalyptus caleyi subsp. caleyi","","Subspecies","D.Nicolle","746","Bylong, NSW",32,24,13,150,13,"41",48,17,"Alive","None evident","None evident","?","","","","","","None evident","","",1994,"R048/T17","CCA0708",746
"756","Eucalyptus conica","Eucalyptus conica","Eucalyptus conica","eucalyptus conica","","Species ","D.Nicolle","747","Bylong, NSW",32,24,14,150,13,"20",47,5,"Alive","Slight","Slight","?","Scattered","Secondary & tertiary branches","3 - 6 months","None evident","","Slight","Flowered","Flowered",1994,"R047/T05","CCA0677",747
"757","Eucalyptus cneorifolia","Eucalyptus cneorifolia","Eucalyptus cneorifolia","eucalyptus cneorifolia","","Species ","D.Nicolle","75","Waitpinga, SA",35,34,NA,138,32,"",44,4,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",1994,"R044/T01","CCA0615",75
"758","Eucalyptus camphora subsp. camphora","Eucalyptus camphora subsp. camphora","Eucalyptus camphora subsp. camphora","eucalyptus camphora subsp. camphora","","Subspecies","D.Nicolle","762","Coxs Creek, NSW",32,44,48,150,6,"8",14,44,"Alive","Dead","","","","","","","1 - 2 years","Severe","","",1994,"R014/T44","CCA0165",762
"759","Eucalyptus tenella","Eucalyptus tenella","Eucalyptus tenella","eucalyptus tenella","","Species ","D.Nicolle","763","Rylstone, NSW",32,44,55,150,9,"3",47,32,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R047/T32","CCA0697",763
"760","Eucalyptus bensonii","Eucalyptus bensonii","Eucalyptus bensonii","eucalyptus bensonii","","Species ","D.Nicolle","773","Wollemi, NSW",32,55,57,150,21,"43",57,4,"Alive","Slight","Slight","?","Extensive","Primary, secondary & tertiary branches","6 - 9 months","None evident","","None evident","","",1994,"R057/T04","CCA0910",773
"761","Eucalyptus alligatrix subsp. miscella","Eucalyptus alligatrix subsp. miscella","Eucalyptus alligatrix subsp. miscella","eucalyptus alligatrix subsp. miscella","","Subspecies","D.Nicolle","776","Rylstone, NSW",32,50,14,149,56,"5",48,2,"Alive","Dead","","","","","","","6 - 12 months","Severe","","",1994,"R048/T01","CCA0701",776
"762","Eucalyptus melliodora","Eucalyptus melliodora","Eucalyptus melliodora","eucalyptus melliodora","","Species ","D.Nicolle","777","Rylstone, NSW",32,42,44,149,57,"58",48,16,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R048/T13","CCA0704",777
"763","Eucalyptus macrorhyncha subsp. cannonii","Eucalyptus macrorhyncha subsp. cannonii","Eucalyptus macrorhyncha subsp. cannonii","eucalyptus macrorhyncha subsp. cannonii","","Subspecies","D.Nicolle","779","Capertee, NSW",33,3,28,149,55,"24",57,7,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R057/T06","CCA0911",779
"764","Eucalyptus remota","Eucalyptus remota","Eucalyptus remota","eucalyptus remota","","Species ","D.Nicolle","812","Kangaroo Island, SA",35,54,21,136,48,"51",69,38,"Alive","Dead","","","","","","","1 - 2 years","Severe","","",1995,"R069/T36","CCA1215",812
"765","Eucalyptus odorata","Eucalyptus odorata","Eucalyptus odorata","eucalyptus odorata","","Species ","D.Nicolle","822","Kangaroo Island, SA",35,41,35,137,31,"52",66,34,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R064/T40","CCA1085",936
"766","Eucalyptus phenax subsp. compressa","Eucalyptus phenax subsp. compressa","Eucalyptus phenax subsp. compressa","eucalyptus phenax subsp. compressa","","Subspecies","D.Nicolle","824","Kangaroo Island, SA",35,42,32,137,30,"45",74,33,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R074/T33","CCA1343",824
"767","Eucalyptus petiolaris (yellow flower morph)","Eucalyptus petiolaris","Eucalyptus petiolaris","eucalyptus petiolaris","","Species ","D.Nicolle","945","Koppio Hills 2, SA",34,29,9,135,51,"27",74,31,"Alive","Moderate","Moderate","?","None evident","","","","","Moderate","Flowered","Flowered",1995,"R029/T01","CCA0472",NA
"768","Eucalyptus calycogona subsp. spaffordii","Eucalyptus calycogona subsp. spaffordii","Eucalyptus calycogona subsp. spaffordii","eucalyptus calycogona subsp. spaffordii","","Subspecies","D.Nicolle","949","Yeelanna, SA",34,10,39,135,43,"42",63,37,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R063/T37","CCA1051",949
"769","Eucalyptus cyanophylla","Eucalyptus cyanophylla","Eucalyptus cyanophylla","eucalyptus cyanophylla","","Species ","D.Nicolle","983","Berri, SA",34,20,0,140,39,"25",64,36,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R064/T36","CCA1081",983
"770","Corymbia aparrerinja","Corymbia aparrerinja","Corymbia aparrerinja","corymbia aparrerinja","","Species ","","","Unknown origin",NA,NA,NA,NA,NA,"",132,7,"Alive","Dead (non-drought)","","","","","","","2 - 3 years","None evident","","",1997,"R132/T05","CCA2829",NA
"771","Corymbia tessellaris","Corymbia tessellaris","Corymbia tessellaris","corymbia tessellaris","","Species ","","","Unknown origin",NA,NA,NA,NA,NA,"",61,39,"Alive","None evident","None evident","?","","","","","","None evident","","",1995,"R061/T39","CCA0985",NA
"772","Corymbia torelliana","Corymbia torelliana","Corymbia torelliana","corymbia torelliana","","Species ","","","Cultivated, Robina, Qld",NA,NA,NA,NA,NA,"",209,18,"Alive","Moderate","Moderate","?","None evident","","","","","Not applicable","","",2006,"R209/T18","CCA4174",NA
"773","Eucalyptus leptopoda subsp. elevata","Eucalyptus leptopoda subsp. elevata","Eucalyptus leptopoda subsp. elevata","eucalyptus leptopoda subsp. elevata","","Subspecies","D.Nicolle","8","Ilkurlka, WA",28,21,NA,127,31,"",9,3,"Alive","None evident","None evident","?","","","","","","None evident","","",1993,"R009/T03","CCA0001",8
"774",NA,NA,NA,"eucalyptus populnea subsp. bimbil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R009/T15","CCA0006",NA
"775",NA,NA,NA,"eucalyptus leptopoda subsp. arctata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010/T11","CCA0028",291
"776",NA,NA,NA,"eucalyptus clelandii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R011/T19","CCA0066",333
"777",NA,NA,NA,"eucalyptus bicostata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R013/T38","CCA0137",468
"778",NA,NA,NA,"eucalyptus redunca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R014/T01","CCA0139",221
"779",NA,NA,NA,"eucalyptus brunnea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R014/T39","CCA0164",669
"780",NA,NA,NA,"eucalyptus densa subsp. improcera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R015/T24","CCA0183",185
