"","TaxonoriginalDN","Taxonsimplified_DN","Acceptedname_ALA","name","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","RowTree","FieldID","DNNumber"
"48","Eucalyptus rudis subsp. rudis","Eucalyptus rudis subsp. rudis","Eucalyptus rudis subsp. rudis","eucalyptus rudis subsp. rudis","","Subspecies","D.Nicolle","1131","Pallinup River, WA",34,24,21,118,43,"48",69,34,"Alive","Moderate","Moderate","?","None evident","","","","","Severe","Flowered","Flowered",1995,"R069/T32","CCA1212",1131
"49","Eucalyptus macrandra","Eucalyptus macrandra","Eucalyptus macrandra","eucalyptus macrandra","","Species ","D.Nicolle","1132","Pallinup River, WA",34,24,21,118,43,"48",70,6,"Alive","None evident","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1995,"R025/T26","CCA0399",312
"50","Eucalyptus staeri","Eucalyptus staeri","Eucalyptus staeri","eucalyptus staeri","","Species ","D.Nicolle","1133","Wellstead, WA",34,30,46,118,34,"40",70,33,"Alive","Dead","","","","","","","3 - 6 months","Moderate","","",1995,"R070/T33","CCA1238",1133
"51","Eucalyptus angulosa","Eucalyptus angulosa","Eucalyptus angulosa","eucalyptus angulosa","","Species ","D.Nicolle","1136","Two Peoples Bay, WA",34,56,19,118,12,"27",67,10,"Alive","Slight","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1995,"R067/T10","CCA1155",1136
"52","Eucalyptus megacarpa","Eucalyptus megacarpa","Eucalyptus megacarpa","eucalyptus megacarpa","","Species ","D.Nicolle","1137","Two Peoples Bay, WA",34,55,6,118,11,"13",70,39,"Alive","Dead","","","","","","","3 - 6 months","Severe","Flowered","Flowered",1995,"R070/T37","CCA1242",1137
"53","Corymbia ficifolia","Corymbia ficifolia","Corymbia ficifolia","corymbia ficifolia","","Species ","D.Nicolle","1138","Bow Bridge, WA",35,1,23,116,55,"50",68,28,"Dead","","","","","","","","","Died in 2006","","",1995,"R238/T26","CCA4740",3761
"54","Eucalyptus guilfoylei","Eucalyptus guilfoylei","Eucalyptus guilfoylei","eucalyptus guilfoylei","","Species ","D.Nicolle","1139","Bow Bridge, WA",34,58,42,116,53,"25",76,13,"Dead","","","","","","","","","","","",1995,"R340/T26","CCA5922",4632
"55","Eucalyptus jacksonii","Eucalyptus jacksonii","Eucalyptus jacksonii","eucalyptus jacksonii","","Species ","D.Nicolle","1140","Bow Bridge, WA",35,58,48,116,53,"12",76,9,"Dead","","","","","","","","","","","",1995,"R340/T10","CCA5906",7223
"56","Eucalyptus brevistylis","Eucalyptus brevistylis","Eucalyptus brevistylis","eucalyptus brevistylis","","Species ","D.Nicolle","1141","Mt Frankland, WA",34,48,47,116,53,"20",76,26,"Alive","Moderate","Moderate","?","Very scattered","Trunk only","3 - 6 months","None evident","","Severe","","",1995,"R076/T24","CCA1374",1141
"57","Eucalyptus diversicolor","Eucalyptus diversicolor","Eucalyptus diversicolor","eucalyptus diversicolor","","Species ","D.Nicolle","1142","Walpole, WA",34,49,1,116,41,"7",76,20,"Alive","Severe","Severe","?","None evident","","","","","Severe","","",1995,"R076/T20","CCA1370",1142
"58","Eucalyptus patens","Eucalyptus patens","Eucalyptus patens","eucalyptus patens","","Species ","D.Nicolle","1143","Manjimup, WA",34,16,58,115,42,"28",76,5,"Dead","","","","","","","","","","","",1995,"R261/T02","CCA4960",4621
"59","Eucalyptus rudis subsp. cratyantha","Eucalyptus rudis subsp. cratyantha","Eucalyptus rudis subsp. cratyantha","eucalyptus rudis subsp. cratyantha","","Subspecies","D.Nicolle","1146","Eagle Bay 1, WA",33,33,36,115,4,"2",67,22,"Alive","Dead","","","","","","","1 - 2 years","Severe","","",1995,"R067/T21","CCA1163",1146
"60","Corymbia haematoxylon","Corymbia haematoxylon","Corymbia haematoxylon","corymbia haematoxylon","","Species ","D.Nicolle","1147","Busselton, WA",33,42,58,115,31,"34",72,32,"Alive","Severe","Severe","?","Scattered","Trunk only","3 - 6 months","None evident","6 - 12 months","None evident","Flowered","Flowered",1995,"R072/T31","CCA1294",1147
