new.tip_unique.ID,node
eucalyptus_calcicola_subsp._unita_3978,132
eucalyptus_caleyi_subsp._caleyi_746,472
eucalyptus_caleyi_subsp._caleyi_-_subsp._ovendenii_intergrade_2102,472
eucalyptus_caleyi_subsp._ovendenii_2930,472
eucalyptus_caliginosa_1249,223
eucalyptus_caliginosa_2943,223
eucalyptus_calycogona_subsp._calycogona_1112,581
eucalyptus_calycogona_subsp._calycogona_3177,581
eucalyptus_calycogona_subsp._calycogona_3829,581
eucalyptus_calycogona_subsp._calycogona_4558,581
eucalyptus_calycogona_subsp._miraculum_4786,581
eucalyptus_calycogona_subsp._miraculum_4794,581
eucalyptus_calycogona_subsp._spaffordii_949,581
eucalyptus_calycogona_subsp._trachybasis_732,581
eucalyptus_calycogona_subsp._trachybasis_2896,581
eucalyptus_camaldulensis_subsp._acuta_2553,358
eucalyptus_camaldulensis_subsp._arida_1206,358
eucalyptus_camaldulensis_subsp._arida_2555,358
eucalyptus_camaldulensis_subsp._arida_3523,358
eucalyptus_camaldulensis_subsp._arida_4177,358
eucalyptus_camaldulensis_subsp._arida_5077,358
eucalyptus_camaldulensis_subsp._arida_5571,358
eucalyptus_camaldulensis_subsp._camaldulensis_823,358
eucalyptus_camaldulensis_subsp._camaldulensis_4733,358
eucalyptus_camaldulensis_subsp._camaldulensis_5156,358
eucalyptus_camaldulensis_subsp._minima_5233,358
eucalyptus_camaldulensis_subsp._minima_5279,358
eucalyptus_camaldulensis_subsp._minima_6136,358
eucalyptus_camaldulensis_subsp._minima_6389,358
eucalyptus_camaldulensis_subsp._obtusa_2489,358
eucalyptus_camaldulensis_subsp._obtusa_4231,358
eucalyptus_camaldulensis_subsp._refulgens_4258,358
eucalyptus_camaldulensis_subsp._refulgens_5747,358
eucalyptus_camaldulensis_subsp._simulata_1314,358
eucalyptus_cambageana_697,541
eucalyptus_cameronii_662,216
eucalyptus_cameronii_(e._mensalis)_709,216
eucalyptus_camfieldii_2077,202
eucalyptus_camfieldii_6794,202
eucalyptus_campanulata_1248,214
eucalyptus_campanulata_(e._montivaga)_2546,214
eucalyptus_campaspe_332,689
eucalyptus_campaspe_2174,689
eucalyptus_campaspe_5660,689
eucalyptus_camphora_subsp._camphora_762,389
eucalyptus_camphora_subsp._camphora_(e._aquatica)_616,389
eucalyptus_camphora_subsp._humeana_576,389
eucalyptus_camphora_subsp._humeana_6333,389
eucalyptus_camphora_subsp._humeana_-_e._strzeleckii_intergrade_(e._bunyip)_6782,389
eucalyptus_camphora_subsp._relicta_5024,389
eucalyptus_camphora_subsp._relicta_6219,389
eucalyptus_canaliculata_1232,346
eucalyptus_canescens_subsp._beadellii_1506,549
eucalyptus_canescens_subsp._canescens_487,549
eucalyptus_canobolensis_1222,422
eucalyptus_capillosa_300,330
eucalyptus_capillosa_2192,330
eucalyptus_capillosa_(e._nigrifunda)_533,330
eucalyptus_capillosa_(e._nigrifunda)_2722,330
eucalyptus_capillosa_(subsp._polyclada)_241,330
eucalyptus_capitanea_1076,578
eucalyptus_capitellata_640,210
eucalyptus_capitellata_5262,210
eucalyptus_captiosa_203,593
eucalyptus_carnea_1236,149
eucalyptus_carnea_2925,149
eucalyptus_carnei_547,664
eucalyptus_carnei_4302,664
eucalyptus_celastroides_132,580
eucalyptus_cephalocarpa_1730,413
eucalyptus_ceracea_1926,100
eucalyptus_cerasiformis_329,646
eucalyptus_ceratocorys_2232,578
eucalyptus_cernua_182,656
eucalyptus_cernua_3574,656
eucalyptus_chapmaniana_577,445
eucalyptus_chapmaniana_7387,445
eucalyptus_chartaboma_2509,103
eucalyptus_chartaboma_5143,103
eucalyptus_chloroclada_675,367
eucalyptus_chloroclada_1255,367
eucalyptus_chloroclada_6148,367
