TaxonoriginalDN,taxonsimplified_dn,Taxonsimplified_DN,Acceptedname_ALA,acceptedname_ala,Note Gbif,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Row,Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019-2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath(June2019),Drought2006,MaturityMar2020,Maturity at June 2019,Yearplanted,RowTree
Eucalyptus rupestris,eucalyptus rupestris,Eucalyptus rupestris,Eucalyptus rupestris,eucalyptus rupestris,,Species ,D.Nicolle,5812,"Walcott Inlet, WA",16,1,3,125,19,41,313,27,Dead,,,,,,,,,,,,2011,R313/T27
Eucalyptus rupestris,eucalyptus rupestris,Eucalyptus rupestris,Eucalyptus rupestris,eucalyptus rupestris,,Species ,D.Nicolle,5812,"Walcott Inlet, WA",16,1,3,125,19,41,313,28,Dead,,,,,,,,,,,,2011,R313/T28
Eucalyptus uncinata subsp. uncinata,eucalyptus uncinata subsp. uncinata,Eucalyptus uncinata subsp. uncinata,Eucalyptus uncinata,eucalyptus uncinata,,Species ,D.Nicolle,5992,"Culver Beach, WA",32,55,41,124,25,10,291,14,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2013,R291/T14
Eucalyptus uncinata subsp. uncinata,eucalyptus uncinata subsp. uncinata,Eucalyptus uncinata subsp. uncinata,Eucalyptus uncinata,eucalyptus uncinata,,Species ,D.Nicolle,5992,"Culver Beach, WA",32,55,41,124,25,10,291,15,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2013,R291/T15
Eucalyptus uncinata subsp. uncinata,eucalyptus uncinata subsp. uncinata,Eucalyptus uncinata subsp. uncinata,Eucalyptus uncinata,eucalyptus uncinata,,Species ,D.Nicolle,5992,"Culver Beach, WA",32,55,41,124,25,10,291,16,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2013,R291/T16
Eucalyptus uncinata subsp. uncinata,eucalyptus uncinata subsp. uncinata,Eucalyptus uncinata subsp. uncinata,Eucalyptus uncinata,eucalyptus uncinata,,Species ,D.Nicolle,5992,"Culver Beach, WA",32,55,41,124,25,10,291,17,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2013,R291/T17
Eucalyptus calcareana,eucalyptus calcareana,Eucalyptus calcareana,Eucalyptus calcareana,eucalyptus calcareana,,Species ,D.Nicolle,103,"Nundroo, SA",31,46,5,132,11,48,24,25,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,R024/T25
Eucalyptus calcareana,eucalyptus calcareana,Eucalyptus calcareana,Eucalyptus calcareana,eucalyptus calcareana,,Species ,D.Nicolle,103,"Nundroo, SA",31,46,5,132,11,48,24,27,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,R024/T27
Eucalyptus calcareana,eucalyptus calcareana,Eucalyptus calcareana,Eucalyptus calcareana,eucalyptus calcareana,,Species ,D.Nicolle,103,"Nundroo, SA",31,46,5,132,11,48,24,28,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,R024/T28
Eucalyptus calcareana,eucalyptus calcareana,Eucalyptus calcareana,Eucalyptus calcareana,eucalyptus calcareana,,Species ,D.Nicolle,103,"Nundroo, SA",31,46,5,132,11,48,24,26,Dead,,,,,,,,,,,,1993,R024/T26
Eucalyptus cladocalyx subsp. crassa,eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx subsp. crassa,eucalyptus cladocalyx subsp. crassa,,Subspecies,D.Nicolle,1053,"Kangaroo Island, SA",35,58,38,136,51,26,75,12,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R075/T12
Eucalyptus cladocalyx subsp. crassa,eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx subsp. crassa,eucalyptus cladocalyx subsp. crassa,,Subspecies,D.Nicolle,1053,"Kangaroo Island, SA",35,58,38,136,51,26,75,13,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R075/T13
Eucalyptus cladocalyx subsp. crassa,eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx subsp. crassa,eucalyptus cladocalyx subsp. crassa,,Subspecies,D.Nicolle,1053,"Kangaroo Island, SA",35,58,38,136,51,26,75,10,Alive,Slight,Slight,?,Very scattered,Secondary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,1995,R075/T10
Eucalyptus cladocalyx subsp. crassa,eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx subsp. crassa,eucalyptus cladocalyx subsp. crassa,,Subspecies,D.Nicolle,1053,"Kangaroo Island, SA",35,58,38,136,51,26,75,11,Dead,,,,,,,,,,,,1995,R075/T11
