currentname,RowTree,FieldID,DNNumber
eucalyptus oleosa subsp. cylindroidea,R205/T13,CCA4086,3600
eucalyptus oleosa subsp. cylindroidea,R205/T14,CCA4087,3600
eucalyptus oleosa subsp. cylindroidea,R205/T15,CCA4088,3600
eucalyptus oleosa subsp. cylindroidea,R205/T16,CCA4089,3600
eucalyptus flocktoniae subsp. hebes,R205/T17,CCA4090,3665
eucalyptus flocktoniae subsp. hebes,R205/T19,CCA4091,3665
eucalyptus flocktoniae subsp. hebes,R205/T20,CCA4092,3665
eucalyptus kochii subsp. borealis,R205/T21,CCA4093,3539
eucalyptus kochii subsp. borealis,R205/T22,CCA4094,3539
eucalyptus kochii subsp. borealis,R205/T24,CCA4095,3539
eucalyptus oleosa subsp. oleosa,R205/T25,CCA4096,2884
eucalyptus oleosa subsp. oleosa,R205/T26,CCA4097,2884
eucalyptus oleosa subsp. oleosa,R205/T27,CCA4098,2884
eucalyptus dolichocera,R205/T28,CCA4099,3525
eucalyptus dolichocera,R205/T29,CCA4100,3525
eucalyptus dolichocera,R205/T30,CCA4101,3525
eucalyptus kochii subsp. plenissima,R205/T31,CCA4102,3488
eucalyptus kochii subsp. plenissima,R205/T32,CCA4103,3488
eucalyptus kochii subsp. plenissima,R205/T33,CCA4104,3488
eucalyptus kochii subsp. plenissima,R205/T34,CCA4105,3488
eucalyptus hypolaena,R205/T35,CCA4106,3639
eucalyptus hypolaena,R205/T36,CCA4107,3639
eucalyptus hypolaena,R205/T37,CCA4108,3639
eucalyptus hypolaena,R205/T38,CCA4109,3639
eucalyptus caesia subsp. 'southern rocks',R206/T01,CCA4110,3813
