TaxonoriginalDN,Collector,Collector's #,Row #,Tree #,RowTree,Year planted
Eucalyptus corticosa,D.Nicolle,6276,285,12,R285/T12,2013
Eucalyptus corticosa (E. conferta),D.Nicolle,6781,163,09,R163/T09,2015
Eucalyptus corticosa (E. conferta),D.Nicolle,6781,163,10,R163/T10,2015
Eucalyptus corticosa (E. conferta),D.Nicolle,6781,163,11,R163/T11,2015
Eucalyptus corticosa (E. conferta),D.Nicolle,6781,163,12,R163/T12,2015
Eucalyptus corticosa (E. ignorabilis),D.Nicolle,1746,146,32,R146/T32,1997
Eucalyptus corticosa (E. ignorabilis),D.Nicolle,1746,146,33,R146/T33,1997
Eucalyptus corticosa (E. ignorabilis),D.Nicolle,1746,146,34,R146/T34,1997
Eucalyptus corticosa (E. ignorabilis),D.Nicolle,1746,146,35,R146/T35,1997
Eucalyptus corynodes,D.Nicolle,1264,090,20,R090/T20,1996
Eucalyptus corynodes,D.Nicolle,1264,090,21,R090/T21,1996
Eucalyptus corynodes,D.Nicolle,1264,090,22,R090/T22,1996
Eucalyptus cosmophylla,D.Nicolle,819,071,16,R071/T16,1995
Eucalyptus cosmophylla,D.Nicolle,819,071,17,R071/T17,1995
Eucalyptus cosmophylla,D.Nicolle,819,071,18,R071/T18,1995
Eucalyptus cosmophylla,D.Nicolle,819,071,19,R071/T19,1995
Eucalyptus cosmophylla,D.Nicolle,7236,344,26,R344/T26,2017
Eucalyptus cosmophylla,D.Nicolle,7236,344,27,R344/T27,2017
Eucalyptus cosmophylla,D.Nicolle,7236,344,28,R344/T28,2017
Eucalyptus cosmophylla,D.Nicolle,7236,344,29,R344/T29,2017
Eucalyptus crebra,D.Nicolle,6170,276,01,R276/T01,2013
Eucalyptus crebra,D.Nicolle,6170,276,02,R276/T02,2013
Eucalyptus crebra,D.Nicolle,6170,276,03,R276/T03,2013
Eucalyptus crebra,D.Nicolle,6170,276,04,R276/T04,2013
Eucalyptus crebra,D.Nicolle,6453,243,08,R243/T08,2013
Eucalyptus crebra,D.Nicolle,6453,243,09,R243/T09,2013
Eucalyptus crebra,D.Nicolle,6453,243,10,R243/T10,2013
Eucalyptus crebra,D.Nicolle,6453,243,11,R243/T11,2013
Eucalyptus crebra,D.Nicolle,6495,294,05,R294/T05,2015
Eucalyptus crebra,D.Nicolle,6495,294,06,R294/T06,2015
Eucalyptus crebra,D.Nicolle,6495,294,07,R294/T07,2015
Eucalyptus crebra,D.Nicolle,6495,294,08,R294/T08,2015
