UniqueID,Yearplanted,Row,Tree,TaxonoriginalDN,Regen.strategy,Aridityclass,AridityIndex,Diam.1.w.Bark..mm.,Diam.2.Bark,Diam.1.peeled,Diam.2.peeled,Diamthickness.mm.,Volume.wood..cm3.,Leaf.dry.weight..g.,Wood.dry.weight..g.,Wooddensity.g.cm3.,Leaf.Area,Slice,Countedleaves,Total.Area,Average.Size,X.Area,SLA
323,1993,25,6,Eucalyptus georgia fulgida,Seeder,Arid,0.1816,10.93,10.72,8.07,7.57,3.005,2.84,9.6113,2.08,0.73,NA,UniqueID,5,188.956,37.791,33.695,19.65977547
323,1993,25,7,Eucalyptus georgia fulgida,Seeder,Arid,0.1816,12.19,12.08,9.52,9.11,2.82,3.83,12.7404,2.73,0.71,NA,UniqueID,6,248.387,41.398,44.292,19.49601268
323,1993,25,9,Eucalyptus georgia fulgida,Seeder,Arid,0.1816,11.97,11.17,9.38,8.4,2.68,3.88,7.7935,2.95,0.76,NA,UniqueID,5,152.945,30.589,27.273,19.62468724
339,1993,11,24,Eucalyptus patraea,Lignotuber,Arid,0.1193,9.53,9.32,7.64,7.15,2.03,2.39,3.7386,1.94,0.81,NA,UniqueID,6,104.681,17.447,18.667,28.0000535
339,1993,11,25,Eucalyptus patraea,Lignotuber,Arid,0.1193,9.34,8.97,6.94,6.89,2.24,1.95,4.0359,1.55,0.79,NA,UniqueID,8,121.45,15.181,21.657,30.09242053
339,1993,11,26,Eucalyptus patraea,Lignotuber,Arid,0.1193,10.65,10.38,8.38,7.62,2.515,2.56,4.4294,2.06,0.8,NA,UniqueID,9,136.603,15.178,24.359,30.84006863
423,1994,45,14,Eucalyptus intertexta,Combination,Arid,0.0934,7.39,7.52,6.15,6.07,1.345,1.46,2.5873,1,0.68,NA,UniqueID,10,92.93202,9.2932,17.07034,35.91853283
423,1994,45,15,Eucalyptus intertexta,Combination,Arid,0.0934,8.35,8.78,6.27,6.53,2.165,1.58,2.2672,1.08,0.68,NA,UniqueID,10,75.56067,7.55607,13.87946,33.32774788
423,1994,45,16,Eucalyptus intertexta,Combination,Arid,0.0934,8.53,9,6.05,5.69,2.895,1.33,2.3012,0.82,0.62,NA,UniqueID,10,82.98909,8.29891,15.24396,36.06339736
427,1994,42,8,Eucalyptus sparsa,Lignotuber,Arid,0.0956,7.58,7.49,5.99,6.11,1.485,1.45,2.8952,1.03,0.71,NA,UniqueID,6,79.2301,13.20502,14.55348,27.36601962
427,1994,42,10,Eucalyptus sparsa,Lignotuber,Arid,0.0956,8.57,8.99,6.82,6.67,2.035,1.36,3.933,1.06,0.78,NA,UniqueID,9,117.28049,13.03117,21.54282,29.81960081
427,1994,42,11,Eucalyptus sparsa,Lignotuber,Arid,0.0956,6.07,6.02,4.37,4.26,1.73,0.71,3.2712,0.52,0.73,NA,UniqueID,8,118.70107,14.83763,21.80376,36.28670518
482,1994,40,12,Eucalyptus porosa,Combination,Arid,0.1605,8.05,8.59,6.57,6.65,1.71,1.73,1.6411,1.17,0.68,NA,UniqueID,7,59.41459,8.4878,10.91365,36.20412528
482,1994,40,14,Eucalyptus porosa,Combination,Arid,0.1605,8.67,7.93,6.25,7.29,1.53,1.76,1.2349,1.35,0.77,NA,UniqueID,7,46.53323,6.6476,8.54752,37.6817799
482,1994,40,15,Eucalyptus porosa,Combination,Arid,0.1605,10.83,11.25,9.09,8.98,2.005,2.36,2.4295,1.77,0.75,NA,UniqueID,11,98.23454,8.93041,18.04434,40.43405639
545,1994,39,9,Eucalyptus lucasii,Lignotuber,Arid,0.0911,8.27,8.45,6.43,6.09,2.1,1.23,3.9716,0.89,0.72,NA,UniqueID,9,121.46292,13.49588,22.31107,30.58286837
545,1994,39,11,Eucalyptus lucasii,Lignotuber,Arid,0.0911,7.5,7.34,5.63,5.27,1.97,1.21,4.1702,0.84,0.69,NA,UniqueID,10,128.96899,12.8969,23.68984,30.92633207
545,1994,39,12,Eucalyptus lucasii,Lignotuber,Arid,0.0911,10.76,9.79,7.57,8.46,2.26,2.63,2.9318,1.93,0.73,NA,UniqueID,8,101.59956,12.69995,18.66245,34.6543284
570,1994,60,33,Eucalyptus bridgesiana,Combination,DrySubhumid,0.5384,7.51,7.77,6.45,6.27,1.28,1.72,3.001,1.12,0.65,NA,UniqueID,7,132.41083,18.91583,24.32206,44.12223592
570,1994,60,34,Eucalyptus bridgesiana,Combination,DrySubhumid,0.5384,8.4,8.09,6.61,7,1.44,1.95,3.2099,1.11,0.57,NA,UniqueID,6,148.6884,24.7814,27.31202,46.32181688
570,1994,60,36,Eucalyptus bridgesiana,Combination,DrySubhumid,0.5384,10.03,9.49,7.87,7.42,2.115,2.09,5.0966,1.23,0.59,NA,UniqueID,7,178.04502,25.435,32.70443,34.93407762
598,1994,51,14,Eucalyptus smithii,Combination,Humid,0.7696,8.12,7.85,6.45,6.96,1.28,1.89,2.6573,1.05,0.56,NA,UniqueID,5,125.22673,25.04535,23.00243,47.12555225
598,1994,51,15,Eucalyptus smithii,Combination,Humid,0.7696,8.29,8.3,6.82,6.9,1.435,1.89,2.49,1.24,0.66,NA,UniqueID,5,103.52198,20.7044,19.01557,41.57509237
598,1994,51,16,Eucalyptus smithii,Combination,Humid,0.7696,9.32,9.2,7.94,7.61,1.485,2.23,1.5639,1.4,0.63,NA,UniqueID,5,101.96304,20.39261,18.72921,65.19792826
604,1994,53,17,Eucalyptus amplifolia subsp. amplifolia,Combination,DrySubhumid,0.6038,10.09,10.47,7.79,8.43,2.17,2.81,4.3584,1.54,0.55,NA,UniqueID,5,255.47131,51.09426,46.92658,58.61584756
604,1994,53,18,Eucalyptus amplifolia subsp. amplifolia,Combination,DrySubhumid,0.6038,8.85,8.62,7.63,6.9,1.47,1.91,5.4911,1.17,0.61,NA,UniqueID,5,239.62111,47.92422,44.01511,43.63808891
604,1994,53,19,Eucalyptus amplifolia subsp. amplifolia,Combination,DrySubhumid,0.6038,8.58,8.15,7.52,7.53,0.84,1.95,3.0286,1.17,0.6,NA,UniqueID,5,176.23667,35.24733,32.37226,58.19080433
616,1994,16,41,Eucalyptus aquatica,Combination,Humid,0.673,8.31,8.12,6.16,6.07,2.1,1.16,2.2828,0.83,0.72,NA,UniqueID,9,96.91233,10.76804,17.80147,42.4532723
616,1994,16,42,Eucalyptus aquatica,Combination,Humid,0.673,10.12,9.87,7.54,7.67,2.39,2.46,3.1063,1.56,0.63,NA,UniqueID,8,161.50876,20.1886,29.66695,51.99393491
616,1994,16,43,Eucalyptus aquatica,Combination,Humid,0.673,8.4,8.27,6.54,5.8,2.165,1.37,4.0224,0.89,0.65,NA,UniqueID,11,172.92789,15.72072,31.76448,42.99122166
634,1995,76,21,Eucalyptus fergusonii subsp. dorsiventralis,Combination,DrySubhumid,0.5233,9.59,9.15,6.4,6.47,2.935,1.57,3.0175,1.04,0.66,NA,UniqueID,10,172.19888,17.21989,31.63057,57.06673737
634,1995,76,22,Eucalyptus fergusonii subsp. dorsiventralis,Combination,DrySubhumid,0.5233,11.4,11.25,8.8,8.78,2.535,2.74,3.184,1.74,0.64,NA,UniqueID,9,138.39459,15.37718,25.42119,43.46563756
634,1995,76,23,Eucalyptus fergusonii subsp. dorsiventralis,Combination,DrySubhumid,0.5233,8.8,7.91,7.2,6.3,1.605,1.11,4.0073,0.76,0.68,NA,UniqueID,10,178.74437,17.87444,32.83289,44.60468894
639,1994,53,9,Eucalyptus paniculata (subsp. matutina),Combination,Humid,0.818,11.27,12,8.58,9.65,2.52,3.75,1.7422,2.48,0.66,NA,UniqueID,9,96.38034,10.70893,17.70375,55.32105384
639,1994,53,10,Eucalyptus paniculata (subsp. matutina),Combination,Humid,0.818,9.38,8.8,7.24,7.69,1.625,2.4,3.3035,1.7,0.71,NA,NA,NA,NA,NA,NA,NA
639,1994,53,11,Eucalyptus paniculata (subsp. matutina),Combination,Humid,0.818,9.68,10.25,6.93,7.81,2.595,2.1,3.3312,1.46,0.7,NA,UniqueID,8,140.69907,17.58738,25.84449,42.23675252
641,1994,56,8,Eucalyptus parramattensis subsp. decadens,Combination,DrySubhumid,0.7309,7.11,7.06,5.64,5.77,1.38,1.21,2.8456,0.73,0.6,NA,UniqueID,8,154.0948,19.26185,28.3051,54.15195389
641,1994,56,9,Eucalyptus parramattensis subsp. decadens,Combination,DrySubhumid,0.7309,9.1,9.36,7.85,7.14,1.735,2.04,2.4767,1.11,0.54,NA,UniqueID,9,131.53946,14.6155,24.162,53.11077644
641,1994,56,10,Eucalyptus parramattensis subsp. decadens,Combination,DrySubhumid,0.7309,10.46,10.34,8.73,8.79,1.64,2.33,2.4988,1.22,0.52,NA,UniqueID,7,152.27983,21.75426,27.97172,60.94118377
643,1994,61,29,Eucalyptus fergusonii subsp. fergusonii,Combination,DrySubhumid,0.713,10.31,9.85,7.78,7.57,2.405,2.68,2.8421,1.73,0.65,NA,UniqueID,10,198.03759,19.80376,36.37679,69.68002181
643,1994,61,30,Eucalyptus fergusonii subsp. fergusonii,Combination,DrySubhumid,0.713,10.62,11.52,7.99,9.13,2.51,2.04,2.7538,1.31,0.64,NA,UniqueID,9,202.8795,22.54217,37.26618,73.67256155
643,1994,61,31,Eucalyptus fergusonii subsp. fergusonii,Combination,DrySubhumid,0.713,14.38,13.34,10.57,11.12,3.015,4.13,3.7363,2.78,0.67,NA,UniqueID,8,174.95392,21.86924,32.13664,46.82544764
645,1994,61,13,Eucalyptus fusiformis,Combination,Humid,0.8575,12.71,11.91,9.54,10.03,2.525,2.8,2.68,1.77,0.63,NA,UniqueID,8,160.41035,20.05129,29.46518,59.85460821
645,1994,61,14,Eucalyptus fusiformis,Combination,Humid,0.8575,11.7,11.17,8.88,8.26,2.865,3.12,2.2022,1.96,0.63,NA,UniqueID,8,120.65715,15.08214,22.16306,54.78936972
645,1994,61,15,Eucalyptus fusiformis,Combination,Humid,0.8575,7.97,8.3,6.55,6.42,1.65,1.63,2.8505,1.17,0.72,NA,UniqueID,6,165.7939,27.63232,30.45407,58.16309419
646,1994,58,12,Eucalyptus ancophila,Combination,Humid,0.8463,9.71,8.85,7.26,6.94,2.18,1.9,2.2894,1.24,0.65,NA,UniqueID,6,173.39366,28.89894,31.85004,75.73759937
646,1994,58,14,Eucalyptus ancophila,Combination,Humid,0.8463,10.85,11.33,8.84,7.98,2.68,2.51,4.036,1.57,0.63,NA,UniqueID,6,213.92545,35.65424,39.29517,53.00432359
646,1994,58,15,Eucalyptus ancophila,Combination,Humid,0.8463,10.71,10.63,7.99,8.13,2.61,2.23,3.4718,1.62,0.73,NA,UniqueID,6,179.32875,29.88812,32.94023,51.652961
653,1994,50,33,Eucalyptus banksii,Combination,DrySubhumid,0.5235,12.44,12.86,10.76,10.15,2.195,4.18,3.1635,2.47,0.59,NA,UniqueID,7,160.38667,22.91238,29.46083,50.69912123
653,1994,50,35,Eucalyptus banksii,Combination,DrySubhumid,0.5235,12.83,12.24,9.32,10.35,2.7,3.43,4.1636,2.223,0.65,NA,UniqueID,7,135.35848,19.33693,24.8635,32.50996253
653,1994,50,36,Eucalyptus banksii,Combination,DrySubhumid,0.5235,10.44,10.78,8.65,8.15,2.21,2.9,3.2137,1.94,0.67,NA,UniqueID,7,112.11744,16.01678,20.59444,34.88733858
659,1994,58,1,Eucalyptus mckieana,Combination,DrySubhumid,0.6148,9.63,9.29,7.82,8.03,1.535,2.47,4.9525,1.56,0.63,NA,UniqueID,6,186.0654,31.0109,34.17766,37.56999495
659,1994,58,3,Eucalyptus mckieana,Combination,DrySubhumid,0.6148,9.24,8.79,7.38,7.64,1.505,2.24,4.4993,1.22,0.54,NA,UniqueID,7,179.29935,25.61419,32.93483,39.85049897
666,1994,50,13,Eucalyptus fibrosa,Combination,DrySubhumid,0.6368,9.38,9.32,7.46,7.72,1.76,2.31,3.2682,1.45,0.63,NA,UniqueID,7,102.23908,14.60558,18.77992,31.2829937
