original,name,name2,name3
Eucalyptus_delegatensis_subsp_delegatensis_CANB_499445,eucalyptus delegatensis subsp. delegatensis,eucalyptus_delegatensis_subsp._delegatensis,eucalyptus_delegatensis_subsp_delegatensis
Eucalyptus_delicata_514,eucalyptus delicata,eucalyptus_delicata,eucalyptus_delicata
Eucalyptus_densa_subsp_densa_363,eucalyptus densa subsp. densa,eucalyptus_densa_subsp._densa,eucalyptus_densa_subsp_densa
Eucalyptus_denticulata_378,eucalyptus denticulata,eucalyptus_denticulata,eucalyptus_denticulata
Eucalyptus_depauperata_CANB_794299,eucalyptus depauperata,eucalyptus_depauperata,eucalyptus_depauperata
Eucalyptus_desmondensis_515,eucalyptus desmondensis,eucalyptus_desmondensis,eucalyptus_desmondensis
Eucalyptus_deuaensis_151,eucalyptus deuaensis,eucalyptus_deuaensis,eucalyptus_deuaensis
Eucalyptus_dielsii_74,eucalyptus dielsii,eucalyptus_dielsii,eucalyptus_dielsii
Eucalyptus_diminuta_438,eucalyptus diminuta,eucalyptus_diminuta,eucalyptus_diminuta
Eucalyptus_diptera_535,eucalyptus diptera,eucalyptus_diptera,eucalyptus_diptera
Eucalyptus_disclusa_232,eucalyptus disclusa,eucalyptus_disclusa,eucalyptus_disclusa
Eucalyptus_discreta_333,eucalyptus discreta,eucalyptus_discreta,eucalyptus_discreta
Eucalyptus_dissimulata_89,eucalyptus dissimulata,eucalyptus_dissimulata,eucalyptus_dissimulata
Eucalyptus_distans_CANB_409167,eucalyptus distans,eucalyptus_distans,eucalyptus_distans
Eucalyptus_distuberosa_subsp_aerata_10,eucalyptus distuberosa subsp. aerata,eucalyptus_distuberosa_subsp._aerata,eucalyptus_distuberosa_subsp_aerata
Eucalyptus_diversicolor_ANBG_7901541,eucalyptus diversicolor,eucalyptus_diversicolor,eucalyptus_diversicolor
Eucalyptus_diversifolia_subsp_diversifolia_390,eucalyptus diversifolia subsp. diversifolia,eucalyptus_diversifolia_subsp._diversifolia,eucalyptus_diversifolia_subsp_diversifolia
Eucalyptus_dives_ANBG_7809979,eucalyptus dives,eucalyptus_dives,eucalyptus_dives
Eucalyptus_dolichocera_710,eucalyptus dolichocera,eucalyptus_dolichocera,eucalyptus_dolichocera
Eucalyptus_dolichorhyncha_192,eucalyptus dolichorhyncha,eucalyptus_dolichorhyncha,eucalyptus_dolichorhyncha
Eucalyptus_dolorosa_610751,eucalyptus dolorosa,eucalyptus_dolorosa,eucalyptus_dolorosa
Eucalyptus_dorotoxylon_719,eucalyptus dorotoxylon,eucalyptus_dorotoxylon,eucalyptus_dorotoxylon
Eucalyptus_drummondii_subsp_drummondii_352,eucalyptus drummondii subsp. drummondii,eucalyptus_drummondii_subsp._drummondii,eucalyptus_drummondii_subsp_drummondii
Eucalyptus_dumosa_329,eucalyptus dumosa,eucalyptus_dumosa,eucalyptus_dumosa
Eucalyptus_dundasii_528,eucalyptus dundasii,eucalyptus_dundasii,eucalyptus_dundasii
Eucalyptus_dunnii_691,eucalyptus dunnii,eucalyptus_dunnii,eucalyptus_dunnii
Eucalyptus_dura_775,eucalyptus dura,eucalyptus_dura,eucalyptus_dura
Eucalyptus_dwyeri_9406593,eucalyptus dwyeri,eucalyptus_dwyeri,eucalyptus_dwyeri
Eucalyptus_ebbanoensis_subsp_ebbanoensis_ANBG_9806509,eucalyptus ebbanoensis subsp. ebbanoensis,eucalyptus_ebbanoensis_subsp._ebbanoensis,eucalyptus_ebbanoensis_subsp_ebbanoensis
Eucalyptus_educta_CANB_461013,eucalyptus educta,eucalyptus_educta,eucalyptus_educta
Eucalyptus_effusa_subsp_effusa_39,eucalyptus effusa subsp. effusa,eucalyptus_effusa_subsp._effusa,eucalyptus_effusa_subsp_effusa
