phylo.tip.label.match,new.tip_unique.ID,uniqueID
eucalyptus_bakeri,eucalyptus_bakeri_1269,1269
eucalyptus_bakeri,eucalyptus_bakeri_6177,6177
eucalyptus_balladoniensis,eucalyptus_balladoniensis_subsp._balladoniensis_118,118
eucalyptus_balladoniensis,eucalyptus_balladoniensis_subsp._balladoniensis_3602,3602
eucalyptus_balladoniensis,eucalyptus_balladoniensis_subsp._sedens_347,347
eucalyptus_balladoniensis,eucalyptus_balladoniensis_subsp._sedens_2784,2784
eucalyptus_interstans,eucalyptus_bancroftii_1241,1241
eucalyptus_goniocalyx,eucalyptus_banksii_653,653
eucalyptus_barberi,eucalyptus_barberi_1989,1989
eucalyptus_barberi,eucalyptus_barberi_7412,7412
eucalyptus_ovularis,eucalyptus_baudiniana_5577,5577
eucalyptus_ovularis,eucalyptus_baudiniana_-_e._oraria_intergrade_5575,5575
eucalyptus_baueriana,eucalyptus_baueriana_1734,1734
eucalyptus_baueriana,eucalyptus_baueriana_(subsp._deddickensis)_7378,7378
eucalyptus_baueriana,eucalyptus_baueriana_(subsp._thalassina)_6097,6097
eucalyptus_baxteri,eucalyptus_baxteri_815,815
eucalyptus_baxteri,eucalyptus_baxteri_7234,7234
eucalyptus_beardiana,eucalyptus_beardiana_2208,2208
eucalyptus_beardiana,eucalyptus_beardiana_5708,5708
eucalyptus_behriana,eucalyptus_behriana_783,783
eucalyptus_behriana,eucalyptus_behriana_2065,2065
eucalyptus_behriana,eucalyptus_behriana_3183,3183
eucalyptus_behriana,eucalyptus_behriana_5285,5285
eucalyptus_behriana,eucalyptus_behriana_5915,5915
eucalyptus_bensonii,eucalyptus_bensonii_773,773
eucalyptus_benthamii,eucalyptus_benthamii_3203,3203
eucalyptus_globulus,eucalyptus_bicostata_468,468
eucalyptus_globulus,eucalyptus_bicostata_3212,3212
eucalyptus_deglupta,eucalyptus_binacag_19492,19492
eucalyptus_deglupta,eucalyptus_binacag_21163,21163
eucalyptus_pellita,eucalyptus_biterranea_2518,2518
eucalyptus_pellita,eucalyptus_biterranea_6438,6438
eucalyptus_blakelyi,eucalyptus_blakelyi_722,722
eucalyptus_blakelyi,eucalyptus_blakelyi_3796,3796
eucalyptus_blaxlandii,eucalyptus_blaxlandii_1225,1225
eucalyptus_blaxlandii,eucalyptus_blaxlandii_2916,2916
eucalyptus_blaxlandii,eucalyptus_blaxlandii_5872,5872
eucalyptus_blaxlandii,eucalyptus_blaxlandii_6284,6284
eucalyptus_bosistoana,eucalyptus_bosistoana_1733,1733
eucalyptus_bosistoana,eucalyptus_bosistoana_2902,2902
eucalyptus_botryoides,eucalyptus_botryoides_1739,1739
eucalyptus_botryoides,eucalyptus_botryoides_6307,6307
eucalyptus_brachycalyx,eucalyptus_brachycalyx_1072,1072
eucalyptus_brachycalyx,eucalyptus_brachycalyx_-_e._laevis_intergrade_5966,5966
eucalyptus_brachycalyx,eucalyptus_brachycalyx_(e._pleurocorys)_553,553
eucalyptus_brachycalyx,eucalyptus_brachycalyx_(e._pleurocorys)_2245,2245
eucalyptus_brachycalyx,eucalyptus_brachycalyx_(e._pleurocorys)_2801,2801
eucalyptus_tetraptera,eucalyptus_brandiana_5514,5514
eucalyptus_brassiana,eucalyptus_brassiana_1316,1316
eucalyptus_brassiana,eucalyptus_brassiana_2512,2512
eucalyptus_brevifolia,eucalyptus_brevifolia_1936,1936
eucalyptus_brevifolia,eucalyptus_brevifolia_4220,4220
eucalyptus_brevifolia,eucalyptus_brevifolia_6640,6640
eucalyptus_bridgesiana,eucalyptus_bridgesiana_570,570
eucalyptus_bridgesiana,eucalyptus_bridgesiana_(e._saxicola)_5271,5271
eucalyptus_bridgesiana,eucalyptus_bridgesiana_(large_juveniles)_760,760
eucalyptus_bridgesiana,eucalyptus_bridgesiana_(large_juveniles)_2950,2950
eucalyptus_brockwayi,eucalyptus_brockwayi_136,136
eucalyptus_brockwayi,eucalyptus_brockwayi_2166,2166
eucalyptus_brockwayi,eucalyptus_brockwayi_2168,2168
eucalyptus_brookeriana,eucalyptus_brookeriana_1988,1988
eucalyptus_brookeriana,eucalyptus_brookeriana_1965,1965
eucalyptus_brookeriana,eucalyptus_brookeriana_1967,1967
eucalyptus_brookeriana,eucalyptus_brookeriana_4513,4513
eucalyptus_hallii,eucalyptus_broviniensis_6478,6478
eucalyptus_buprestium,eucalyptus_buprestium_223,223
eucalyptus_buprestium,eucalyptus_buprestium_6703,6703
eucalyptus_caesia,eucalyptus_caesia_subsp._'boyagin'_5542,5542
eucalyptus_caesia,eucalyptus_caesia_subsp._'southern'_3813,3813
eucalyptus_caesia,eucalyptus_caesia_subsp._'southern'_5550,5550
eucalyptus_caesia,eucalyptus_caesia_subsp._'southern'_6026,6026
eucalyptus_caesia,eucalyptus_caesia_subsp._caesia_308,308
eucalyptus_caesia,eucalyptus_caesia_subsp._caesia_3679,3679
eucalyptus_caesia,eucalyptus_caesia_subsp._caesia_3683,3683
eucalyptus_caesia,eucalyptus_caesia_subsp._caesia_5612,5612
eucalyptus_caesia,eucalyptus_caesia_subsp._caesia_6682,6682
eucalyptus_caesia,eucalyptus_caesia_subsp._magna_304,304
eucalyptus_caesia,eucalyptus_caesia_subsp._magna_5455,5455
eucalyptus_caesia,eucalyptus_caesia_subsp._magna_5610,5610
eucalyptus_viridis,eucalyptus_cajuputea_1691,1691
eucalyptus_viridis,eucalyptus_cajuputea_5281,5281
eucalyptus_viridis,eucalyptus_cajuputea_5929,5929
eucalyptus_calcareana,eucalyptus_calcareana_60,60
eucalyptus_calcareana,eucalyptus_calcareana_103,103
eucalyptus_calcareana,eucalyptus_calcareana_1074,1074
eucalyptus_calcareana,eucalyptus_calcareana_2587,2587
