Drought2020Scale.mean,AICorrected,AP,height_max_m,tiplabel,CCAtiplabel
0,0.1492,334,12,2235,CCA2235
0,0.2293,500,12,266,CCA266
0,0.1451,298,12,325,CCA325
0,0.1816,371,15,323,CCA323
0,0.1413,326,15,305,CCA305
0,0.1072,270,7,2767,CCA2767
0,0.1623,385,7,1897,CCA1897
0,0.1038,249,6,6943,CCA6943
0,0.1317,309,10,2232,CCA2232
0,0.1214,270,4,1076,CCA1076
0,0.17,391,7,3527,CCA3527
0,0.2152,497,7,269,CCA269
0,0.1726,331,10,1116,CCA1116
0,0.1478,354,10,286,CCA286
0,0.1546,310,8,132,CCA132
0,0.1702,340,6,2896,CCA2896
0,0.2016,376,6,732,CCA732
0,0.2328,426,5,949,CCA949
0,0.1717,351,5,3829,CCA3829
0,0.1691,333,5,3177,CCA3177
0,0.1626,301,5,1112,CCA1112
0,0.1454,330,10,6693,CCA6693
0,0.1096,264,10,6926,CCA6926
0,0.1006,246,10,1566,CCA1566
0,0.2014,356,7,6021,CCA6021
0,0.1988,365,7,1861,CCA1861
0,0.1494,295,7,3645,CCA3645
0,0.0627,162,7,444,CCA444
0,0.2051,375,12,1119,CCA1119
0,0.2239,410,12,1099,CCA1099
0,0.2182,401,4,155,CCA155
0,0.1748,346,3,3676,CCA3676
0,0.1964,394,3,322,CCA322
0.25,0.218,384,5,5507,CCA5507
0,0.203,367,5,1105,CCA1105
1.333333333,0.1993,362,5,3616,CCA3616
0,0.1852,349,5,3592,CCA3592
0,0.3047,490,10,5908,CCA5908
1.75,0.3047,490,10,3179,CCA3179
1.5,0.4818,701,10,806,CCA806
0,0.152,297,15,1826,CCA1826
0,0.1168,254,15,3633,CCA3633
0,0.1185,280,15,549,CCA549
0,0.2436,440,4,6377,CCA6377
0,0.2376,433,4,160,CCA160
2,0.1726,344,4,6025,CCA6025
0,0.2046,361,4,5509,CCA5509
0,0.2403,447,6,181,CCA181
0,0.3031,538,8,4571,CCA4571
1,0.1848,354,8,3731,CCA3731
0,0.3031,538,8,4572,CCA4572
0.25,0.1995,356,8,4796,CCA4796
0,0.1566,309,8,4550,CCA4550
0,0.1616,385,8,3698,CCA3698
0,0.1235,261,8,2802,CCA2802
0,0.2038,377,8,1117,CCA1117
0,0.2024,372,8,6005,CCA6005
0.25,0.4185,707,8,1638,CCA1638
0,0.2642,461,8,1129,CCA1129
0,0.1533,293,8,1108,CCA1108
0,0.1852,379,8,930,CCA930
0,0.1875,352,6,152,CCA152
0,0.2296,410,6,3973,CCA3973
0.333333333,0.1855,358,6,3816,CCA3816
0,0.2972,483,5,939,CCA939
0.666666667,0.3039,499,5,3554,CCA3554
0,0.4004,639,5,3746,CCA3746
0,0.134,280,5,5983,CCA5983
0,0.0375,97,5,3706,CCA3706
0,0.1058,236,8,2800,CCA2800
0,0.1745,354,8,2587,CCA2587
0,0.1206,268,8,1074,CCA1074
0,0.1232,263,8,103,CCA103
0,0.1904,370,8,60,CCA60
0,0.1639,302,3,4437,CCA4437
0,0.1512,290,3,1110,CCA1110
0,0.2611,486,6,199,CCA199
0,0.1477,290,15,143,CCA143
0,0.2005,360,10,6355,CCA6355
0,0.1523,300,10,3650,CCA3650
0,0.1168,254,10,3635,CCA3635
0,0.1507,298,10,120,CCA120
0,0.1167,259,8,4306,CCA4306
0,0.1206,262,8,330,CCA330
0,0.1284,295,8,6996,CCA6996
0,0.1546,310,8,131,CCA131
0,0.1099,269,10,4305,CCA4305
0,0.123,264,10,3637,CCA3637
0,0.1127,259,10,515,CCA515
0,0.0966,218,8,3627,CCA3627
0,0.2218,396,8,3601,CCA3601
0,0.1692,348,8,3445,CCA3445
0,0.0935,233,8,2733,CCA2733
0,0.1505,298,2,5997,CCA5997
0,0.134,280,2,558,CCA558
0,0.1818,345,12,1107,CCA1107
0,0.1337,328,10,5577,CCA5577
0,0.2234,408,4,6016,CCA6016
0,0.2187,402,4,156,CCA156
0,0.1001,243,2,2738,CCA2738
0,0.0635,175,2,110,CCA110
0,0.0923,237,6,526,CCA526
0,0.1504,298,6,121,CCA121
0,0.2591,461,6,6010,CCA6010
