label,name
Eucalyptus_communalis_502,eucalyptus_communalis
Eucalyptus_concinna_457,eucalyptus_concinna
Eucalyptus_conferruminata_subsp_recherche_114,eucalyptus_conferruminata_subsp_recherche
Eucalyptus_confluens_CANB_785543,eucalyptus_confluens
Eucalyptus_conglobata_subsp_conglobata_5,eucalyptus_conglobata_subsp_conglobata
Eucalyptus_conglomerata,eucalyptus_conglomerata
Eucalyptus_conica_AHT_E9,eucalyptus_conica
Eucalyptus_consideniana_219,eucalyptus_consideniana
Eucalyptus_conspicua_113,eucalyptus_conspicua
Eucalyptus_conveniens_48,eucalyptus_conveniens
Eucalyptus_coolabah_MC_10582,eucalyptus_coolabah
Eucalyptus_cooperiana_293,eucalyptus_cooperiana
Eucalyptus_cordata_ANBG_8804430,eucalyptus_cordata
Eucalyptus_cornuta_65,eucalyptus_cornuta
Eucalyptus_coronata_658,eucalyptus_coronata
Eucalyptus_corrugata_7,eucalyptus_corrugata
Eucalyptus_corticosa_ANBG_54339,eucalyptus_corticosa
Eucalyptus_cosmophylla_ANBG_8409259,eucalyptus_cosmophylla
Eucalyptus_crebra_ANBG_732903,eucalyptus_crebra
Eucalyptus_crenulata_307,eucalyptus_crenulata
Eucalyptus_creta_29,eucalyptus_creta
Eucalyptus_cretata_271,eucalyptus_cretata
Eucalyptus_croajingolensis_156,eucalyptus_croajingolensis
Eucalyptus_crucis_subsp_crucis_45,eucalyptus_crucis_subsp_crucis
Eucalyptus_cunninghamii_9806132,eucalyptus_cunninghamii
Eucalyptus_cuprea_437,eucalyptus_cuprea
Eucalyptus_cupularis_CANB_785563,eucalyptus_cupularis
Eucalyptus_curtisii_632,eucalyptus_curtisii
Eucalyptus_cuspidata_6,eucalyptus_cuspidata
Eucalyptus_cyanophylla_338,eucalyptus_cyanophylla
Eucalyptus_cyclostoma_9903101,eucalyptus_cyclostoma
Eucalyptus_cylindriflora_CANB_794327,eucalyptus_cylindriflora
Eucalyptus_cylindrocarpa_AHT_E8,eucalyptus_cylindrocarpa
Eucalyptus_cypellocarpa_665,eucalyptus_cypellocarpa
Eucalyptus_dalrympleana_subsp_dalrympleana_ANBG_7804378,eucalyptus_dalrympleana_subsp_dalrympleana
Eucalyptus_dawsonii_762,eucalyptus_dawsonii
Eucalyptus_dealbata_212,eucalyptus_dealbata
Eucalyptus_deanei_623,eucalyptus_deanei
Eucalyptus_decipiens_subsp_decipens_72,eucalyptus_decipiens_subsp_decipens
Eucalyptus_decolor_486,eucalyptus_decolor
Eucalyptus_decorticans_73445,eucalyptus_decorticans
Eucalyptus_decurva_MC_10965,eucalyptus_decurva
Eucalyptus_deflexa_364,eucalyptus_deflexa
Eucalyptus_deglupta_BG_859,eucalyptus_deglupta
Eucalyptus_delegatensis_subsp_delegatensis_CANB_499445,eucalyptus_delegatensis_subsp_delegatensis
Eucalyptus_delicata_514,eucalyptus_delicata
Eucalyptus_densa_subsp_densa_363,eucalyptus_densa_subsp_densa
Eucalyptus_denticulata_378,eucalyptus_denticulata
Eucalyptus_depauperata_CANB_794299,eucalyptus_depauperata
Eucalyptus_desmondensis_515,eucalyptus_desmondensis
Eucalyptus_deuaensis_151,eucalyptus_deuaensis
Eucalyptus_dielsii_74,eucalyptus_dielsii
Eucalyptus_diminuta_438,eucalyptus_diminuta
Eucalyptus_diptera_535,eucalyptus_diptera
Eucalyptus_disclusa_232,eucalyptus_disclusa
Eucalyptus_discreta_333,eucalyptus_discreta
Eucalyptus_dissimulata_89,eucalyptus_dissimulata
Eucalyptus_distans_CANB_409167,eucalyptus_distans
Eucalyptus_distuberosa_subsp_aerata_10,eucalyptus_distuberosa_subsp_aerata
Eucalyptus_diversicolor_ANBG_7901541,eucalyptus_diversicolor
Eucalyptus_diversifolia_subsp_diversifolia_390,eucalyptus_diversifolia_subsp_diversifolia
Eucalyptus_dives_ANBG_7809979,eucalyptus_dives
Eucalyptus_dolichocera_710,eucalyptus_dolichocera
Eucalyptus_dolichorhyncha_192,eucalyptus_dolichorhyncha
Eucalyptus_dolorosa_610751,eucalyptus_dolorosa
Eucalyptus_dorotoxylon_719,eucalyptus_dorotoxylon
Eucalyptus_drummondii_subsp_drummondii_352,eucalyptus_drummondii_subsp_drummondii
Eucalyptus_dumosa_329,eucalyptus_dumosa
Eucalyptus_dundasii_528,eucalyptus_dundasii
Eucalyptus_dunnii_691,eucalyptus_dunnii
Eucalyptus_dura_775,eucalyptus_dura
Eucalyptus_dwyeri_9406593,eucalyptus_dwyeri
Eucalyptus_ebbanoensis_subsp_ebbanoensis_ANBG_9806509,eucalyptus_ebbanoensis_subsp_ebbanoensis
Eucalyptus_educta_CANB_461013,eucalyptus_educta
Eucalyptus_effusa_subsp_effusa_39,eucalyptus_effusa_subsp_effusa
Eucalyptus_elaeophloia_372,eucalyptus_elaeophloia
Eucalyptus_elata_ANBG_73059,eucalyptus_elata
Eucalyptus_elliptica_69616,eucalyptus_elliptica
Eucalyptus_erectifolia_CANB_794270,eucalyptus_erectifolia
Eucalyptus_eremicola_subsp_eremicola_542,eucalyptus_eremicola_subsp_eremicola
Eucalyptus_eremophila_CANB_794301,eucalyptus_eremophila
Eucalyptus_erythrocorys,eucalyptus_erythrocorys
Eucalyptus_erythronema_subsp_erythronema_19,eucalyptus_erythronema_subsp_erythronema
Eucalyptus_eudesmioides_subsp_eudesmioides_MC_10780,eucalyptus_eudesmioides_subsp_eudesmioides
Eucalyptus_eugenioides_578,eucalyptus_eugenioides
Eucalyptus_ewartiana_463,eucalyptus_ewartiana
Eucalyptus_exigua_55,eucalyptus_exigua
Eucalyptus_exilipes_CANB_582959,eucalyptus_exilipes
Eucalyptus_exilis_ANBG_8004906,eucalyptus_exilis
Eucalyptus_extensa_33,eucalyptus_extensa
Eucalyptus_extrica_CANB_632680,eucalyptus_extrica
Eucalyptus_falcata_CANB_630597,eucalyptus_falcata
Eucalyptus_famelica_AHT_E23,eucalyptus_famelica
Eucalyptus_farinosa_CANB_738929,eucalyptus_farinosa
Eucalyptus_fasciculosa_289,eucalyptus_fasciculosa
Eucalyptus_fastigata_8603812,eucalyptus_fastigata
Eucalyptus_fergusonii_subsp_fergusonii_740,eucalyptus_fergusonii_subsp_fergusonii
Eucalyptus_fibrosa_subsp_fibrosa_631932,eucalyptus_fibrosa_subsp_fibrosa
Eucalyptus_flindersii_AHT_E6,eucalyptus_flindersii
Eucalyptus_flocktoniae_subsp_flocktoniae_288,eucalyptus_flocktoniae_subsp_flocktoniae
Eucalyptus_foecunda_320,eucalyptus_foecunda
Eucalyptus_foliosa_CANB_794339,eucalyptus_foliosa
Eucalyptus_formanii_AHT_E26,eucalyptus_formanii
Eucalyptus_forrestiana_MC_11265,eucalyptus_forrestiana
Eucalyptus_fraseri_subsp_fraseri_36,eucalyptus_fraseri_subsp_fraseri
Eucalyptus_fraxinoides_751650,eucalyptus_fraxinoides
Eucalyptus_frenchiana_11,eucalyptus_frenchiana
Eucalyptus_froggattii_479,eucalyptus_froggattii
Eucalyptus_fruticosa_30,eucalyptus_fruticosa
Eucalyptus_fulgens_9707943,eucalyptus_fulgens
Eucalyptus_fusiformis_8604718,eucalyptus_fusiformis
Eucalyptus_gamophylla_MC_10612,eucalyptus_gamophylla
Eucalyptus_gardneri_subsp_gardneri_593,eucalyptus_gardneri_subsp_gardneri
Eucalyptus_georgei_subsp_georgei_323,eucalyptus_georgei_subsp_georgei
Eucalyptus_gigantangion_CANB_454615,eucalyptus_gigantangion
Eucalyptus_gillenii_720,eucalyptus_gillenii
Eucalyptus_gillii_459,eucalyptus_gillii
Eucalyptus_gittinsii_subsp_gittinsii_MC_10801,eucalyptus_gittinsii_subsp_gittinsii
Eucalyptus_glaucescens_218,eucalyptus_glaucescens
Eucalyptus_glaucina_626,eucalyptus_glaucina
Eucalyptus_globoidea_729,eucalyptus_globoidea
Eucalyptus_globulus_subsp_globulus_ANBG_85001816,eucalyptus_globulus_subsp_globulus
Eucalyptus_glomerosa_538,eucalyptus_glomerosa
Eucalyptus_gomphocephala_357,eucalyptus_gomphocephala
Eucalyptus_gongylocarpa_MC_11097,eucalyptus_gongylocarpa
Eucalyptus_goniantha_subsp_goniantha_286,eucalyptus_goniantha_subsp_goniantha
Eucalyptus_goniocalyx_subsp_goniocalyx_669,eucalyptus_goniocalyx_subsp_goniocalyx
Eucalyptus_goniocarpa_536,eucalyptus_goniocarpa
Eucalyptus_gracilis_202,eucalyptus_gracilis
Eucalyptus_grandis,eucalyptus_grandis
