phylo.tip.label.match,new.tip,unique.ID,new.tip_unique.ID
eucalyptus_angulosa,eucalyptus_angulosa_(sa_variant),5905,eucalyptus_angulosa_(sa_variant)_5905
eucalyptus_angustissima,eucalyptus_angustissima,150,eucalyptus_angustissima_150
eucalyptus_angustissima,eucalyptus_angustissima,2264,eucalyptus_angustissima_2264
eucalyptus_angustissima,eucalyptus_angustissima,5996,eucalyptus_angustissima_5996
eucalyptus_kessellii,eucalyptus_annettae,6359,eucalyptus_annettae_6359
eucalyptus_apiculata,eucalyptus_apiculata,617,eucalyptus_apiculata_617
eucalyptus_apiculata,eucalyptus_apiculata_(e._laophila),772,eucalyptus_apiculata_(e._laophila)_772
eucalyptus_apothalassica,eucalyptus_apothalassica,1263,eucalyptus_apothalassica_1263
eucalyptus_approximans,eucalyptus_approximans,2090,eucalyptus_approximans_2090
eucalyptus_aquilina,eucalyptus_aquilina,176,eucalyptus_aquilina_176
eucalyptus_aquilina,eucalyptus_aquilina,4604,eucalyptus_aquilina_4604
eucalyptus_arachnaeae,eucalyptus_arachnaea_subsp._arachnaea,296,eucalyptus_arachnaea_subsp._arachnaea_296
eucalyptus_arachnaeae,eucalyptus_arachnaea_subsp._arrecta,2216,eucalyptus_arachnaea_subsp._arrecta_2216
eucalyptus_arachnaeae,eucalyptus_arachnaea_subsp._arrecta,5556,eucalyptus_arachnaea_subsp._arrecta_5556
eucalyptus_arborella,eucalyptus_arborella,1127,eucalyptus_arborella_1127
eucalyptus_arborella,eucalyptus_arborella,4803,eucalyptus_arborella_4803
eucalyptus_aromaphloia,eucalyptus_arcana,1800,eucalyptus_arcana_1800
eucalyptus_aromaphloia,eucalyptus_arcana,4319,eucalyptus_arcana_4319
eucalyptus_gunnii,eucalyptus_archeri,1990,eucalyptus_archeri_1990
eucalyptus_gunnii,eucalyptus_archeri,7389,eucalyptus_archeri_7389
eucalyptus_arenacea,eucalyptus_arenacea,1588,eucalyptus_arenacea_1588
eucalyptus_argutifolia,eucalyptus_argutifolia,249,eucalyptus_argutifolia_249
eucalyptus_argutifolia,eucalyptus_argutifolia,4626,eucalyptus_argutifolia_4626
eucalyptus_lucasii,eucalyptus_aridomontana,1191,eucalyptus_aridomontana_1191
eucalyptus_lucasii,eucalyptus_aridomontana,5766,eucalyptus_aridomontana_5766
eucalyptus_lucasii,eucalyptus_aridomontana,5778,eucalyptus_aridomontana_5778
eucalyptus_erythronema,eucalyptus_armillata,287,eucalyptus_armillata_287
eucalyptus_aromaphloia,eucalyptus_aromaphloia,4313,eucalyptus_aromaphloia_4313
eucalyptus_aromaphloia,eucalyptus_aromaphloia_(smooth_bark),355,eucalyptus_aromaphloia_(smooth_bark)_355
eucalyptus_aspersa,eucalyptus_aspersa,1149,eucalyptus_aspersa_1149
eucalyptus_aspersa,eucalyptus_aspersa,1888,eucalyptus_aspersa_1888
eucalyptus_aspersa,eucalyptus_aspersa,1890,eucalyptus_aspersa_1890
eucalyptus_aspratilis,eucalyptus_aspratilis,328,eucalyptus_aspratilis_328
eucalyptus_aspratilis,eucalyptus_aspratilis,7001,eucalyptus_aspratilis_7001
eucalyptus_aspratilis,eucalyptus_aspratilis_-_e._sporadica_intergrade,5468,eucalyptus_aspratilis_-_e._sporadica_intergrade_5468
eucalyptus_assimilans,eucalyptus_assimilans,1826,eucalyptus_assimilans_1826
eucalyptus_assimilans,eucalyptus_assimilans,4551,eucalyptus_assimilans_4551
eucalyptus_astringens,eucalyptus_astringens_subsp._astringens,3423,eucalyptus_astringens_subsp._astringens_3423
eucalyptus_astringens,eucalyptus_astringens_subsp._astringens,3438,eucalyptus_astringens_subsp._astringens_3438
eucalyptus_astringens,eucalyptus_astringens_subsp._astringens,3503,eucalyptus_astringens_subsp._astringens_3503
eucalyptus_astringens,eucalyptus_astringens_subsp._redacta,194,eucalyptus_astringens_subsp._redacta_194
eucalyptus_astringens,eucalyptus_astringens_subsp._redacta,214,eucalyptus_astringens_subsp._redacta_214
eucalyptus_astringens,eucalyptus_astringens_subsp._redacta,2243,eucalyptus_astringens_subsp._redacta_2243
eucalyptus_astringens,eucalyptus_astringens_subsp._redacta_(pink_form),3585,eucalyptus_astringens_subsp._redacta_(pink_form)_3585
eucalyptus_miniata,eucalyptus_aurantiaca,1903,eucalyptus_aurantiaca_1903
eucalyptus_miniata,eucalyptus_aurantiaca,4224,eucalyptus_aurantiaca_4224
eucalyptus_arenacea,eucalyptus_aurifodina,6104,eucalyptus_aurifodina_6104
eucalyptus_baeuerlenii,eucalyptus_baeuerlenii,1227,eucalyptus_baeuerlenii_1227
eucalyptus_baeuerlenii,eucalyptus_baeuerlenii,6263,eucalyptus_baeuerlenii_6263
eucalyptus_baeuerlenii,eucalyptus_baeuerlenii,6312,eucalyptus_baeuerlenii_6312
eucalyptus_baileyana,eucalyptus_baileyana,665,eucalyptus_baileyana_665
eucalyptus_baileyana,eucalyptus_baileyana,2938,eucalyptus_baileyana_2938
eucalyptus_baileyana,eucalyptus_baileyana,6455,eucalyptus_baileyana_6455
eucalyptus_bakeri,eucalyptus_bakeri,1269,eucalyptus_bakeri_1269
eucalyptus_bakeri,eucalyptus_bakeri,6177,eucalyptus_bakeri_6177
eucalyptus_balladoniensis,eucalyptus_balladoniensis_subsp._balladoniensis,118,eucalyptus_balladoniensis_subsp._balladoniensis_118
eucalyptus_balladoniensis,eucalyptus_balladoniensis_subsp._balladoniensis,3602,eucalyptus_balladoniensis_subsp._balladoniensis_3602
eucalyptus_balladoniensis,eucalyptus_balladoniensis_subsp._sedens,347,eucalyptus_balladoniensis_subsp._sedens_347
eucalyptus_balladoniensis,eucalyptus_balladoniensis_subsp._sedens,2784,eucalyptus_balladoniensis_subsp._sedens_2784
eucalyptus_interstans,eucalyptus_bancroftii,1241,eucalyptus_bancroftii_1241
eucalyptus_goniocalyx,eucalyptus_banksii,653,eucalyptus_banksii_653
eucalyptus_barberi,eucalyptus_barberi,1989,eucalyptus_barberi_1989
eucalyptus_barberi,eucalyptus_barberi,7412,eucalyptus_barberi_7412
eucalyptus_ovularis,eucalyptus_baudiniana,5577,eucalyptus_baudiniana_5577
eucalyptus_ovularis,eucalyptus_baudiniana_-_e._oraria_intergrade,5575,eucalyptus_baudiniana_-_e._oraria_intergrade_5575
eucalyptus_baueriana,eucalyptus_baueriana,1734,eucalyptus_baueriana_1734
eucalyptus_baueriana,eucalyptus_baueriana_(subsp._deddickensis),7378,eucalyptus_baueriana_(subsp._deddickensis)_7378
eucalyptus_baueriana,eucalyptus_baueriana_(subsp._thalassina),6097,eucalyptus_baueriana_(subsp._thalassina)_6097
eucalyptus_baxteri,eucalyptus_baxteri,815,eucalyptus_baxteri_815
eucalyptus_baxteri,eucalyptus_baxteri,7234,eucalyptus_baxteri_7234
eucalyptus_beardiana,eucalyptus_beardiana,2208,eucalyptus_beardiana_2208
eucalyptus_beardiana,eucalyptus_beardiana,5708,eucalyptus_beardiana_5708
eucalyptus_behriana,eucalyptus_behriana,783,eucalyptus_behriana_783
eucalyptus_behriana,eucalyptus_behriana,2065,eucalyptus_behriana_2065
eucalyptus_behriana,eucalyptus_behriana,3183,eucalyptus_behriana_3183
eucalyptus_behriana,eucalyptus_behriana,5285,eucalyptus_behriana_5285
eucalyptus_behriana,eucalyptus_behriana,5915,eucalyptus_behriana_5915
eucalyptus_bensonii,eucalyptus_bensonii,773,eucalyptus_bensonii_773
eucalyptus_benthamii,eucalyptus_benthamii,3203,eucalyptus_benthamii_3203
eucalyptus_globulus,eucalyptus_bicostata,468,eucalyptus_bicostata_468
eucalyptus_globulus,eucalyptus_bicostata,3212,eucalyptus_bicostata_3212
eucalyptus_deglupta,eucalyptus_binacag,19492,eucalyptus_binacag_19492
eucalyptus_deglupta,eucalyptus_binacag,21163,eucalyptus_binacag_21163
