tree_CCAUniqueIDs,tree_UniqueIDs
CCA1764,1764
CCA6722,6722
CCA1986,1986
CCA1726,1726
CCA3212,3212
CCA468,468
CCA7412,7412
CCA1989,1989
CCA1979,1979
CCA6726,6726
CCA1985,1985
CCA4314,4314
CCA4311,4311
CCA1720,1720
CCA1772,1772
CCA1728,1728
CCA2068,2068
CCA598,598
CCA6312,6312
CCA6263,6263
CCA1227,1227
CCA1326,1326
CCA1722,1722
CCA2951,2951
CCA583,583
CCA3789,3789
CCA449,449
CCA2952,2952
CCA6388,6388
CCA565,565
CCA653,653
CCA6282,6282
CCA2071,2071
CCA3799,3799
CCA2066,2066
CCA581,581
CCA609,609
CCA7364,7364
CCA656,656
CCA1765,1765
CCA1731,1731
CCA1725,1725
CCA1730,1730
CCA1729,1729
CCA1743,1743
CCA7372,7372
CCA588,588
CCA569,569
CCA6277,6277
CCA3211,3211
CCA6323,6323
CCA1226,1226
CCA4513,4513
CCA1967,1967
CCA1965,1965
CCA1988,1988
CCA2946,2946
CCA591,591
CCA1222,1222
CCA7427,7427
CCA359,359
CCA1746,1746
CCA6781,6781
CCA6276,6276
CCA770,770
CCA1975,1975
CCA584,584
CCA1755,1755
CCA4883,4883
CCA2069,2069
CCA7403,7403
CCA2577,2577
CCA7046,7046
CCA776,776
CCA1773,1773
CCA1774,1774
CCA1768,1768
CCA7402,7402
CCA1972,1972
CCA6196,6196
CCA672,672
CCA7355,7355
CCA759,759
CCA6228,6228
CCA2948,2948
CCA1367,1367
CCA753,753
CCA647,647
CCA6194,6194
CCA651,651
CCA6249,6249
CCA4700,4700
CCA1750,1750
CCA1757,1757
CCA2949,2949
CCA6095,6095
CCA6098,6098
CCA6787,6787
CCA4745,4745
CCA356,356
CCA1767,1767
CCA6798,6798
CCA3203,3203
CCA7379,7379
CCA586,586
Evimvim_1,Evimvim_1
CCA6158,6158
CCA1724,1724
CCA7235,7235
CCA1740,1740
CCA7425,7425
CCA1969,1969
CCA6108,6108
CCA5907,5907
CCA941,941
CCA7410,7410
CCA1981,1981
CCA7407,7407
CCA1963,1963
CCA4946,4946
CCA7389,7389
CCA1990,1990
CCA5022,5022
CCA2941,2941
CCA1363,1363
CCA579,579
CCA6736,6736
CCA4867,4867
CCA7387,7387
CCA577,577
CCA1766,1766
CCA6217,6217
CCA657,657
CCA4516,4516
CCA1747,1747
CCA6741,6741
CCA6725,6725
CCA1741,1741
CCA1717,1717
CCA805,805
CCA6121,6121
CCA6114,6114
CCA4318,4318
CCA1594,1594
CCA355,355
CCA4313,4313
CCA4319,4319
CCA1800,1800
CCA6319,6319
CCA6297,6297
CCA1223,1223
CCA2939,2939
CCA5708,5708
CCA2208,2208
CCA4281,4281
CCA4279,4279
CCA4277,4277
CCA4283,4283
CCA545,545
CCA5778,5778
CCA5766,5766
CCA1191,1191
CCA5463,5463
CCA3766,3766
CCA2761,2761
CCA339,339
CCA3536,3536
CCA1154,1154
CCA1941,1941
CCA1194,1194
CCA2684,2684
CCA427,427
CCA1189,1189
CCA4241,4241
CCA5568,5568
CCA2436,2436
CCA1178,1178
CCA1267,1267
CCA694,694
CCA689,689
CCA1187,1187
CCA1183,1183
CCA541,541
CCA1245,1245
CCA825,825
Ealb_1,Ealb_1
CCA3180,3180
CCA942,942
CCA1242,1242
CCA685,685
CCA2081,2081
CCA2544,2544
CCA666,666
CCA2927,2927
CCA680,680
CCA2531,2531
CCA1294,1294
CCA5133,5133
CCA2532,2532
CCA2514,2514
CCA1317,1317
CCA6495,6495
CCA6453,6453
CCA6170,6170
CCA2930,2930
CCA2102,2102
CCA746,746
CCA2104,2104
CCA2545,2545
CCA2549,2549
CCA2117,2117
CCA683,683
CCA1260,1260
CCA2111,2111
CCA706,706
CCA1264,1264
CCA1738,1738
CCA6785,6785
CCA2899,2899
CCA742,742
CCA6106,6106
CCA457,457
CCA6085,6085
CCA1716,1716
CCA1334,1334
CCA1315,1315
CCA4186,4186
CCA2957,2957
CCA1355,1355
CCA1297,1297
CCA2116,2116
CCA1308,1308
CCA1353,1353
CCA1339,1339
CCA5136,5136
CCA1305,1305
CCA6472,6472
CCA6661,6661
CCA2677,2677
CCA2554,2554
CCA2435,2435
CCA423,423
CCA2945,2945
CCA1252,1252
CCA1281,1281
CCA2500,2500
